"pollutant","run","level","participant_id","replicate","mean_value","sd_value","u_value","u_exp","k_factor"
"co","corrida_1","0-μmol/mol","part_1",2,-0.02798398234,0.0282128659,0.0282128659,0.0564257318,2
"co","corrida_1","0-μmol/mol","part_1",2,-0.03293311923,0.02547467387,0.02547467387,0.05094934774,2
"co","corrida_1","0-μmol/mol","part_1",2,-0.0279868326,0.02858429708,0.02858429708,0.05716859416,2
"co","corrida_1","0-μmol/mol","part_2",3,-0.02248920112,0.02831441262,0.02831441262,0.05662882524,2
"co","corrida_1","0-μmol/mol","part_2",3,-0.02305893216,0.02921246215,0.02921246215,0.0584249243,2
"co","corrida_1","0-μmol/mol","part_2",3,-0.01766607788,0.02881354388,0.02881354388,0.05762708776,2
"co","corrida_1","0-μmol/mol","part_3",4,-0.01719943798,0.02811769636,0.02811769636,0.05623539272,2
"co","corrida_1","0-μmol/mol","part_3",4,-0.02880004014,0.0286884291,0.0286884291,0.0573768582,2
"co","corrida_1","0-μmol/mol","part_3",4,-0.0289212766,0.02854126249,0.02854126249,0.05708252498,2
"co","corrida_1","0-μmol/mol","ref",1,-0.02169253312,0.02747572318,0.02747572318,0.05495144636,2
"co","corrida_1","0-μmol/mol","ref",1,-0.01688896026,0.0273778485,0.0273778485,0.054755697,2
"co","corrida_1","0-μmol/mol","ref",1,-0.0166355279,0.02723496986,0.02723496986,0.05446993972,2
"co","corrida_2","2-μmol/mol","part_1",2,2.012150827,0.003597189848,0.003597189848,0.007194379696,2
"co","corrida_2","2-μmol/mol","part_1",2,2.017236471,0.003196286807,0.003196286807,0.006392573614,2
"co","corrida_2","2-μmol/mol","part_1",2,2.010507243,0.003719188761,0.003719188761,0.007438377522,2
"co","corrida_2","2-μmol/mol","part_2",3,2.012092091,0.005260974951,0.005260974951,0.010521949902,2
"co","corrida_2","2-μmol/mol","part_2",3,2.014069009,0.002960301343,0.002960301343,0.005920602686,2
"co","corrida_2","2-μmol/mol","part_2",3,2.013911369,0.004277683727,0.004277683727,0.008555367454,2
"co","corrida_2","2-μmol/mol","part_3",4,2.01303011,0.00367076801,0.00367076801,0.00734153602,2
"co","corrida_2","2-μmol/mol","part_3",4,2.013595035,0.00518917729,0.00518917729,0.01037835458,2
"co","corrida_2","2-μmol/mol","part_3",4,2.012474554,0.00372789548,0.00372789548,0.00745579096,2
"co","corrida_2","2-μmol/mol","ref",1,2.013671545,0.00408044857,0.00408044857,0.00816089714,2
"co","corrida_2","2-μmol/mol","ref",1,2.012153858,0.004791027795,0.004791027795,0.00958205559,2
"co","corrida_2","2-μmol/mol","ref",1,2.01374741,0.00410781988,0.00410781988,0.00821563976,2
"co","corrida_3","4-μmol/mol","part_1",2,4.028347143,0.01208401702,0.01208401702,0.02416803404,2
"co","corrida_3","4-μmol/mol","part_1",2,4.021748247,0.01441051063,0.01441051063,0.02882102126,2
"co","corrida_3","4-μmol/mol","part_1",2,4.023195779,0.01291996664,0.01291996664,0.02583993328,2
"co","corrida_3","4-μmol/mol","part_2",3,4.025554913,0.0119741281,0.0119741281,0.0239482562,2
"co","corrida_3","4-μmol/mol","part_2",3,4.02804855,0.01297000799,0.01297000799,0.02594001598,2
"co","corrida_3","4-μmol/mol","part_2",3,4.027986407,0.01034050013,0.01034050013,0.02068100026,2
"co","corrida_3","4-μmol/mol","part_3",4,4.025817987,0.01202770627,0.01202770627,0.02405541254,2
"co","corrida_3","4-μmol/mol","part_3",4,4.018397381,0.01175187192,0.01175187192,0.02350374384,2
"co","corrida_3","4-μmol/mol","part_3",4,4.026595758,0.00989599264,0.00989599264,0.01979198528,2
"co","corrida_3","4-μmol/mol","ref",1,4.025406905,0.0127470559,0.0127470559,0.0254941118,2
"co","corrida_3","4-μmol/mol","ref",1,4.02159461,0.01213414339,0.01213414339,0.02426828678,2
"co","corrida_3","4-μmol/mol","ref",1,4.021602186,0.01436034868,0.01436034868,0.02872069736,2
"co","corrida_4","6-μmol/mol","part_1",2,6.069355952,0.01426297649,0.01426297649,0.02852595298,2
"co","corrida_4","6-μmol/mol","part_1",2,6.067096346,0.01466970071,0.01466970071,0.02933940142,2
"co","corrida_4","6-μmol/mol","part_1",2,6.07084101,0.01087157476,0.01087157476,0.02174314952,2
"co","corrida_4","6-μmol/mol","part_2",3,6.075254187,0.01581182104,0.01581182104,0.03162364208,2
"co","corrida_4","6-μmol/mol","part_2",3,6.068699589,0.01243766155,0.01243766155,0.0248753231,2
"co","corrida_4","6-μmol/mol","part_2",3,6.074546757,0.01338682456,0.01338682456,0.02677364912,2
"co","corrida_4","6-μmol/mol","part_3",4,6.077621223,0.01219916901,0.01219916901,0.02439833802,2
"co","corrida_4","6-μmol/mol","part_3",4,6.069348276,0.01380609605,0.01380609605,0.0276121921,2
"co","corrida_4","6-μmol/mol","part_3",4,6.076683498,0.0117179534,0.0117179534,0.0234359068,2
"co","corrida_4","6-μmol/mol","ref",1,6.075875616,0.01247189744,0.01247189744,0.02494379488,2
"co","corrida_4","6-μmol/mol","ref",1,6.075067406,0.01267997034,0.01267997034,0.02535994068,2
"co","corrida_4","6-μmol/mol","ref",1,6.063022537,0.01285326703,0.01285326703,0.02570653406,2
"co","corrida_5","8-μmol/mol","part_1",2,8.02975665,0.06014882025,0.06014882025,0.1202976405,2
"co","corrida_5","8-μmol/mol","part_1",2,8.026982502,0.06016191357,0.06016191357,0.12032382714,2
"co","corrida_5","8-μmol/mol","part_1",2,8.015419373,0.05647631169,0.05647631169,0.11295262338,2
"co","corrida_5","8-μmol/mol","part_2",3,8.046159612,0.06389160476,0.06389160476,0.12778320952,2
"co","corrida_5","8-μmol/mol","part_2",3,8.050316368,0.05921496855,0.05921496855,0.1184299371,2
"co","corrida_5","8-μmol/mol","part_2",3,8.016310358,0.05483553534,0.05483553534,0.10967107068,2
"co","corrida_5","8-μmol/mol","part_3",4,8.029278176,0.05644517207,0.05644517207,0.11289034414,2
"co","corrida_5","8-μmol/mol","part_3",4,8.016623764,0.05871094942,0.05871094942,0.11742189884,2
"co","corrida_5","8-μmol/mol","part_3",4,8.071861999,0.05430140442,0.05430140442,0.10860280884,2
"co","corrida_5","8-μmol/mol","ref",1,8.075060486,0.05509879569,0.05509879569,0.11019759138,2
"co","corrida_5","8-μmol/mol","ref",1,8.013773316,0.0542413001,0.0542413001,0.1084826002,2
"co","corrida_5","8-μmol/mol","ref",1,8.030697485,0.05764235194,0.05764235194,0.11528470388,2
"no","corrida_1","0-nmol/mol","part_1",2,0.5634295455,0.1483137378,0.1483137378,0.2966274756,2
"no","corrida_1","0-nmol/mol","part_1",2,0.5766277778,0.1306911011,0.1306911011,0.2613822022,2
"no","corrida_1","0-nmol/mol","part_1",2,0.5536068182,0.1709505653,0.1709505653,0.3419011306,2
"no","corrida_1","0-nmol/mol","part_2",3,0.5148156566,0.1082035046,0.1082035046,0.2164070092,2
"no","corrida_1","0-nmol/mol","part_2",3,0.594305303,0.1439760568,0.1439760568,0.2879521136,2
"no","corrida_1","0-nmol/mol","part_2",3,0.5162161616,0.1109201168,0.1109201168,0.2218402336,2
"no","corrida_1","0-nmol/mol","part_3",4,0.5289242424,0.1080949952,0.1080949952,0.2161899904,2
"no","corrida_1","0-nmol/mol","part_3",4,0.5386888889,0.1103844635,0.1103844635,0.220768927,2
"no","corrida_1","0-nmol/mol","part_3",4,0.5498075758,0.1255436827,0.1255436827,0.2510873654,2
"no","corrida_1","0-nmol/mol","ref",1,0.5427828283,0.1268347487,0.1268347487,0.2536694974,2
"no","corrida_1","0-nmol/mol","ref",1,0.5520727273,0.1448322765,0.1448322765,0.289664553,2
"no","corrida_1","0-nmol/mol","ref",1,0.5662712121,0.119310026,0.119310026,0.238620052,2
"no","corrida_2","121-nmol/mol","part_1",2,120.4113439,0.08287482898,0.08287482898,0.16574965796,2
"no","corrida_2","121-nmol/mol","part_1",2,120.3347036,0.05026546445,0.05026546445,0.1005309289,2
"no","corrida_2","121-nmol/mol","part_1",2,120.3452569,0.04932474469,0.04932474469,0.09864948938,2
"no","corrida_2","121-nmol/mol","part_2",3,120.3319368,0.1138819862,0.1138819862,0.2277639724,2
"no","corrida_2","121-nmol/mol","part_2",3,120.3276285,0.07699712281,0.07699712281,0.15399424562,2
"no","corrida_2","121-nmol/mol","part_2",3,120.367747,0.04643673515,0.04643673515,0.0928734703,2
"no","corrida_2","121-nmol/mol","part_3",4,120.3851383,0.05920597384,0.05920597384,0.11841194768,2
"no","corrida_2","121-nmol/mol","part_3",4,120.3326087,0.04430297396,0.04430297396,0.08860594792,2
"no","corrida_2","121-nmol/mol","part_3",4,120.3652964,0.07713032491,0.07713032491,0.15426064982,2
"no","corrida_2","121-nmol/mol","ref",1,120.3323715,0.07342622308,0.07342622308,0.14685244616,2
"no","corrida_2","121-nmol/mol","ref",1,120.3866008,0.04647979717,0.04647979717,0.09295959434,2
"no","corrida_2","121-nmol/mol","ref",1,120.3501976,0.06443671099,0.06443671099,0.12887342198,2
"no","corrida_3","122-nmol/mol","part_1",2,40.75243023,0.04058476216,0.04058476216,0.08116952432,2
"no","corrida_3","122-nmol/mol","part_1",2,40.74166279,0.03555639332,0.03555639332,0.07111278664,2
"no","corrida_3","122-nmol/mol","part_1",2,40.7259186,0.05408621211,0.05408621211,0.10817242422,2
"no","corrida_3","122-nmol/mol","part_2",3,40.73732558,0.06431712452,0.06431712452,0.12863424904,2
"no","corrida_3","122-nmol/mol","part_2",3,40.70034884,0.03471704366,0.03471704366,0.06943408732,2
"no","corrida_3","122-nmol/mol","part_2",3,40.72951163,0.0516134661,0.0516134661,0.1032269322,2
"no","corrida_3","122-nmol/mol","part_3",4,40.74063953,0.04032070708,0.04032070708,0.08064141416,2
"no","corrida_3","122-nmol/mol","part_3",4,40.74005814,0.05165842994,0.05165842994,0.10331685988,2
"no","corrida_3","122-nmol/mol","part_3",4,40.74751163,0.06618006114,0.06618006114,0.13236012228,2
"no","corrida_3","122-nmol/mol","ref",1,40.75259302,0.05738992332,0.05738992332,0.11477984664,2
"no","corrida_3","122-nmol/mol","ref",1,40.76286047,0.04816047679,0.04816047679,0.09632095358,2
"no","corrida_3","122-nmol/mol","ref",1,40.71490698,0.04350511637,0.04350511637,0.08701023274,2
"no","corrida_4","180-nmol/mol","part_1",2,182.2615347,0.2937754456,0.2937754456,0.5875508912,2
"no","corrida_4","180-nmol/mol","part_1",2,182.3335578,0.2400638546,0.2400638546,0.4801277092,2
"no","corrida_4","180-nmol/mol","part_1",2,182.2108438,0.2627001239,0.2627001239,0.5254002478,2
"no","corrida_4","180-nmol/mol","part_2",3,182.3591034,0.2627676671,0.2627676671,0.5255353342,2
"no","corrida_4","180-nmol/mol","part_2",3,182.2518152,0.238331083,0.238331083,0.476662166,2
"no","corrida_4","180-nmol/mol","part_2",3,182.3570473,0.2023042848,0.2023042848,0.4046085696,2
"no","corrida_4","180-nmol/mol","part_3",4,182.1907426,0.2230697157,0.2230697157,0.4461394314,2
"no","corrida_4","180-nmol/mol","part_3",4,182.1830594,0.2451535918,0.2451535918,0.4903071836,2
"no","corrida_4","180-nmol/mol","part_3",4,182.3428405,0.2392964544,0.2392964544,0.4785929088,2
"no","corrida_4","180-nmol/mol","ref",1,182.23122,0.2034787921,0.2034787921,0.4069575842,2
"no","corrida_4","180-nmol/mol","ref",1,182.1331408,0.2501846393,0.2501846393,0.5003692786,2
"no","corrida_4","180-nmol/mol","ref",1,182.3562046,0.2087857609,0.2087857609,0.4175715218,2
"no","corrida_5","181-nmol/mol","part_1",2,180.2058696,0.1041201219,0.1041201219,0.2082402438,2
"no","corrida_5","181-nmol/mol","part_1",2,180.2304348,0.1069816553,0.1069816553,0.2139633106,2
"no","corrida_5","181-nmol/mol","part_1",2,180.1744565,0.06343011956,0.06343011956,0.12686023912,2
"no","corrida_5","181-nmol/mol","part_2",3,180.2323913,0.05669056911,0.05669056911,0.11338113822,2
"no","corrida_5","181-nmol/mol","part_2",3,180.2220652,0.06396554172,0.06396554172,0.12793108344,2
"no","corrida_5","181-nmol/mol","part_2",3,180.2116304,0.07354992146,0.07354992146,0.14709984292,2
"no","corrida_5","181-nmol/mol","part_3",4,180.1982609,0.07313314028,0.07313314028,0.14626628056,2
"no","corrida_5","181-nmol/mol","part_3",4,180.1988043,0.04943348989,0.04943348989,0.09886697978,2
"no","corrida_5","181-nmol/mol","part_3",4,180.2532609,0.0679210131,0.0679210131,0.1358420262,2
"no","corrida_5","181-nmol/mol","ref",1,180.1784783,0.08544550707,0.08544550707,0.17089101414,2
"no","corrida_5","181-nmol/mol","ref",1,180.203913,0.1074997008,0.1074997008,0.2149994016,2
"no","corrida_5","181-nmol/mol","ref",1,180.2134783,0.07297500817,0.07297500817,0.14595001634,2
"no","","182-nmol/mol","part_1",2,75.91082278,0.2479571703,0.2479571703,0.4959143406,2
"no","","182-nmol/mol","part_1",2,75.94536709,0.2709105908,0.2709105908,0.5418211816,2
"no","","182-nmol/mol","part_1",2,76.01417722,0.4255365489,0.4255365489,0.8510730978,2
"no","","182-nmol/mol","part_2",3,75.89739241,0.2883117713,0.2883117713,0.5766235426,2
"no","","182-nmol/mol","part_2",3,76.18525316,0.4071025682,0.4071025682,0.8142051364,2
"no","","182-nmol/mol","part_2",3,76.14517722,0.2060515891,0.2060515891,0.4121031782,2
"no","","182-nmol/mol","part_3",4,76.13855696,0.269767966,0.269767966,0.539535932,2
"no","","182-nmol/mol","part_3",4,75.94650633,0.3905801,0.3905801,0.7811602,2
"no","","182-nmol/mol","part_3",4,76.03889873,0.3096606221,0.3096606221,0.6193212442,2
"no","","182-nmol/mol","ref",1,75.93308861,0.4974837652,0.4974837652,0.9949675304,2
"no","","182-nmol/mol","ref",1,76.08293671,0.2162435921,0.2162435921,0.4324871842,2
"no","","182-nmol/mol","ref",1,76.00806329,0.3599398395,0.3599398395,0.719879679,2
"no","","42-nmol/mol","part_1",2,24.70989412,1.334973624,1.334973624,2.669947248,2
"no","","42-nmol/mol","part_1",2,25.04735294,1.321533361,1.321533361,2.643066722,2
"no","","42-nmol/mol","part_1",2,24.55648824,0.87850986,0.87850986,1.75701972,2
"no","","42-nmol/mol","part_2",3,24.95159412,0.6873023633,0.6873023633,1.3746047266,2
"no","","42-nmol/mol","part_2",3,25.10635294,1.021213008,1.021213008,2.042426016,2
"no","","42-nmol/mol","part_2",3,24.98659412,1.047873812,1.047873812,2.095747624,2
"no","","42-nmol/mol","part_3",4,24.99004118,1.019112231,1.019112231,2.038224462,2
"no","","42-nmol/mol","part_3",4,24.81234706,0.8073805912,0.8073805912,1.6147611824,2
"no","","42-nmol/mol","part_3",4,24.84410588,1.284426861,1.284426861,2.568853722,2
"no","","42-nmol/mol","ref",1,24.79114118,0.9150702736,0.9150702736,1.8301405472,2
"no","","42-nmol/mol","ref",1,24.80806471,1.394111774,1.394111774,2.788223548,2
"no","","42-nmol/mol","ref",1,25.38992353,1.159719485,1.159719485,2.31943897,2
"no","","81-nmol/mol","part_1",2,80.67623077,0.04644222585,0.04644222585,0.0928844517,2
"no","","81-nmol/mol","part_1",2,80.66617308,0.03087461254,0.03087461254,0.06174922508,2
"no","","81-nmol/mol","part_1",2,80.689,0.03541488857,0.03541488857,0.07082977714,2
"no","","81-nmol/mol","part_2",3,80.67834615,0.05115811948,0.05115811948,0.10231623896,2
"no","","81-nmol/mol","part_2",3,80.66451923,0.04743167427,0.04743167427,0.09486334854,2
"no","","81-nmol/mol","part_2",3,80.69786538,0.02458138176,0.02458138176,0.04916276352,2
"no","","81-nmol/mol","part_3",4,80.68465385,0.0519709972,0.0519709972,0.1039419944,2
"no","","81-nmol/mol","part_3",4,80.67305769,0.0245402248,0.0245402248,0.0490804496,2
"no","","81-nmol/mol","part_3",4,80.69434615,0.02986769533,0.02986769533,0.05973539066,2
"no","","81-nmol/mol","ref",1,80.67528846,0.04750456309,0.04750456309,0.09500912618,2
"no","","81-nmol/mol","ref",1,80.69709615,0.0323071136,0.0323071136,0.0646142272,2
"no","","81-nmol/mol","ref",1,80.70007692,0.03652104848,0.03652104848,0.07304209696,2
"no","","82-nmol/mol","part_1",2,25.7321978,0.08315717,0.08315717,0.16631434,2
"no","","82-nmol/mol","part_1",2,25.68278022,0.08886110249,0.08886110249,0.17772220498,2
"no","","82-nmol/mol","part_1",2,25.61473626,0.07848931303,0.07848931303,0.15697862606,2
"no","","82-nmol/mol","part_2",3,25.71343956,0.07189583336,0.07189583336,0.14379166672,2
"no","","82-nmol/mol","part_2",3,25.74825275,0.09309540132,0.09309540132,0.18619080264,2
"no","","82-nmol/mol","part_2",3,25.6879011,0.0306646334,0.0306646334,0.0613292668,2
