"entregable","ruta","rol","estado_documental","extension","tamano_bytes","sha256","estado_git"
"00_control_documental","Entregables_pt_app/00_control_documental/cadena_generacion.md","fuente_documental","vigente_fase_2","md",2019,"e20124bb768ee032a5fe4db2a833c7a65c99e925c7d3947ee17e4663bad6dab4","rastreado"
"00_control_documental","Entregables_pt_app/00_control_documental/convencion_evidencia.md","fuente_documental","vigente_fase_2","md",2575,"59fcf705f3d645f19daeb3a3b51ceb1718d73697b888e84bb4219c296ffb1ac7","rastreado"
"00_control_documental","Entregables_pt_app/00_control_documental/derivados/ejemplo_controlado.docx","derivado","vigente_fase_2","docx",11718,"f7c4b5ce878b7e05853b87af6664344c9f2d48cb9ee8aa26abec2466b165981b","rastreado"
"00_control_documental","Entregables_pt_app/00_control_documental/derivados/ejemplo_controlado.pdf","derivado","vigente_fase_2","pdf",38715,"c38f060b7faf14b4e2e719cc13fcd8ef25f4118caf35db40665569e43b79aeb7","rastreado"
"00_control_documental","Entregables_pt_app/00_control_documental/derivados/manifiesto_generacion.csv","dato","vigente_fase_2","csv",617,"fe260fc76fee8a07fb48c029ef7dfd6ff9d44f2d321ebb65f01d4628d0b28cc6","rastreado"
"00_control_documental","Entregables_pt_app/00_control_documental/estilos/referencia.docx","derivado","vigente_fase_2","docx",11662,"ab62c728710ba0adad8b8ee1f02332dd837b9c973c454e74d0dfe6f4d9e659f6","rastreado"
"00_control_documental","Entregables_pt_app/00_control_documental/glosario_ciudadano.md","fuente_documental","vigente_fase_2","md",2571,"1caa6d47a9402c6f147a21907a56ca4b93c5dc09da587bc37e4c3c894e9bd5a7","rastreado"
"00_control_documental","Entregables_pt_app/00_control_documental/indice_maestro.md","fuente_documental","vigente_fase_2","md",3187,"63c7df6c6abc3bbb3b38178ad9a44082130e879f568f710e672965306cb6ace3","rastreado"
"00_control_documental","Entregables_pt_app/00_control_documental/mapa_audiencias.md","fuente_documental","vigente_fase_2","md",2056,"68c8595edace35c8a1d251e084e1f289d5ca50310d6bb3c03b0946064e174af6","rastreado"
"00_control_documental","Entregables_pt_app/00_control_documental/matriz_trazabilidad.csv","dato","vigente_fase_2","csv",1756,"ff804c0c3ef10c62373bf599f558232bd31109b784903b036b238a5bdfcab83b","rastreado"
"00_control_documental","Entregables_pt_app/00_control_documental/matriz_trazabilidad.md","fuente_documental","vigente_fase_2","md",967,"46c7a457f0d559cb983d7240c948c9c1387b03e6d7f1679356427d105cb50823","rastreado"
"00_control_documental","Entregables_pt_app/00_control_documental/plantillas/ejemplo_controlado.md","fuente_documental","vigente_fase_2","md",1086,"16407e27e2167c5c014d47fe92ff20534b4125b9e4a04dd0ca38f3f67f8c4cf8","rastreado"
"00_control_documental","Entregables_pt_app/00_control_documental/plantillas/plantilla_documento.md","fuente_documental","vigente_fase_2","md",2387,"90aa378b009c32bfdfd9e77e55ef45043efd26f01e89abb05fa0ff8e33de6057","rastreado"
"00_control_documental","Entregables_pt_app/00_control_documental/README.md","fuente_documental","vigente_fase_2","md",1922,"4c7d87060c828e5ed016cc62964f697f0637cecdfffc2cdf20d8e11d31d57600","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-01_inicio_carga.png","evidencia","pendiente_revision","png",317210,"d5f1a775dbed606da22a93ceb09c86bc57ff59aebb35a394dd5760e4ef0284ca","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-02_carga_valida.png","evidencia","pendiente_revision","png",332059,"0f332b8977686fd794332bdbc3b6dee0508a58737ff5ed5edb9c1ee3427378d6","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-03_preprocesador.png","evidencia","pendiente_revision","png",307264,"f42ed0e3954ce32f945e67903680c030e8d3bab2e2680262d244a5e9f15c2ac2","modificado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-04_homogeneidad_previa.png","evidencia","pendiente_revision","png",450432,"09853b207d4d3672d80786317472d83d483ec037d3236c0cf3eb05648f07f527","rastreado"
