"archivo","nombre_funcion","categoria","descripcion","parametros","retorno","ejemplos","referencia_iso","exportada","lifecycle","archivo_ruta"
"pt_robust_stats.R","calculate_mad_e","Estadisticos Robustos","Calculates 1.483 * MAD, providing a robust estimate of the standard deviation. The factor 1.483 ensures consistency with normal distribution.","x A numeric vector.","The scaled MAD (MADe), or NA if insufficient data.
","# Calculate MADe for data with an outlier
values <- c(10.1, 10.2, 9.9, 10.0, 50.0)  # 50 is outlier
calculate_mad_e(values)  # Robust to the outlier
","ISO 13528:2022, Section 9.4",TRUE,NA,"ptcalc/R/pt_robust_stats.R"
"pt_robust_stats.R","calculate_niqr","Estadisticos Robustos","Calculates 0.7413 * IQR, providing a robust estimate of the standard deviation. The factor 0.7413 ensures consistency with normal distribution.","x A numeric vector.","The normalized IQR (nIQR), or NA if insufficient data.
","# Calculate nIQR for proficiency testing data
values <- c(10.1, 10.2, 9.9, 10.0, 10.3, 9.8, 10.1)
calculate_niqr(values)
","ISO 13528:2022, Section 9.4",TRUE,NA,"ptcalc/R/pt_robust_stats.R"
"app.R","get_algo_a_stabilization_iter","Estadisticos Robustos","Extrae el numero de iteracion en la que el Algoritmo A alcanzo la convergencia, a partir del data frame de iteraciones.","res: lista de resultado de run_algorithm_a.","Entero con la iteracion de convergencia o NA.",NA,"ISO 13528:2022, Annex C",FALSE,NA,"app.R"
"pt_robust_stats.R","run_algorithm_a","Estadisticos Robustos","Iterative algorithm for computing robust estimates of location (x*) and scale (s*) from proficiency testing data using winsorization.","values A numeric vector of participant results.
ids Optional vector of participant identifiers (same length as values).
max_iter Maximum number of iterations (default: 100).
tol Numerical guard tolerance for x* and s* (default: 1e-10). The
  primary convergence criterion is 3rd significant figure comparison per
  ISO 13528:2022 NOTE 1; tol only catches machine-precision stalls.","A list containing:
  - assigned_value: Robust mean (x*)
  - robust_sd: Robust standard deviation (s*)
  - iterations: Data frame of iteration history (includes signif4_* columns)
  - iteration_detail: Data frame with per-participant detail per iteration
  - weights: Data frame with final winsorized values per participant
  - winsorized_values: Backward-compatible alias of weights
  - converged: Logical indicating convergence
  - convergence_method: `""signif3""` (ISO 13528:2022 NOTE 1) or
    `""numerical_guard""` (machine-precision stall) or `NA` if not converged
  - n_winsorized: Number of winsorized observations in final iteration
  - n: Number of valid observations used
  - n_participants: Backward-compatible alias of n
  - error: Error message or NULL if successful
","# Robust mean/sd with outlier in data
values <- c(10.1, 10.2, 9.9, 10.0, 10.3, 50.0)  # 50 is outlier
result <- run_algorithm_a(values)
cat(""Robust mean:"", result$assigned_value, ""\n"")
cat(""Robust SD:"", result$robust_sd, ""\n"")
","ISO 13528:2022, Annex C",TRUE,NA,"ptcalc/R/pt_robust_stats.R"
"report_template.Rmd","run_algorithm_a_report","Estadisticos Robustos","Wrapper del Algoritmo A para el reporte Rmd. Llama a run_algorithm_a de ptcalc con tolerancia 1e-03 y devuelve una lista simplificada (mean, sd, error).","values: vector numerico; max_iter: iteraciones maximas.","Lista con mean (valor asignado robusto), sd (desviacion robusta) y error.","run_algorithm_a_report(c(10, 10.1, 9.9, 50))","ISO 13528:2022, Annex C",FALSE,NA,"reports/report_template.Rmd"
"pt_robust_stats.R","stable_sigfig_value","Estadisticos Robustos","Redondea un valor al numero de cifras significativas estables usado por el Algoritmo A para verificar convergencia.","x: valor numerico; digits: numero de cifras significativas (default 3).","Valor redondeado.",NA,"ISO 13528:2022, Annex C",FALSE,NA,"ptcalc/R/pt_robust_stats.R"
"app.R","build_homogeneity_export_df","Homogeneidad y Estabilidad","Construye un data frame limpio con los resultados de homogeneidad para descarga.","Ninguno (usa reactives internos).","Data frame exportable.",NA,"ISO 13528:2022, Section 9.2",FALSE,NA,"app.R"
"app.R","build_stability_export_df","Homogeneidad y Estabilidad","Construye un data frame limpio con los resultados de estabilidad para descarga.","Ninguno (usa reactives internos).","Data frame exportable.",NA,"ISO 13528:2022, Section 9.3",FALSE,NA,"app.R"
"pt_homogeneity.R","calculate_homogeneity_criterion","Homogeneidad y Estabilidad","c = 0.3 * sigma_pt","sigma_pt Standard deviation for proficiency assessment.","The homogeneity criterion value.
","# Criterion for sigma_pt = 0.5
c <- calculate_homogeneity_criterion(sigma_pt = 0.5)
cat(""Homogeneity criterion:"", c)  # 0.15
","ISO 13528:2022, Section 9.2.3",TRUE,NA,"ptcalc/R/pt_homogeneity.R"
"pt_homogeneity.R","calculate_homogeneity_criterion_expanded","Homogeneidad y Estabilidad","Admite una rama con u_sigma_pt y otra con sw/g. La segunda retorna F1 * (0.3 * sigma_pt)^2 + F2 * sw^2; ambas ramas no tienen la misma forma dimensional.","sigma_pt Desviacion para evaluacion;
 u_sigma_pt Incertidumbre de sigma_pt para la primera rama;
 sw Desviacion dentro del item para la rama de tabla;
 g Numero de items, limitado al intervalo 7--20.","Criterio expandido para la rama u_sigma_pt o expresion cuadratica para la rama sw/g.",NA,"ISO 13528:2022, Section 9.2.4",TRUE,NA,"ptcalc/R/pt_homogeneity.R"
