"id","value","unit"
"CAL-HOM-MEAN",10.0085,"umol/mol"
"CAL-HOM-SW",0.0177482393492985,"umol/mol"
"CAL-HOM-SS",0.00903696114115037,"umol/mol"
"CAL-HOM-MADE",0.0222449999999995,"umol/mol"
"CAL-HOM-CBASE",0.00667349999999986,"umol/mol"
"CAL-HOM-CEXP",0.000401876932229983,"(umol/mol)^2"
"CAL-STAB-MEAN",10.01,"umol/mol"
"CAL-STAB-DIFF",0.00150000000000006,"umol/mol"
"CAL-STAB-CRIT",0.00667349999999986,"umol/mol"
"CAL-NIQR",0.0500377499999993,"umol/mol"
"CAL-MADE",0.0593199999999987,"umol/mol"
"CAL-ALGO-X",10.0170229645572,"umol/mol"
"CAL-ALGO-S",0.0795276922898264,"umol/mol"
"CAL-Z",1.6,"dimensionless"
"CAL-ZP",1.56892908110547,"dimensionless"
"CAL-ZETA",2.52982212813471,"dimensionless"
"CAL-EN",1.26491106406735,"dimensionless"
