"pollutant","level","hom_mean","stab_mean","difference","criterion","evaluacion"
"co","0-μmol/mol",-0.02528464472005,-0.0222556202335,0.00302902448655,0.009,"Estable"
"co","2-μmol/mol",2.01384291855,2.0093606275,0.00448229104999998,0.009,"Estable"
"co","4-μmol/mol",4.01999014065,4.028844264,0.00885412334999991,0.009,"Estable"
"co","6-μmol/mol",6.06484092775,6.07166307475,0.00682214700000028,0.009,"Estable"
"co","8-μmol/mol",8.0287584932,8.01674451175,0.01201398145,0.009,"No estable"
"no","0-nmol/mol",0.605534217165,0.661042929275,0.05550871211,0.009,"No estable"
"no","121-nmol/mol",120.354288545,120.3520751,0.00221344499999532,0.009,"Estable"
"no","122-nmol/mol",40.742819768,40.74758721,0.00476744200000212,0.009,"Estable"
"no","180-nmol/mol",182.270871845,182.15544555,0.115426294999992,0.009,"No estable"
"no","181-nmol/mol",180.21755435,180.261684775,0.0441304249999916,0.009,"No estable"
"no","182-nmol/mol",76.1466835445,75.9950949375,0.151588607000008,0.009,"No estable"
"no","42-nmol/mol",24.788347059,24.987911765,0.199564706,0.009,"No estable"
"no","81-nmol/mol",80.6952980765,80.67764423,0.0176538464999965,0.009,"No estable"
"no","82-nmol/mol",25.723510989,25.75118132,0.0276703309999995,0.009,"No estable"
"no2","0-nmol/mol",0.04920952353135,0.15170497215,0.10249544861865,0.009,"No estable"
"no2","120-nmol/mol",122.798797465,122.4522152,0.346582264999995,0.009,"No estable"
"no2","30-nmol/mol",32.932136904,32.95264881,0.0205119059999959,0.009,"No estable"
"no2","60-nmol/mol",64.9229340655,65.01758242,0.094648354499995,0.009,"No estable"
"no2","90-nmol/mol",96.829726745,96.846075585,0.016348839999992,0.009,"No estable"
"o3","0-nmol/mol",4.0335e-05,2.4225e-05,1.611e-05,0.009,"Estable"
"o3","120-nmol/mol",119.811856795,119.494608,0.317248794999998,0.009,"No estable"
"o3","180-nmol/mol",178.23200331,178.451996475,0.219993164999977,0.009,"No estable"
"o3","40-nmol/mol",40.5500283605,40.561764535,0.0117361745000011,0.009,"No estable"
"o3","80-nmol/mol",79.8771130595,80.09346787,0.216354810499993,0.009,"No estable"
"so2","0-nmol/mol",0.0366981132089,0.026886792465,0.0098113207439,0.009,"No estable"
"so2","100-nmol/mol",99.46975789,99.2695960425,0.200161847499999,0.009,"No estable"
"so2","140-nmol/mol",139.10227561,139.107112875,0.00483726499999193,0.009,"Estable"
"so2","180-nmol/mol",180.58356219,180.291289225,0.292272964999995,0.009,"No estable"
"so2","20-nmol/mol",19.715352941,19.74617647,0.0308235290000027,0.009,"No estable"
"so2","60-nmol/mol",59.899784946,59.86263441,0.0371505359999986,0.009,"No estable"
"so2","61-nmol/mol",59.0450617275,59.0441358,0.000925927499999091,0.009,"Estable"
