"pollutant","level","g","m","grand_mean","x_pt","sigma_pt","s_x_bar","sw","ss","c_criterion","c_expanded","evaluacion"
"co","0-μmol/mol",10,2,-0.02528464472005,-0.0228370132465,0.0012247698718105,0.00818419128663422,0.0367931034135838,0,0.009,0.0015195497833907,"Aceptable"
"co","2-μmol/mol",10,2,2.01384291855,2.0130151515,0.00352455489549988,0.00242198006924377,0.00501479214531589,0,0.009,0.000177679621663329,"Aceptable"
"co","4-μmol/mol",10,2,4.01999014065,4.0147272725,0.00338056560574928,0.00844516662312599,0.0137769566335928,0,0.009,0.000343982579424736,"Aceptable"
"co","6-μmol/mol",10,2,6.06484092775,6.0611206895,0.00487514931874998,0.00681982979559414,0.012192378208276,0,0.009,0.000302420627237379,"Aceptable"
"co","8-μmol/mol",10,2,8.0287584932,7.9939705885,0.0742388153869999,0.0442130876731672,0.0523422775489151,0.0241855351830663,0.009,0.00291939115919774,"No aceptable"
"no","0-nmol/mol",10,2,0.605534217165,0.49319949495,0.02932108207595,0.0926424575661633,0.170360103498808,0,0.009,0.0294650705127659,"Aceptable"
"no","121-nmol/mol",10,2,120.354288545,120.35770755,0.0335580284250176,0.0402219122830928,0.0541726227833506,0.0122664460254474,0.009,0.00311629978981947,"No aceptable"
"no","122-nmol/mol",10,2,40.742819768,40.734593025,0.0275475888474928,0.0368381357657581,0.0398056821409435,0.0237655650331211,0.009,0.00175261725401289,"No aceptable"
"no","180-nmol/mol",10,2,182.270871845,182.0388889,0.0819606273249891,0.112814516113372,0.288914159342068,0,0.009,0.0844583853830172,"Aceptable"
"no","181-nmol/mol",10,2,180.21755435,180.21630435,0.0390899891749916,0.0470324565527552,0.0650718669084454,0.00974053581234573,0.009,0.00442897134157994,"No aceptable"
"no","182-nmol/mol",10,2,76.1466835445,76.40107595,0.285430570465004,0.241511185397461,0.324962248188523,0.0743466293668867,0.009,0.106808747375217,"No aceptable"
"no","42-nmol/mol",10,2,24.788347059,24.23279412,0.344732073747497,0.558369470193966,1.22546078954315,0,0.009,1.5169239681748,"Aceptable"
"no","81-nmol/mol",10,2,80.6952980765,80.71509615,0.0269506702250105,0.0379930187346075,0.0444567578818008,0.0213370056917016,0.009,0.00214844735457467,"No aceptable"
"no","82-nmol/mol",10,2,25.723510989,25.678186815,0.050845715344999,0.0666306793048303,0.0949992305586711,0,0.009,0.00926738234480695,"Aceptable"
"no2","0-nmol/mol",10,2,0.04920952353135,-0.006157347204,0.0634710500736683,0.113109759023753,0.124912055270553,0.0706562581124597,0.009,0.0159113317674328,"No aceptable"
"no2","120-nmol/mol",10,2,122.798797465,122.64746835,0.179274012150004,0.26225968792302,0.426157715679388,0,0.009,0.183578782619405,"Aceptable"
"no2","30-nmol/mol",10,2,32.932136904,32.9475,0.0305427372125004,0.0351897701655818,0.0570985882646828,0,0.009,0.00344513126963797,"Aceptable"
"no2","60-nmol/mol",10,2,64.9229340655,64.950054945,0.159748433739995,0.15472887425314,0.296001612009591,0,0.009,0.0886454038553995,"Aceptable"
"no2","90-nmol/mol",10,2,96.829726745,96.80924419,0.0155197692524959,0.0308776232898584,0.0504671980497656,0,0.009,0.0027246874597842,"Aceptable"
"o3","0-nmol/mol",10,2,4.0335e-05,3.23e-05,1.193815e-05,1.56664015935022e-05,3.1435990520421e-05,0,0.009,0.000152280998103715,"Aceptable"
"o3","120-nmol/mol",10,2,119.811856795,119.89775165,1.1744003055,0.712404475603208,0.643563748656928,0.548117676750899,0.009,0.418468321571211,"No aceptable"
"o3","180-nmol/mol",10,2,178.23200331,176.538053,2.81762889014999,1.72527587095961,1.53114008586259,1.34327281281495,0.009,2.36798614216066,"No aceptable"
"o3","40-nmol/mol",10,2,40.5500283605,40.84064535,0.483125136942491,0.3037702116387,0.252124925484972,0.245952947641656,0.009,0.0643549278313106,"No aceptable"
"o3","80-nmol/mol",10,2,79.8771130595,79.53503226,0.409879666840003,0.401347515653629,0.492575461512957,0.199410470334405,0.009,0.24520917113755,"No aceptable"
"so2","0-nmol/mol",10,2,0.0366981132089,0.04245283019,0.009793396226555,0.00832531951250331,0.0361974137060284,0,0.009,0.00147563528659543,"Aceptable"
"so2","100-nmol/mol",10,2,99.46975789,99.526096845,0.342318887949999,0.384707033202636,0.524170125920263,0.10306474150718,0.009,0.277654144116337,"No aceptable"
"so2","140-nmol/mol",10,2,139.10227561,138.6862069,0.065143407324983,0.316148781386473,0.501621417346453,0,0.009,0.254292566804071,"Aceptable"
"so2","180-nmol/mol",10,2,180.58356219,180.8345361,0.46181913917501,0.325747026781925,0.261063385071971,0.268391654014513,0.009,0.0689879119354887,"No aceptable"
"so2","20-nmol/mol",10,2,19.715352941,19.72,0.0370750000000005,0.0309275423386594,0.0294388125195391,0.0228733695337894,0.009,0.00102759011938618,"No aceptable"
"so2","60-nmol/mol",10,2,59.899784946,59.900537635,0.0330884438899994,0.0267069591743292,0.0394449294980435,0,0.009,0.00172374148773668,"Aceptable"
"so2","61-nmol/mol",10,2,59.0450617275,59.05308642,0.017393213492501,0.0240925329902722,0.0284218878953853,0.0132871475538744,0.009,0.000968161748653229,"No aceptable"
