"id","capability","expected","obtained","status","evidence","responsible"
"VAL-01","Homogeneity","sw=0.01774823935; ss=0.00903696114","sw=0.0177482393493; ss=0.00903696114115","PASS","anexos/calculos_reproducibles.csv","Equipo técnico PT"
"VAL-02","Stability","difference=0.0015; criterion=0.0066735","difference=0.0015; criterion=0.0066735","PASS","anexos/calculos_reproducibles.csv","Equipo técnico PT"
"VAL-03","nIQR","0.05003775","0.05003775","PASS","anexos/calculos_reproducibles.csv","Equipo técnico PT"
"VAL-04","MADe","0.05932","0.05932","PASS","anexos/calculos_reproducibles.csv","Equipo técnico PT"
"VAL-05","Algorithm A","x=10.01702296; s=0.07952769; one winsorized","converged=TRUE; n_winsorized=1","PASS","anexos/calculos_reproducibles.csv","Equipo técnico PT"
"VAL-06","z score","1.6","1.6","PASS","anexos/calculos_reproducibles.csv","Equipo técnico PT"
"VAL-07","z prime score","1.5689290811","1.56892908111","PASS","anexos/calculos_reproducibles.csv","Equipo técnico PT"
"VAL-08","zeta score","2.5298221281","2.52982212813","PASS","anexos/calculos_reproducibles.csv","Equipo técnico PT"
"VAL-09","En score","1.2649110641","1.26491106407","PASS","anexos/calculos_reproducibles.csv","Equipo técnico PT"
"VAL-10","Score boundaries","2 satisfactory; 3 unsatisfactory","Satisfactorio; No satisfactorio","PASS","anexos/calculos_reproducibles.csv","Equipo técnico PT"
"VAL-11","Invalid denominators","typed NA","z=NA; En=NA","PASS","tests/test_09_reproducibilidad.R","Equipo técnico PT"
"VAL-12","Expanded criterion","positional app call errors; returned value has squared unit","returned 0.00040187693223 with squared unit","OPEN_RISK","ptcalc/R/pt_homogeneity.R; E03 documented defect","Responsable de ptcalc"
