"pollutant","level","n_participants","z_satisfactorio","z_cuestionable","z_no_satisfactorio","en_satisfactorio","en_no_satisfactorio"
"co","0-μmol/mol",9,9,0,0,9,0
"co","2-μmol/mol",9,7,1,1,9,0
"co","4-μmol/mol",9,9,0,0,9,0
"co","6-μmol/mol",9,9,0,0,9,0
"co","8-μmol/mol",9,9,0,0,9,0
"no","0-nmol/mol",9,9,0,0,9,0
"no","121-nmol/mol",9,8,1,0,9,0
"no","122-nmol/mol",9,8,0,1,9,0
"no","180-nmol/mol",9,9,0,0,9,0
"no","181-nmol/mol",9,8,1,0,9,0
"no","182-nmol/mol",9,9,0,0,9,0
"no","42-nmol/mol",9,8,1,0,9,0
"no","81-nmol/mol",9,9,0,0,9,0
"no","82-nmol/mol",9,7,1,1,9,0
"no2","0-nmol/mol",9,9,0,0,9,0
"no2","120-nmol/mol",9,2,3,4,9,0
"no2","30-nmol/mol",9,9,0,0,9,0
"no2","60-nmol/mol",9,9,0,0,9,0
"no2","90-nmol/mol",9,9,0,0,9,0
"o3","0-nmol/mol",9,9,0,0,9,0
"o3","120-nmol/mol",9,9,0,0,9,0
"o3","180-nmol/mol",9,8,1,0,9,0
"o3","40-nmol/mol",9,9,0,0,9,0
"o3","80-nmol/mol",9,9,0,0,9,0
"so2","0-nmol/mol",9,8,1,0,9,0
"so2","100-nmol/mol",9,9,0,0,9,0
"so2","140-nmol/mol",9,0,1,8,9,0
"so2","180-nmol/mol",9,9,0,0,9,0
"so2","20-nmol/mol",9,9,0,0,9,0
"so2","60-nmol/mol",9,9,0,0,9,0
