pollutant,run,level,replicate,sample_id,value
co,corrida_1,0-μmol/mol,1,1,-0.02798398234
co,corrida_1,0-μmol/mol,1,2,-0.02248920112
co,corrida_1,0-μmol/mol,1,3,-0.01719943798
co,corrida_1,0-μmol/mol,1,4,-0.02169253312
co,corrida_1,0-μmol/mol,2,1,-0.03293311923
co,corrida_1,0-μmol/mol,2,2,-0.02305893216
co,corrida_1,0-μmol/mol,2,3,-0.02880004014
co,corrida_1,0-μmol/mol,2,4,-0.01688896026
co,corrida_2,2-μmol/mol,1,1,2.012150827
co,corrida_2,2-μmol/mol,1,2,2.012092091
co,corrida_2,2-μmol/mol,1,3,2.01303011
co,corrida_2,2-μmol/mol,1,4,2.013671545
co,corrida_2,2-μmol/mol,2,1,2.017236471
co,corrida_2,2-μmol/mol,2,2,2.014069009
co,corrida_2,2-μmol/mol,2,3,2.013595035
co,corrida_2,2-μmol/mol,2,4,2.012153858
co,corrida_3,4-μmol/mol,1,1,4.028347143
co,corrida_3,4-μmol/mol,1,2,4.025554913
co,corrida_3,4-μmol/mol,1,3,4.025817987
co,corrida_3,4-μmol/mol,1,4,4.025406905
co,corrida_3,4-μmol/mol,2,1,4.021748247
co,corrida_3,4-μmol/mol,2,2,4.02804855
co,corrida_3,4-μmol/mol,2,3,4.018397381
co,corrida_3,4-μmol/mol,2,4,4.02159461
co,corrida_4,6-μmol/mol,1,1,6.0693559520000004
co,corrida_4,6-μmol/mol,1,2,6.075254187
co,corrida_4,6-μmol/mol,1,3,6.077621223
co,corrida_4,6-μmol/mol,1,4,6.075875616
co,corrida_4,6-μmol/mol,2,1,6.067096346
co,corrida_4,6-μmol/mol,2,2,6.068699589
co,corrida_4,6-μmol/mol,2,3,6.069348276
co,corrida_4,6-μmol/mol,2,4,6.075067406
co,corrida_5,8-μmol/mol,1,1,8.02975665
co,corrida_5,8-μmol/mol,1,2,8.046159612
co,corrida_5,8-μmol/mol,1,3,8.029278176
co,corrida_5,8-μmol/mol,1,4,8.075060486
co,corrida_5,8-μmol/mol,2,1,8.026982502
co,corrida_5,8-μmol/mol,2,2,8.050316368
co,corrida_5,8-μmol/mol,2,3,8.016623764
co,corrida_5,8-μmol/mol,2,4,8.013773316
no,corrida_1,0-nmol/mol,1,1,0.5634295455
no,corrida_1,0-nmol/mol,1,2,0.5148156566
no,corrida_1,0-nmol/mol,1,3,0.5289242424
no,corrida_1,0-nmol/mol,1,4,0.5427828283
no,corrida_1,0-nmol/mol,2,1,0.5766277778
no,corrida_1,0-nmol/mol,2,2,0.594305303
no,corrida_1,0-nmol/mol,2,3,0.5386888889
no,corrida_1,0-nmol/mol,2,4,0.5520727273
no,corrida_2,121-nmol/mol,1,1,120.4113439
no,corrida_2,121-nmol/mol,1,2,120.3319368
no,corrida_2,121-nmol/mol,1,3,120.3851383
no,corrida_2,121-nmol/mol,1,4,120.3323715
no,corrida_2,121-nmol/mol,2,1,120.3347036
no,corrida_2,121-nmol/mol,2,2,120.3276285
no,corrida_2,121-nmol/mol,2,3,120.3326087
no,corrida_2,121-nmol/mol,2,4,120.3866008
no,corrida_3,122-nmol/mol,1,1,40.75243023
no,corrida_3,122-nmol/mol,1,2,40.73732558
no,corrida_3,122-nmol/mol,1,3,40.74063953
no,corrida_3,122-nmol/mol,1,4,40.75259302
no,corrida_3,122-nmol/mol,2,1,40.74166279
no,corrida_3,122-nmol/mol,2,2,40.70034884
no,corrida_3,122-nmol/mol,2,3,40.74005814
no,corrida_3,122-nmol/mol,2,4,40.76286047
no,corrida_4,180-nmol/mol,1,1,182.2615347
no,corrida_4,180-nmol/mol,1,2,182.3591034
no,corrida_4,180-nmol/mol,1,3,182.1907426
no,corrida_4,180-nmol/mol,1,4,182.23122
no,corrida_4,180-nmol/mol,2,1,182.3335578
no,corrida_4,180-nmol/mol,2,2,182.2518152
no,corrida_4,180-nmol/mol,2,3,182.1830594
no,corrida_4,180-nmol/mol,2,4,182.1331408
no,corrida_5,181-nmol/mol,1,1,180.2058696
no,corrida_5,181-nmol/mol,1,2,180.2323913
no,corrida_5,181-nmol/mol,1,3,180.1982609
no,corrida_5,181-nmol/mol,1,4,180.1784783
no,corrida_5,181-nmol/mol,2,1,180.2304348
no,corrida_5,181-nmol/mol,2,2,180.2220652
no,corrida_5,181-nmol/mol,2,3,180.1988043
no,corrida_5,181-nmol/mol,2,4,180.203913
no,NA,182-nmol/mol,1,1,75.91082278
no,NA,182-nmol/mol,1,2,75.89739241
no,NA,182-nmol/mol,1,3,76.13855696
no,NA,182-nmol/mol,1,4,75.93308861
no,NA,182-nmol/mol,2,1,75.94536709
no,NA,182-nmol/mol,2,2,76.18525316
no,NA,182-nmol/mol,2,3,75.94650633
no,NA,182-nmol/mol,2,4,76.08293671
no,NA,42-nmol/mol,1,1,24.70989412
no,NA,42-nmol/mol,1,2,24.95159412
no,NA,42-nmol/mol,1,3,24.99004118
no,NA,42-nmol/mol,1,4,24.79114118
no,NA,42-nmol/mol,2,1,25.04735294
no,NA,42-nmol/mol,2,2,25.10635294
no,NA,42-nmol/mol,2,3,24.81234706
no,NA,42-nmol/mol,2,4,24.80806471
no,NA,81-nmol/mol,1,1,80.67623077
no,NA,81-nmol/mol,1,2,80.67834615
no,NA,81-nmol/mol,1,3,80.68465385
no,NA,81-nmol/mol,1,4,80.67528846
no,NA,81-nmol/mol,2,1,80.66617308
no,NA,81-nmol/mol,2,2,80.66451923
no,NA,81-nmol/mol,2,3,80.67305769
no,NA,81-nmol/mol,2,4,80.69709615
no,NA,82-nmol/mol,1,1,25.7321978
no,NA,82-nmol/mol,1,2,25.71343956
no,NA,82-nmol/mol,1,3,25.69504396
no,NA,82-nmol/mol,1,4,25.7530989
no,NA,82-nmol/mol,2,1,25.68278022
no,NA,82-nmol/mol,2,2,25.74825275
no,NA,82-nmol/mol,2,3,25.64441758
no,NA,82-nmol/mol,2,4,25.66447253
no2,corrida_1,0-nmol/mol,1,1,0.09647186628
no2,corrida_1,0-nmol/mol,1,2,0.1698580602
no2,corrida_1,0-nmol/mol,1,3,0.1627337415
