pollutant,instrument,unit,nominal,tolerance,label,generator_col
co,co_tapi,ppm,0,0.15,0-ppm,co_gen_ppm
co,co_tapi,ppm,1.4,0.25,1.4-ppm,co_gen_ppm
co,co_tapi,ppm,2.8,0.25,2.8-ppm,co_gen_ppm
co,co_tapi,ppm,4.2,0.25,4.2-ppm,co_gen_ppm
co,co_tapi,ppm,6.3,0.25,6.3-ppm,co_gen_ppm
so2,so2,ppb,0,5,0-ppb,so2_gen_ppb
so2,so2,ppb,40,10,40-ppb,so2_gen_ppb
so2,so2,ppb,80,10,80-ppb,so2_gen_ppb
so2,so2,ppb,119,15,119-ppb,so2_gen_ppb
so2,so2,ppb,179,20,179-ppb,so2_gen_ppb
no,no,ppb,40,10,40-ppb,no_gen_ppb
no,no,ppb,75,10,75-ppb,no_gen_ppb
no,no,ppb,120,10,120-ppb,no_gen_ppb
no,no,ppb,150,10,150-ppb,no_gen_ppb
no2,no2,ppb,30,10,30-ppb,no2_gen_ppb
no2,no2,ppb,60,10,60-ppb,no2_gen_ppb
no2,no2,ppb,105,10,105-ppb,no2_gen_ppb
no2,no2,ppb,140,10,140-ppb,no2_gen_ppb
nox,nox,ppb,180,10,180-ppb,nox_gen_ppb
o3,o3,ppb,0,5,0-ppb,o3_gen_ppb
o3,o3,ppb,40,10,40-ppb,o3_gen_ppb
o3,o3,ppb,80,10,80-ppb,o3_gen_ppb
o3,o3,ppb,121,10,121-ppb,o3_gen_ppb
o3,o3,ppb,180,20,180-ppb,o3_gen_ppb
