"check","status","detail","timestamp"
"file_exists:ronda","PASS","data/raw/datos_ronda.csv","2026-05-08 16:31:08"
"file_exists:levels","PASS","data/metadata/niveles_calaire.csv","2026-05-08 16:31:08"
"separator","PASS","Separator ; detected","2026-05-08 16:31:08"
"units_row_excluded","PASS","No rows with NA timestamp","2026-05-08 16:31:08"
"hourly_n75pct","PASS","26 valid hours with n >= 45","2026-05-08 16:31:08"
"decimal_output:h_referencia_ronda","PASS","Numeric columns stored as R numeric (point decimal)","2026-05-08 16:31:08"
"ronda_level_coverage","PASS","Levels with valid hours: 0-ppb, 0-ppm, 1.4-ppm, 119-ppb, 179-ppb, 2.8-ppm, 4.2-ppm, 40-ppb, 6.3-ppm, 80-ppb","2026-05-08 16:31:08"
"row_counts","PASS","raw=902 clean=901 hourly=26 mm=0","2026-05-08 16:31:08"
"empty_rows","PASS","Removed 1 completely empty rows","2026-05-08 16:31:08"
"timestamp_parse","PASS","All 901 timestamps parsed","2026-05-08 16:31:08"
"chronological_order","PASS","Timestamps in chronological order","2026-05-08 16:31:08"
"duplicate_timestamps","PASS","No duplicate timestamps","2026-05-08 16:31:08"
"minute_gaps","PASS","No minute gaps","2026-05-08 16:31:08"
"na_counts","PASS","co_calaire_ppm:0; so2_calaire_ppb:0; co_gen_ppm:0; so2_gen_ppb:0","2026-05-08 16:31:08"
