"source","date","hour_start","pollutant","level","generated_nominal","generated_mean","generated_sd","instrument","participant_id","mean_value","sd_value","u_value","n","unit","valid_hour","validation_flags"
"ronda","2026-04-23","2026-04-23 12:00:00","co","0-ppm",0,0,0,"co_calaire","CALAIRE",NA,NA,NA,30,"ppm",FALSE,"n=30"
"ronda","2026-04-23","2026-04-23 12:00:00","co","0-ppm",0,0,0,"co_invitado1","Invitado1",NA,NA,NA,30,"ppm",FALSE,"n=30"
"ronda","2026-04-23","2026-04-23 12:00:00","so2","0-ppb",0,0,0,"so2_calaire","CALAIRE",NA,NA,NA,30,"ppb",FALSE,"n=30"
"ronda","2026-04-23","2026-04-23 12:00:00","so2","0-ppb",0,0,0,"so2_invitado1","Invitado1",NA,NA,NA,30,"ppb",FALSE,"n=30"
"ronda","2026-04-23","2026-04-23 13:00:00","co","0-ppm",0,0,0,"co_calaire","CALAIRE",-0.0182333333333333,0.0293022626919843,0.00378290584707501,60,"ppm",TRUE,""
"ronda","2026-04-23","2026-04-23 13:00:00","co","0-ppm",0,0,0,"co_invitado1","Invitado1",0.0387666666666667,0.0254421022121159,0.00328456127200106,60,"ppm",TRUE,""
"ronda","2026-04-23","2026-04-23 13:00:00","so2","0-ppb",0,0,0,"so2_calaire","CALAIRE",-0.0288,0.0374834652812614,0.00483909455974897,60,"ppb",TRUE,""
"ronda","2026-04-23","2026-04-23 13:00:00","so2","0-ppb",0,0,0,"so2_invitado1","Invitado1",0.100733333333333,0.138266491236561,0.0178501272632578,60,"ppb",TRUE,""
"ronda","2026-04-23","2026-04-23 14:00:00","co",NA,NA,5.99691666666667,1.38739792162806,"co_calaire","CALAIRE",NA,NA,NA,60,"ppm",FALSE,"mixed_level"
"ronda","2026-04-23","2026-04-23 14:00:00","co",NA,NA,5.99691666666667,1.38739792162806,"co_invitado1","Invitado1",NA,NA,NA,60,"ppm",FALSE,"mixed_level"
"ronda","2026-04-23","2026-04-23 14:00:00","so2",NA,NA,170.05,39.3413677995438,"so2_calaire","CALAIRE",NA,NA,NA,60,"ppb",FALSE,"mixed_level"
"ronda","2026-04-23","2026-04-23 14:00:00","so2",NA,NA,170.05,39.3413677995438,"so2_invitado1","Invitado1",NA,NA,NA,60,"ppb",FALSE,"mixed_level"
"ronda","2026-04-23","2026-04-23 15:00:00","co","6.3-ppm",6.3,6.31168333333333,0.00125538388573578,"co_calaire","CALAIRE",6.2843,0.0433442272269135,0.00559571567346887,60,"ppm",TRUE,""
"ronda","2026-04-23","2026-04-23 15:00:00","co","6.3-ppm",6.3,6.31168333333333,0.00125538388573578,"co_invitado1","Invitado1",6.50496666666667,0.0450611511685263,0.00581736960122124,60,"ppm",TRUE,""
"ronda","2026-04-23","2026-04-23 15:00:00","so2","179-ppb",179,179,0,"so2_calaire","CALAIRE",180.065166666667,0.812885281098131,0.104943038535673,60,"ppb",TRUE,""
"ronda","2026-04-23","2026-04-23 15:00:00","so2","179-ppb",179,179,0,"so2_invitado1","Invitado1",184.818583333333,0.409947838420923,0.0529240383672654,60,"ppb",TRUE,""
"ronda","2026-04-23","2026-04-23 16:00:00","co","6.3-ppm",6.3,6.31218333333333,0.00103320575119083,"co_calaire","CALAIRE",6.3193,0.0452051069561311,0.00583595421348736,60,"ppm",TRUE,""
"ronda","2026-04-23","2026-04-23 16:00:00","co","6.3-ppm",6.3,6.31218333333333,0.00103320575119083,"co_invitado1","Invitado1",6.4736,0.0422760099459392,0.00545780941549072,60,"ppm",TRUE,""
"ronda","2026-04-23","2026-04-23 16:00:00","so2","179-ppb",179,179,0,"so2_calaire","CALAIRE",180.055833333333,1.17941347340233,0.152261624692662,60,"ppb",TRUE,""
"ronda","2026-04-23","2026-04-23 16:00:00","so2","179-ppb",179,179,0,"so2_invitado1","Invitado1",185.8321,0.565476121571722,0.0730026533841747,60,"ppb",TRUE,""
