"source","date","hour_start","pollutant","instrument","level","replicate","sample_id","study_type","source_column","unit","mean_value","sd_value","u_value","n","valid_hour","validation_flags"
"estabilidad_homogeneidad","2026-04-22","2026-04-22 13:00:00","co","co_tapi","0-ppm",1,1,"stability_homogeneity","co_tapi_ppm","ppm",NA,NA,NA,30,FALSE,"n=30|partial_or_na"
"estabilidad_homogeneidad","2026-04-22","2026-04-22 14:00:00","co","co_tapi","0-ppm",1,1,"stability_homogeneity","co_tapi_ppm","ppm",0.0212166666666667,0.0262272284872858,0.00338592063828115,60,TRUE,""
"estabilidad_homogeneidad","2026-04-22","2026-04-22 15:00:00","co","co_tapi","0-ppm",1,1,"stability_homogeneity","co_tapi_ppm","ppm",0.0281333333333333,0.0309288229713884,0.00399289387619948,60,TRUE,""
"estabilidad_homogeneidad","2026-04-22","2026-04-22 16:00:00","co","co_tapi","0-ppm",1,1,"stability_homogeneity","co_tapi_ppm","ppm",NA,NA,NA,29,FALSE,"n=29|partial_or_na"
"estabilidad_homogeneidad","2026-04-22","2026-04-22 13:00:00","so2","so2","0-ppb",1,2,"stability_homogeneity","so2_ppb","ppb",NA,NA,NA,30,FALSE,"n=30|partial_or_na"
"estabilidad_homogeneidad","2026-04-22","2026-04-22 14:00:00","so2","so2","0-ppb",1,2,"stability_homogeneity","so2_ppb","ppb",0.0165166666666667,0.0447586717917877,0.00577831968159858,60,TRUE,""
"estabilidad_homogeneidad","2026-04-22","2026-04-22 15:00:00","so2","so2","0-ppb",1,2,"stability_homogeneity","so2_ppb","ppb",0.0153,0.0477160741135894,0.00616011867961102,60,TRUE,""
"estabilidad_homogeneidad","2026-04-22","2026-04-22 16:00:00","so2","so2","0-ppb",1,2,"stability_homogeneity","so2_ppb","ppb",NA,NA,NA,29,FALSE,"n=29|partial_or_na"
"estabilidad_homogeneidad","2026-04-22","2026-04-22 16:00:00","co","co_tapi","6.3-ppm",1,3,"stability_homogeneity","co_tapi_ppm","ppm",NA,NA,NA,22,FALSE,"n=22|partial_or_na"
"estabilidad_homogeneidad","2026-04-22","2026-04-22 17:00:00","co","co_tapi","6.3-ppm",1,3,"stability_homogeneity","co_tapi_ppm","ppm",6.32361666666667,0.0444366208980403,0.00573674308999476,60,TRUE,""
"estabilidad_homogeneidad","2026-04-22","2026-04-22 18:00:00","co","co_tapi","6.3-ppm",1,3,"stability_homogeneity","co_tapi_ppm","ppm",6.32325,0.040630048578086,0.00524531671661752,60,TRUE,""
"estabilidad_homogeneidad","2026-04-22","2026-04-22 19:00:00","co","co_tapi","6.3-ppm",1,3,"stability_homogeneity","co_tapi_ppm","ppm",NA,NA,NA,33,FALSE,"n=33|partial_or_na"
"estabilidad_homogeneidad","2026-04-22","2026-04-22 16:00:00","so2","so2","179-ppb",1,4,"stability_homogeneity","so2_ppb","ppb",NA,NA,NA,22,FALSE,"n=22|partial_or_na"
"estabilidad_homogeneidad","2026-04-22","2026-04-22 17:00:00","so2","so2","179-ppb",1,4,"stability_homogeneity","so2_ppb","ppb",182.761266666667,0.95201883378797,0.12290510295122,60,TRUE,""
"estabilidad_homogeneidad","2026-04-22","2026-04-22 18:00:00","so2","so2","179-ppb",1,4,"stability_homogeneity","so2_ppb","ppb",183.426366666667,1.18769882855235,0.153331259443111,60,TRUE,""
"estabilidad_homogeneidad","2026-04-22","2026-04-22 19:00:00","so2","so2","179-ppb",1,4,"stability_homogeneity","so2_ppb","ppb",NA,NA,NA,33,FALSE,"n=33|partial_or_na"
"estabilidad_homogeneidad","2026-04-22","2026-04-22 19:00:00","co","co_tapi","4.2-ppm",1,5,"stability_homogeneity","co_tapi_ppm","ppm",NA,NA,NA,24,FALSE,"n=24|partial_or_na"
"estabilidad_homogeneidad","2026-04-22","2026-04-22 20:00:00","co","co_tapi","4.2-ppm",1,5,"stability_homogeneity","co_tapi_ppm","ppm",4.1727,0.0315483486902999,0.00407287430259586,60,TRUE,""
"estabilidad_homogeneidad","2026-04-22","2026-04-22 21:00:00","co","co_tapi","4.2-ppm",1,5,"stability_homogeneity","co_tapi_ppm","ppm",4.17096666666667,0.0357253964960819,0.00461212885553273,60,TRUE,""
"estabilidad_homogeneidad","2026-04-22","2026-04-22 22:00:00","co","co_tapi","4.2-ppm",1,5,"stability_homogeneity","co_tapi_ppm","ppm",NA,NA,NA,36,FALSE,"n=36|partial_or_na"
"estabilidad_homogeneidad","2026-04-22","2026-04-22 19:00:00","so2","so2","119-ppb",1,6,"stability_homogeneity","so2_ppb","ppb",NA,NA,NA,24,FALSE,"n=24|partial_or_na"
"estabilidad_homogeneidad","2026-04-22","2026-04-22 20:00:00","so2","so2","119-ppb",1,6,"stability_homogeneity","so2_ppb","ppb",122.110116666667,0.668328171993539,0.0862807959977408,60,TRUE,""
"estabilidad_homogeneidad","2026-04-22","2026-04-22 21:00:00","so2","so2","119-ppb",1,6,"stability_homogeneity","so2_ppb","ppb",122.109933333333,0.749904940115104,0.0968123114768156,60,TRUE,""
