"source","participant_id","date","hour_start","pollutant","level","generated_nominal","generated_mean","generated_sd","instrument","mean_value","sd_value","u_value","n","unit","valid_hour","validation_flags"
"ronda_participante","part_1","2026-04-23","2026-04-23 12:30:00","co","0-ppm",0,0,0,"part_1",0.0346666666666667,0.0198756018279346,0.00256592916251469,60,"ppm",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 14:03:00","co","6.3-ppm",6.3,6.31251666666667,0.00137152230981772,"part_1",6.49311666666667,0.027670023960754,0.00357218473297201,60,"ppm",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 15:03:00","co","6.3-ppm",6.3,6.31171666666667,0.001263458619669,"part_1",6.50038333333333,0.0453809082782419,0.0058586500665799,60,"ppm",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 16:03:00","co","6.3-ppm",6.3,6.3121,0.00106881845107389,"part_1",6.47358333333333,0.0467718195855649,0.00603821594422369,60,"ppm",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 17:03:00","co","4.2-ppm",4.2,4.21363333333333,0.00116395973293198,"part_1",4.34348333333333,0.172800020761403,0.0223083867544403,60,"ppm",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 18:03:00","co","4.2-ppm",4.2,4.21338333333333,0.000903696114115175,"part_1",4.32175,0.0275340313313531,0.00355462816000946,60,"ppm",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 19:03:00","co","4.2-ppm",4.2,4.21303333333333,0.00131441379170321,"part_1",4.30496666666667,0.0363742163602078,0.00469589113981434,60,"ppm",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 20:06:00","co","2.8-ppm",2.8,2.81348333333333,0.00104948198144539,"part_1",2.87686666666667,0.0639240721923261,0.00825256223408798,60,"ppm",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 21:06:00","co","2.8-ppm",2.8,2.81333333333333,0.00103607254943062,"part_1",2.87036666666667,0.0286391735196218,0.00369730140302132,60,"ppm",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 22:06:00","co","2.8-ppm",2.8,2.81321052631579,0.00101307245025899,"part_1",2.85978947368421,0.0417786415195378,0.00553371625268488,57,"ppm",TRUE,"n=57"
"ronda_participante","part_1","2026-04-23","2026-04-23 23:03:00","co","1.4-ppm",1.4,1.4132,0.00113196993431955,"part_1",1.46951666666667,0.0860979914068487,0.0111152028953545,60,"ppm",TRUE,""
"ronda_participante","part_1","2026-04-24","2026-04-24 00:03:00","co","1.4-ppm",1.4,1.41343333333333,0.00131956164609809,"part_1",1.45093333333333,0.0232807963829846,0.00300553788925818,60,"ppm",TRUE,""
"ronda_participante","part_1","2026-04-24","2026-04-24 01:03:00","co","1.4-ppm",1.4,1.41345,0.00130741043054516,"part_1",1.45555,0.0242049336615353,0.00312484349890605,60,"ppm",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 12:30:00","so2","0-ppb",0,0,0,"part_1",0.271866666666667,0.217794605983436,0.0281171627289218,60,"ppb",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 14:03:00","so2","179-ppb",179,179,0,"part_1",183.457083333333,3.37023471642337,0.435095430983926,60,"ppb",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 15:03:00","so2","179-ppb",179,179,0,"part_1",184.8182,0.409812722833991,0.0529065950199987,60,"ppb",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 16:03:00","so2","179-ppb",179,179,0,"part_1",185.32915,4.23033799517129,0.546134286804229,60,"ppb",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 17:03:00","so2","119-ppb",119,119,0,"part_1",123.516566666667,0.512141974710028,0.066117244631524,60,"ppb",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 18:03:00","so2","119-ppb",119,119,0,"part_1",122.962733333333,0.272937620405778,0.035236095279502,60,"ppb",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 19:03:00","so2","119-ppb",119,119,0,"part_1",122.793616666667,0.421134669538149,0.0543682520543938,60,"ppb",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 20:06:00","so2","80-ppb",80,80,0,"part_1",81.6865833333333,0.253593047254492,0.0327387216243546,60,"ppb",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 21:06:00","so2","80-ppb",80,80,0,"part_1",81.69645,0.308665713809221,0.0398485723042779,60,"ppb",TRUE,""
"ronda_participante","part_1","2026-04-23","2026-04-23 22:06:00","so2","80-ppb",80,80,0,"part_1",80.9562456140351,4.17784842644043,0.553369542373363,57,"ppb",TRUE,"n=57"
"ronda_participante","part_1","2026-04-23","2026-04-23 23:03:00","so2","40-ppb",40,40,0,"part_1",40.77235,0.276802739834094,0.0357350800520677,60,"ppb",TRUE,""
"ronda_participante","part_1","2026-04-24","2026-04-24 00:03:00","so2","40-ppb",40,40,0,"part_1",40.8975,0.32984457048429,0.0425827509440865,60,"ppb",TRUE,""
"ronda_participante","part_1","2026-04-24","2026-04-24 01:03:00","so2","40-ppb",40,40,0,"part_1",40.7065833333333,0.206057116622393,0.0266018593682016,60,"ppb",TRUE,""
