"source","date","hour_start","pollutant","level","generated_nominal","generated_mean","generated_sd","instrument","mean_value","sd_value","u_value","n","unit","valid_hour","validation_flags"
"ronda","2026-04-30","2026-04-30 13:32:00","o3","0-ppb",0,0,0,"calaire_ref",-0.2046,0.536569808433193,0.0692708644046487,60,"ppb",TRUE,""
"ronda","2026-04-30","2026-04-30 15:09:00","o3","180-ppb",180,180,0,"calaire_ref",182.929916666667,2.59616864571731,0.3351639309603,60,"ppb",TRUE,""
"ronda","2026-04-30","2026-04-30 16:09:00","o3","180-ppb",180,180,0,"calaire_ref",179.845966666667,5.22098904834495,0.674026787832376,60,"ppb",TRUE,""
"ronda","2026-04-30","2026-04-30 17:09:00","o3","180-ppb",180,180,0,"calaire_ref",180.826962962963,0.698024326844366,0.0949890793788004,54,"ppb",TRUE,"n=54"
"ronda","2026-04-30","2026-04-30 18:03:00","o3","121-ppb",121,121,0,"calaire_ref",120.073666666667,3.26888270274322,0.422010942280999,60,"ppb",TRUE,""
"ronda","2026-04-30","2026-04-30 19:03:00","o3","121-ppb",121,121,0,"calaire_ref",120.895133333333,0.425580738487719,0.0549422370876529,60,"ppb",TRUE,""
"ronda","2026-04-30","2026-04-30 20:03:00","o3","121-ppb",121,121,0,"calaire_ref",121.169916666667,0.411945952175919,0.0531819937438297,60,"ppb",TRUE,""
"ronda","2026-04-30","2026-04-30 21:03:00","o3","80-ppb",80,80,0,"calaire_ref",80.4498333333333,2.37388728736377,0.306467530991113,60,"ppb",TRUE,""
"ronda","2026-04-30","2026-04-30 22:03:00","o3","80-ppb",80,80,0,"calaire_ref",80.42675,0.324627798604985,0.0419092685904361,60,"ppb",TRUE,""
"ronda","2026-04-30","2026-04-30 23:03:00","o3","80-ppb",80,80,0,"calaire_ref",80.3855,0.366530758068363,0.0473189173957183,60,"ppb",TRUE,""
"ronda","2026-05-01","2026-05-01 00:03:00","o3","40-ppb",40,40,0,"calaire_ref",39.5594333333333,1.51692574219855,0.195834271232278,60,"ppb",TRUE,""
"ronda","2026-05-01","2026-05-01 01:03:00","o3","40-ppb",40,40,0,"calaire_ref",39.5623666666667,0.285527223711201,0.0368614060774106,60,"ppb",TRUE,""
"ronda","2026-05-01","2026-05-01 02:03:00","o3","40-ppb",40,40,0,"calaire_ref",39.4078666666667,0.323434978489858,0.0417552761757391,60,"ppb",TRUE,""
