"source","date","hour_start","pollutant","level","generated_nominal","generated_mean","generated_sd","instrument","mean_value","sd_value","u_value","n","unit","valid_hour","validation_flags"
"ronda","2026-05-01","2026-05-01 03:01:00","no","0-ppb",0,0,0,"calaire_ref",0.00770175438596492,0.711440113053202,0.0942325449852979,57,"ppb",TRUE,"n=57"
"ronda","2026-05-01","2026-05-01 04:22:00","no","179-ppb",179,179,0,"calaire_ref",179.434833333333,0.951974489878028,0.122899378177063,60,"ppb",TRUE,""
"ronda","2026-05-01","2026-05-01 05:22:00","no","179-ppb",179,179,0,"calaire_ref",179.822766666667,0.424156565539653,0.0547583771506537,60,"ppb",TRUE,""
"ronda","2026-05-01","2026-05-01 06:22:00","no","179-ppb",179,179,0,"calaire_ref",179.735071428571,0.417352558925374,0.0557710816068619,56,"ppb",TRUE,"n=56"
"ronda","2026-05-01","2026-05-01 07:20:00","no","119-ppb",119,119,0,"calaire_ref",118.482233333333,0.525458875059248,0.0678364490740451,60,"ppb",TRUE,""
"ronda","2026-05-01","2026-05-01 08:20:00","no","119-ppb",119,119,0,"calaire_ref",118.38455,0.387454378943782,0.0500201452354801,60,"ppb",TRUE,""
"ronda","2026-05-01","2026-05-01 09:20:00","no","119-ppb",119,119,0,"calaire_ref",118.432766666667,0.487228946520713,0.0629009865221635,60,"ppb",TRUE,""
"ronda","2026-05-01","2026-05-01 10:22:00","no","79-ppb",79,79,0,"calaire_ref",78.0728666666667,0.532343793167811,0.0687252881798606,60,"ppb",TRUE,""
"ronda","2026-05-01","2026-05-01 11:22:00","no","79-ppb",79,79,0,"calaire_ref",77.9403666666667,0.362388309697829,0.0467841296106649,60,"ppb",TRUE,""
"ronda","2026-05-01","2026-05-01 12:22:00","no","79-ppb",79,79,0,"calaire_ref",77.65412,0.793261432058711,0.112184107572493,50,"ppb",TRUE,"n=50"
"ronda","2026-05-01","2026-05-01 13:14:00","no","37-ppb",37,37,0,"calaire_ref",37.1906833333333,0.307697104620909,0.0397235253957674,60,"ppb",TRUE,""
"ronda","2026-05-01","2026-05-01 14:14:00","no","37-ppb",37,37,0,"calaire_ref",36.96655,0.407206998749418,0.0525701974871866,60,"ppb",TRUE,""
"ronda","2026-05-01","2026-05-01 15:14:00","no","37-ppb",37,37,0,"calaire_ref",37.1534807692308,0.37960172577474,0.052641287943671,52,"ppb",TRUE,"n=52"
