"source","pollutant","level","unit","instrument","mean_value","sd_value","u_value","n_hours","hour_starts"
"ronda_participante","co","0-ppm","ppm","part_1",0.0346666666666667,NA,0.00256592916251469,1,"2026-04-23 12:30:00"
"ronda_participante","co","6.3-ppm","ppm","part_1",6.48902777777778,0.0138599877077603,0.00800206763404031,3,"2026-04-23 14:03:00|2026-04-23 15:03:00|2026-04-23 16:03:00"
"ronda_participante","co","4.2-ppm","ppm","part_1",4.3234,0.0193112733339304,0.0111493688577392,3,"2026-04-23 17:03:00|2026-04-23 18:03:00|2026-04-23 19:03:00"
"ronda_participante","co","2.8-ppm","ppm","part_1",2.86900760233918,0.00861933419265617,0.00497637491636538,3,"2026-04-23 20:06:00|2026-04-23 21:06:00|2026-04-23 22:06:00"
"ronda_participante","co","1.4-ppm","ppm","part_1",1.45866666666667,0.00967575721986545,0.00558630103550278,3,"2026-04-23 23:03:00|2026-04-24 00:03:00|2026-04-24 01:03:00"
"ronda_participante","so2","0-ppb","ppb","part_1",0.271866666666667,NA,0.0281171627289218,1,"2026-04-23 12:30:00"
"ronda_participante","so2","179-ppb","ppb","part_1",184.534811111111,0.967672644994347,0.558686062074923,3,"2026-04-23 14:03:00|2026-04-23 15:03:00|2026-04-23 16:03:00"
"ronda_participante","so2","119-ppb","ppb","part_1",123.090972222222,0.378150876096554,0.218325510108638,3,"2026-04-23 17:03:00|2026-04-23 18:03:00|2026-04-23 19:03:00"
"ronda_participante","so2","80-ppb","ppb","part_1",81.4464263157895,0.424537604997597,0.245106900526482,3,"2026-04-23 20:06:00|2026-04-23 21:06:00|2026-04-23 22:06:00"
"ronda_participante","so2","40-ppb","ppb","part_1",40.7921444444444,0.0969853516048989,0.0559945188565389,3,"2026-04-23 23:03:00|2026-04-24 00:03:00|2026-04-24 01:03:00"
