"source","pollutant","level","unit","instrument","mean_h1","mean_h2","mean_h3","mean_value","sd_value","u_value","n_hours","hour_starts"
"ronda","co","0-ppm","ppm","calaire_ref",-0.0241333333333333,NA,NA,-0.0241333333333333,NA,0.00384483413545893,1,"2026-04-23 12:30:00"
"ronda","co","6.3-ppm","ppm","calaire_ref",6.2805,6.2807,6.31706666666667,6.29275555555556,0.0210542772992231,0.0121556926662995,3,"2026-04-23 14:03:00|2026-04-23 15:03:00|2026-04-23 16:03:00"
"ronda","co","4.2-ppm","ppm","calaire_ref",4.19158333333333,4.15068333333333,4.15295,4.16507222222222,0.0229872508948699,0.0132716954920826,3,"2026-04-23 17:03:00|2026-04-23 18:03:00|2026-04-23 19:03:00"
"ronda","co","2.8-ppm","ppm","calaire_ref",2.77748333333333,2.772,2.76359649122807,2.77102660818713,0.0069944059526271,0.00403822215957078,3,"2026-04-23 20:06:00|2026-04-23 21:06:00|2026-04-23 22:06:00"
"ronda","co","1.4-ppm","ppm","calaire_ref",1.40031666666667,1.37808333333333,1.39311666666667,1.39050555555556,0.0113443247354659,0.00654964893979577,3,"2026-04-23 23:03:00|2026-04-24 00:03:00|2026-04-24 01:03:00"
"ronda","so2","0-ppb","ppb","calaire_ref",-0.0311,NA,NA,-0.0311,NA,0.00537333340342908,1,"2026-04-23 12:30:00"
"ronda","so2","179-ppb","ppb","calaire_ref",177.28675,179.979683333333,180.057666666667,179.108033333333,1.57775951439938,0.910919880354974,3,"2026-04-23 14:03:00|2026-04-23 15:03:00|2026-04-23 16:03:00"
"ronda","so2","119-ppb","ppb","calaire_ref",121.039833333333,120.496666666667,120.45995,120.665483333333,0.324715984019537,0.187474860783854,3,"2026-04-23 17:03:00|2026-04-23 18:03:00|2026-04-23 19:03:00"
"ronda","so2","80-ppb","ppb","calaire_ref",80.5636166666667,80.60705,80.4270350877193,80.532567251462,0.0939382339586543,0.0542352646632271,3,"2026-04-23 20:06:00|2026-04-23 21:06:00|2026-04-23 22:06:00"
"ronda","so2","40-ppb","ppb","calaire_ref",40.6700833333333,40.4206333333333,40.4024,40.4977055555556,0.149561650548576,0.0863494592046649,3,"2026-04-23 23:03:00|2026-04-24 00:03:00|2026-04-24 01:03:00"
