Date Time,Time,NO_ref,Nox_ref,NO_gen
05/01/26 ,03:01,0.086,-0.935,0
05/01/26 ,03:02,-0.045,-0.912,0
05/01/26 ,03:03,0.532,-0.82,0
05/01/26 ,03:04,0.728,-1.632,0
05/01/26 ,03:05,1.611,-0.972,0
05/01/26 ,03:06,1.032,-0.551,0
05/01/26 ,03:07,0.613,-0.195,0
05/01/26 ,03:08,Samp<,Samp<,0
05/01/26 ,03:09,Samp<,Samp<,0
05/01/26 ,03:10,0.408,-0.731,0
05/01/26 ,03:11,0.836,-1.086,0
05/01/26 ,03:12,0.711,0.178,0
05/01/26 ,03:13,0.787,1.537,0
05/01/26 ,03:14,0.345,1.019,0
05/01/26 ,03:15,0.054,0.583,0
05/01/26 ,03:16,-0.646,-0.016,0
05/01/26 ,03:17,-0.331,-0.109,0
05/01/26 ,03:18,1.235,-0.36,0
05/01/26 ,03:19,1.603,-0.094,0
05/01/26 ,03:20,1.363,1.134,0
05/01/26 ,03:21,1.226,1.456,0
05/01/26 ,03:22,0.191,0.18,0
05/01/26 ,03:23,-0.73,-0.58,0
05/01/26 ,03:24,-0.091,-0.358,0
05/01/26 ,03:25,1.059,-0.506,0
05/01/26 ,03:26,1.328,0.079,0
05/01/26 ,03:27,Samp<,Samp<,0
05/01/26 ,03:28,-0.344,0.126,0
05/01/26 ,03:29,-0.418,0.254,0
05/01/26 ,03:30,-0.696,-0.58,0
05/01/26 ,03:31,-0.726,-0.662,0
05/01/26 ,03:32,-0.742,-0.757,0
05/01/26 ,03:33,-0.405,-0.442,0
05/01/26 ,03:34,0.062,0.475,0
05/01/26 ,03:35,-0.274,0.298,0
05/01/26 ,03:36,-0.844,-0.417,0
05/01/26 ,03:37,-1.129,-1.042,0
05/01/26 ,03:38,-0.48,-0.819,0
05/01/26 ,03:39,0.146,-0.145,0
05/01/26 ,03:40,0.069,-0.233,0
05/01/26 ,03:41,-0.298,-0.029,0
05/01/26 ,03:42,-0.258,-0.629,0
05/01/26 ,03:43,-0.294,-0.699,0
05/01/26 ,03:44,-0.58,-0.321,0
05/01/26 ,03:45,-0.428,-0.492,0
05/01/26 ,03:46,-0.313,-0.853,0
05/01/26 ,03:47,-0.42,-0.382,0
05/01/26 ,03:48,-0.46,-0.221,0
05/01/26 ,03:49,-0.999,-0.696,0
05/01/26 ,03:50,-0.449,-0.581,0
05/01/26 ,03:51,-0.169,-0.533,0
05/01/26 ,03:52,-0.508,-0.487,0
05/01/26 ,03:53,-0.356,-0.615,0
05/01/26 ,03:54,-0.092,-0.358,0
05/01/26 ,03:55,0.278,-0.033,0
05/01/26 ,03:56,-0.473,-0.295,0
05/01/26 ,03:57,-0.448,-0.544,0
05/01/26 ,03:58,-0.759,-1.397,0
05/01/26 ,03:59,-1.174,-1.743,0
05/01/26 ,04:00,0.515,-0.213,0
05/01/26 ,04:01,1.331,-0.041,0
05/01/26 ,04:02,-0.355,0.124,0
05/01/26 ,04:03,-0.675,0.924,0
05/01/26 ,04:04,-0.839,0.385,0
05/01/26 ,04:05,-1.636,-0.518,0
05/01/26 ,04:06,-0.989,-1.114,0
05/01/26 ,04:07,-0.708,-1.507,0
05/01/26 ,04:08,-0.071,-0.463,0
05/01/26 ,04:09,0.128,0.071,0
05/01/26 ,04:10,-0.289,0.358,0
05/01/26 ,04:11,-1.017,0.003,0
05/01/26 ,04:12,-1.149,-0.65,0
05/01/26 ,04:13,-1.963,-1.49,0
05/01/26 ,04:14,0.831,0.088,0
05/01/26 ,04:15,25.557,31.521,
05/01/26 ,04:16,48.157,85.601,
05/01/26 ,04:17,48.955,114.333,
05/01/26 ,04:18,75.915,139.402,
05/01/26 ,04:19,120.564,158.993,
05/01/26 ,04:20,154.779,171.547,
05/01/26 ,04:21,167.771,175.463,
05/01/26 ,04:22,175.047,178.577,179
05/01/26 ,04:23,177.032,180.221,179
05/01/26 ,04:24,177.715,181.378,179
05/01/26 ,04:25,177.843,180.97,179
05/01/26 ,04:26,177.757,179.468,179
05/01/26 ,04:27,177.634,179.482,179
05/01/26 ,04:28,178.905,179.518,179
05/01/26 ,04:29,180.059,179.464,179
05/01/26 ,04:30,179.566,180.184,179
05/01/26 ,04:31,179.239,180.38,179
05/01/26 ,04:32,179.1,179.932,179
05/01/26 ,04:33,178.656,179.624,179
05/01/26 ,04:34,178.758,179.559,179
05/01/26 ,04:35,179.005,179.345,179
05/01/26 ,04:36,179.543,179.691,179
05/01/26 ,04:37,179.523,180.412,179
05/01/26 ,04:38,179.573,180.452,179
05/01/26 ,04:39,178.854,179.574,179
05/01/26 ,04:40,178.791,179.587,179
05/01/26 ,04:41,179.229,180.056,179
05/01/26 ,04:42,178.889,179.218,179
05/01/26 ,04:43,178.769,178.819,179
05/01/26 ,04:44,179.322,179.703,179
05/01/26 ,04:45,179.573,180.177,179
