pollutant,run,level,replicate,sample_id,value
co,corrida_1,0-μmol/mol,1,1,-0.048
co,corrida_1,0-μmol/mol,1,2,0.005
co,corrida_1,0-μmol/mol,2,1,-0.049
co,corrida_1,0-μmol/mol,2,2,0.003
co,corrida_2,2-μmol/mol,1,1,2.01
co,corrida_2,2-μmol/mol,1,2,2.009
co,corrida_2,2-μmol/mol,2,1,2.015
co,corrida_2,2-μmol/mol,2,2,2.004
co,corrida_3,4-μmol/mol,1,1,4.036
co,corrida_3,4-μmol/mol,1,2,4.033
co,corrida_3,4-μmol/mol,2,1,4.011
co,corrida_3,4-μmol/mol,2,2,4.035
co,corrida_4,6-μmol/mol,1,1,6.084
co,corrida_4,6-μmol/mol,1,2,6.058
co,corrida_4,6-μmol/mol,2,1,6.06
co,corrida_4,6-μmol/mol,2,2,6.085
co,corrida_5,8-μmol/mol,1,1,7.979
co,corrida_5,8-μmol/mol,1,2,7.996
co,corrida_5,8-μmol/mol,2,1,8.105
co,corrida_5,8-μmol/mol,2,2,7.988
no,corrida_1,0-nmol/mol,1,1,0.461
no,corrida_1,0-nmol/mol,1,2,0.702
no,corrida_1,0-nmol/mol,2,1,0.702
no,corrida_1,0-nmol/mol,2,2,0.779
no,corrida_2,121-nmol/mol,1,1,120.38
no,corrida_2,121-nmol/mol,1,2,120.304
no,corrida_2,121-nmol/mol,2,1,120.413
no,corrida_2,121-nmol/mol,2,2,120.311
no,corrida_3,122-nmol/mol,1,1,40.764
no,corrida_3,122-nmol/mol,1,2,40.741
no,corrida_3,122-nmol/mol,2,1,40.712
no,corrida_3,122-nmol/mol,2,2,40.774
no,corrida_4,180-nmol/mol,1,1,182
no,corrida_4,180-nmol/mol,1,2,182.057
no,corrida_4,180-nmol/mol,2,1,182.043
no,corrida_4,180-nmol/mol,2,2,182.522
no,corrida_5,181-nmol/mol,1,1,180.302
no,corrida_5,181-nmol/mol,1,2,180.21
no,corrida_5,181-nmol/mol,2,1,180.342
no,corrida_5,181-nmol/mol,2,2,180.192
no,corrida_6,182-nmol/mol,1,1,76.207
no,corrida_6,182-nmol/mol,1,2,76.147
no,corrida_6,182-nmol/mol,2,1,75.861
no,corrida_6,182-nmol/mol,2,2,75.766
no,corrida_7,42-nmol/mol,1,1,25.641
no,corrida_7,42-nmol/mol,1,2,24.604
no,corrida_7,42-nmol/mol,2,1,24.744
no,corrida_7,42-nmol/mol,2,2,24.962
no,corrida_8,81-nmol/mol,1,1,80.673
no,corrida_8,81-nmol/mol,1,2,80.612
no,corrida_8,81-nmol/mol,2,1,80.689
no,corrida_8,81-nmol/mol,2,2,80.737
no,corrida_9,82-nmol/mol,1,1,25.756
no,corrida_9,82-nmol/mol,1,2,25.858
no,corrida_9,82-nmol/mol,2,1,25.616
no,corrida_9,82-nmol/mol,2,2,25.775
no2,corrida_1,0-nmol/mol,1,1,0.05
no2,corrida_1,0-nmol/mol,1,2,0.324
no2,corrida_1,0-nmol/mol,2,1,0.299
no2,corrida_1,0-nmol/mol,2,2,-0.066
no2,corrida_2,120-nmol/mol,1,1,121.909
no2,corrida_2,120-nmol/mol,1,2,122.252
no2,corrida_2,120-nmol/mol,2,1,122.416
no2,corrida_2,120-nmol/mol,2,2,123.232
no2,corrida_3,30-nmol/mol,1,1,32.981
no2,corrida_3,30-nmol/mol,1,2,32.84
no2,corrida_3,30-nmol/mol,2,1,33.03
no2,corrida_3,30-nmol/mol,2,2,32.96
no2,corrida_4,60-nmol/mol,1,1,64.816
no2,corrida_4,60-nmol/mol,1,2,65.206
no2,corrida_4,60-nmol/mol,2,1,65.066
no2,corrida_4,60-nmol/mol,2,2,64.982
no2,corrida_5,90-nmol/mol,1,1,96.777
no2,corrida_5,90-nmol/mol,1,2,96.865
no2,corrida_5,90-nmol/mol,2,1,96.89
no2,corrida_5,90-nmol/mol,2,2,96.852
o3,corrida_1,0-nmol/mol,1,1,0.00E+00
