pollutant,run,level,replicate,sample_id,value
co,corrida_1,0-μmol/mol,1,1,-0.0480754717
co,corrida_1,0-μmol/mol,1,2,0.00514893617
co,corrida_1,0-μmol/mol,2,1,-0.04941509434
co,corrida_1,0-μmol/mol,2,2,0.003319148936
co,corrida_2,2-μmol/mol,1,1,2.009787234
co,corrida_2,2-μmol/mol,1,2,2.009242424
co,corrida_2,2-μmol/mol,2,1,2.014574468
co,corrida_2,2-μmol/mol,2,2,2.003838384
co,corrida_3,4-μmol/mol,1,1,4.036059524
co,corrida_3,4-μmol/mol,1,2,4.033345238
co,corrida_3,4-μmol/mol,2,1,4.010781818
co,corrida_3,4-μmol/mol,2,2,4.035190476
co,corrida_4,6-μmol/mol,1,1,6.083833333
co,corrida_4,6-μmol/mol,1,2,6.057574713
co,corrida_4,6-μmol/mol,2,1,6.06016092
co,corrida_4,6-μmol/mol,2,2,6.085083333
co,corrida_5,8-μmol/mol,1,1,7.978833333
co,corrida_5,8-μmol/mol,1,2,7.995852941
co,corrida_5,8-μmol/mol,2,1,8.104576087
co,corrida_5,8-μmol/mol,2,2,7.987715686
no,corrida_1,0-nmol/mol,1,1,0.4614444444
no,corrida_1,0-nmol/mol,1,2,0.7019318182
no,corrida_1,0-nmol/mol,2,1,0.7020454545
no,corrida_1,0-nmol/mol,2,2,0.77875
no,corrida_2,121-nmol/mol,1,1,120.3798419
no,corrida_2,121-nmol/mol,1,2,120.3043478
no,corrida_2,121-nmol/mol,2,1,120.4126482
no,corrida_2,121-nmol/mol,2,2,120.3114625
no,corrida_3,122-nmol/mol,1,1,40.76372093
no,corrida_3,122-nmol/mol,1,2,40.74069767
no,corrida_3,122-nmol/mol,2,1,40.71174419
no,corrida_3,122-nmol/mol,2,2,40.77418605
no,corrida_4,180-nmol/mol,1,1,182
no,corrida_4,180-nmol/mol,1,2,182.0566667
no,corrida_4,180-nmol/mol,2,1,182.0433333
no,corrida_4,180-nmol/mol,2,2,182.5217822
no,corrida_5,181-nmol/mol,1,1,180.3021739
no,corrida_5,181-nmol/mol,1,2,180.2097826
no,corrida_5,181-nmol/mol,2,1,180.3423913
no,corrida_5,181-nmol/mol,2,2,180.1923913
no,corrida_6,182-nmol/mol,1,1,76.20696203
no,corrida_6,182-nmol/mol,1,2,76.14721519
no,corrida_6,182-nmol/mol,2,1,75.86063291
no,corrida_6,182-nmol/mol,2,2,75.76556962
no,corrida_7,42-nmol/mol,1,1,25.64147059
no,corrida_7,42-nmol/mol,1,2,24.60370588
no,corrida_7,42-nmol/mol,2,1,24.744
no,corrida_7,42-nmol/mol,2,2,24.96247059
no,corrida_8,81-nmol/mol,1,1,80.67326923
no,corrida_8,81-nmol/mol,1,2,80.61153846
no,corrida_8,81-nmol/mol,2,1,80.68903846
no,corrida_8,81-nmol/mol,2,2,80.73673077
no,corrida_9,82-nmol/mol,1,1,25.75615385
no,corrida_9,82-nmol/mol,1,2,25.85769231
no,corrida_9,82-nmol/mol,2,1,25.61615385
no,corrida_9,82-nmol/mol,2,2,25.77472527
no2,corrida_1,0-nmol/mol,1,1,0.05029908973
no2,corrida_1,0-nmol/mol,1,2,0.3235393258
no2,corrida_1,0-nmol/mol,2,1,0.2988202247
no2,corrida_1,0-nmol/mol,2,2,-0.06583875163
no2,corrida_2,120-nmol/mol,1,1,121.9088608
no2,corrida_2,120-nmol/mol,1,2,122.2518987
no2,corrida_2,120-nmol/mol,2,1,122.4164557
no2,corrida_2,120-nmol/mol,2,2,123.2316456
no2,corrida_3,30-nmol/mol,1,1,32.98083333
no2,corrida_3,30-nmol/mol,1,2,32.84011905
no2,corrida_3,30-nmol/mol,2,1,33.03011905
no2,corrida_3,30-nmol/mol,2,2,32.95952381
no2,corrida_4,60-nmol/mol,1,1,64.81571429
no2,corrida_4,60-nmol/mol,1,2,65.20582418
no2,corrida_4,60-nmol/mol,2,1,65.06637363
no2,corrida_4,60-nmol/mol,2,2,64.98241758
no2,corrida_5,90-nmol/mol,1,1,96.77686047
no2,corrida_5,90-nmol/mol,1,2,96.86523256
no2,corrida_5,90-nmol/mol,2,1,96.89034884
no2,corrida_5,90-nmol/mol,2,2,96.85186047
o3,corrida_1,0-nmol/mol,1,1,3.23E-05
o3,corrida_1,0-nmol/mol,1,2,3.23E-05
o3,corrida_1,0-nmol/mol,2,1,3.23E-05
o3,corrida_1,0-nmol/mol,2,2,0
o3,corrida_2,120-nmol/mol,1,1,120.6943667
o3,corrida_2,120-nmol/mol,1,2,119.104028
o3,corrida_2,120-nmol/mol,2,1,119.0893364
o3,corrida_2,120-nmol/mol,2,2,119.0907009
o3,corrida_3,180-nmol/mol,1,1,180.4232737
o3,corrida_3,180-nmol/mol,1,2,180.41
o3,corrida_3,180-nmol/mol,2,1,176.4841061
o3,corrida_3,180-nmol/mol,2,2,176.4906061
o3,corrida_4,40-nmol/mol,1,1,40.22648485
o3,corrida_4,40-nmol/mol,1,2,40.89218605
o3,corrida_4,40-nmol/mol,2,1,40.92187209
