pollutant,run,level,replicate,sample_id,value
co,corrida_1,0-μmol/mol,1,1,-0.01655403452
co,corrida_1,0-μmol/mol,1,2,-0.01101545564
co,corrida_1,0-μmol/mol,1,3,-0.01108301887
co,corrida_1,0-μmol/mol,1,4,-0.02768321959
co,corrida_1,0-μmol/mol,1,5,-0.006355760739
co,corrida_1,0-μmol/mol,1,6,-0.006493777599
co,corrida_1,0-μmol/mol,1,7,-0.01790192694
co,corrida_1,0-μmol/mol,1,8,-0.02790136491
co,corrida_1,0-μmol/mol,1,9,-0.01120236853
co,corrida_1,0-μmol/mol,1,10,-0.0169780008
co,corrida_1,0-μmol/mol,1,11,-0.02810562023
co,corrida_1,0-μmol/mol,1,12,-8.51e-5
co,corrida_1,0-μmol/mol,1,13,-0.02353986351
co,corrida_1,0-μmol/mol,2,1,-0.03817699719
co,corrida_1,0-μmol/mol,2,2,-0.001097390606
co,corrida_1,0-μmol/mol,2,3,-0.01697607387
co,corrida_1,0-μmol/mol,2,4,-0.01709289442
co,corrida_1,0-μmol/mol,2,5,-0.02260293055
co,corrida_1,0-μmol/mol,2,6,-0.01692826174
co,corrida_1,0-μmol/mol,2,7,0.004761702128
co,corrida_1,0-μmol/mol,2,8,-0.02738663187
co,corrida_1,0-μmol/mol,2,9,-0.01185331192
co,corrida_1,0-μmol/mol,2,10,-0.02809779205
co,corrida_1,0-μmol/mol,2,11,-0.0167685267
co,corrida_1,0-μmol/mol,2,12,-0.006640907266
co,corrida_1,0-μmol/mol,2,13,-0.04371087916
co,corrida_2,2-μmol/mol,1,1,2.015084634
co,corrida_2,2-μmol/mol,1,2,2.013565076
co,corrida_2,2-μmol/mol,1,3,2.012894283
co,corrida_2,2-μmol/mol,1,4,2.016583946
co,corrida_2,2-μmol/mol,1,5,2.011254717
co,corrida_2,2-μmol/mol,1,6,2.01150836
co,corrida_2,2-μmol/mol,1,7,2.014205803
co,corrida_2,2-μmol/mol,1,8,2.015212336
co,corrida_2,2-μmol/mol,1,9,2.01089222
co,corrida_2,2-μmol/mol,1,10,2.013188502
co,corrida_2,2-μmol/mol,1,11,2.014925145
co,corrida_2,2-μmol/mol,1,12,2.01138184
co,corrida_2,2-μmol/mol,1,13,2.014549216
co,corrida_2,2-μmol/mol,2,1,2.013660993
co,corrida_2,2-μmol/mol,2,2,2.014488094
co,corrida_2,2-μmol/mol,2,3,2.014491253
co,corrida_2,2-μmol/mol,2,4,2.012937739
co,corrida_2,2-μmol/mol,2,5,2.013242467
co,corrida_2,2-μmol/mol,2,6,2.01631326
co,corrida_2,2-μmol/mol,2,7,2.01467709
co,corrida_2,2-μmol/mol,2,8,2.01014309
co,corrida_2,2-μmol/mol,2,9,2.01610303
co,corrida_2,2-μmol/mol,2,10,2.013786847
co,corrida_2,2-μmol/mol,2,11,2.013279239
co,corrida_2,2-μmol/mol,2,12,2.013018762
co,corrida_2,2-μmol/mol,2,13,2.014296712
