pollutant,run,level,participant_id,replicate,mean_value,sd_value
co,corrida_1,0-μmol/mol,part_1,2,-0.012,0.027
co,corrida_1,0-μmol/mol,part_1,2,-0.033,0.026
co,corrida_1,0-μmol/mol,part_1,2,-0.029,0.028
co,corrida_1,0-μmol/mol,part_2,3,-0.006,0.022
co,corrida_1,0-μmol/mol,part_2,3,-0.022,0.029
co,corrida_1,0-μmol/mol,part_2,3,-0.001,0.017
co,corrida_1,0-μmol/mol,part_3,4,-0.017,0.029
co,corrida_1,0-μmol/mol,part_3,4,-0.022,0.028
co,corrida_1,0-μmol/mol,part_3,4,-0.023,0.028
co,corrida_1,0-μmol/mol,part_4,5,-0.034,0.027
co,corrida_1,0-μmol/mol,part_4,5,-0.012,0.027
co,corrida_1,0-μmol/mol,part_4,5,-0.023,0.029
co,corrida_1,0-μmol/mol,part_5,6,-0.023,0.029
co,corrida_1,0-μmol/mol,part_5,6,-0.024,0.029
co,corrida_1,0-μmol/mol,part_5,6,-0.022,0.028
co,corrida_1,0-μmol/mol,part_6,7,-0.018,0.028
co,corrida_1,0-μmol/mol,part_6,7,-0.011,0.025
co,corrida_1,0-μmol/mol,part_6,7,-0.034,0.027
co,corrida_1,0-μmol/mol,part_7,8,-0.028,0.028
co,corrida_1,0-μmol/mol,part_7,8,-0.039,0.023
co,corrida_1,0-μmol/mol,part_7,8,-0.012,0.027
co,corrida_1,0-μmol/mol,part_8,9,-0.016,0.028
co,corrida_1,0-μmol/mol,part_8,9,-0.022,0.028
co,corrida_1,0-μmol/mol,part_8,9,-0.012,0.027
co,corrida_1,0-μmol/mol,part_9,10,-0.023,0.029
co,corrida_1,0-μmol/mol,part_9,10,-0.022,0.029
co,corrida_1,0-μmol/mol,part_9,10,-0.039,0.023
co,corrida_1,0-μmol/mol,ref,1,-0.028,0.027
co,corrida_1,0-μmol/mol,ref,1,-0.016,0.027
co,corrida_1,0-μmol/mol,ref,1,-0.038,0.023
co,corrida_2,2-μmol/mol,part_1,2,2.012,0.004
co,corrida_2,2-μmol/mol,part_1,2,2.014,0.004
co,corrida_2,2-μmol/mol,part_1,2,2.013,0.004
co,corrida_2,2-μmol/mol,part_2,3,2.014,0.006
co,corrida_2,2-μmol/mol,part_2,3,2.014,0.004
co,corrida_2,2-μmol/mol,part_2,3,2.014,0.005
co,corrida_2,2-μmol/mol,part_3,4,2.013,0.004
co,corrida_2,2-μmol/mol,part_3,4,2.013,0.005
co,corrida_2,2-μmol/mol,part_3,4,2.015,0.004
co,corrida_2,2-μmol/mol,part_4,5,2.012,0.006
co,corrida_2,2-μmol/mol,part_4,5,2.012,0.006
co,corrida_2,2-μmol/mol,part_4,5,2.012,0.004
co,corrida_2,2-μmol/mol,part_5,6,2.015,0.003
co,corrida_2,2-μmol/mol,part_5,6,2.013,0.004
co,corrida_2,2-μmol/mol,part_5,6,2.014,0.004
co,corrida_2,2-μmol/mol,part_6,7,2.012,0.003
co,corrida_2,2-μmol/mol,part_6,7,2.015,0.004
co,corrida_2,2-μmol/mol,part_6,7,2.014,0.005
co,corrida_2,2-μmol/mol,part_7,8,2.015,0.004
co,corrida_2,2-μmol/mol,part_7,8,2.012,0.002
co,corrida_2,2-μmol/mol,part_7,8,2.015,0.004
co,corrida_2,2-μmol/mol,part_8,9,2.012,0.003
co,corrida_2,2-μmol/mol,part_8,9,2.015,0.003
co,corrida_2,2-μmol/mol,part_8,9,2.013,0.005
co,corrida_2,2-μmol/mol,part_9,10,2.012,0.004
co,corrida_2,2-μmol/mol,part_9,10,2.016,0.004
co,corrida_2,2-μmol/mol,part_9,10,2.013,0.004
co,corrida_2,2-μmol/mol,ref,1,2.012,0.005
co,corrida_2,2-μmol/mol,ref,1,2.013,0.004
co,corrida_2,2-μmol/mol,ref,1,2.014,0.004
co,corrida_3,4-μmol/mol,part_1,2,4.021,0.01
co,corrida_3,4-μmol/mol,part_1,2,4.026,0.013
co,corrida_3,4-μmol/mol,part_1,2,4.032,0.011
co,corrida_3,4-μmol/mol,part_2,3,4.028,0.011
co,corrida_3,4-μmol/mol,part_2,3,4.017,0.012
co,corrida_3,4-μmol/mol,part_2,3,4.022,0.014
co,corrida_3,4-μmol/mol,part_3,4,4.023,0.013
co,corrida_3,4-μmol/mol,part_3,4,4.018,0.011
co,corrida_3,4-μmol/mol,part_3,4,4.027,0.011
co,corrida_3,4-μmol/mol,part_4,5,4.025,0.013
co,corrida_3,4-μmol/mol,part_4,5,4.034,0.009
co,corrida_3,4-μmol/mol,part_4,5,4.021,0.015
co,corrida_3,4-μmol/mol,part_5,6,4.026,0.012
co,corrida_3,4-μmol/mol,part_5,6,4.023,0.012
co,corrida_3,4-μmol/mol,part_5,6,4.026,0.013
