pollutant,level,concentration,participant_id,replicate,sample_group,mean_value,sd_value
co,corrida_1,0-μmol/mol,part_1,2,1-10,-0.01176346849,0.0269861272
co,corrida_1,0-μmol/mol,part_1,2,11-20,-0.03322167804,0.02648450906
co,corrida_1,0-μmol/mol,part_1,2,21-30,-0.02855283019,0.02784318375
co,corrida_1,0-μmol/mol,part_2,3,1-10,-0.005938980329,0.02222424681
co,corrida_1,0-μmol/mol,part_2,3,11-20,-0.02229193095,0.02866775351
co,corrida_1,0-μmol/mol,part_2,3,21-30,-0.0009465676435,0.01730115393
co,corrida_1,0-μmol/mol,part_3,4,1-10,-0.01748329988,0.02900237167
co,corrida_1,0-μmol/mol,part_3,4,11-20,-0.0224428342,0.02821476046
co,corrida_1,0-μmol/mol,part_3,4,21-30,-0.02269526295,0.02797584213
co,corrida_1,0-μmol/mol,part_4,5,1-10,-0.03364969892,0.02654284358
co,corrida_1,0-μmol/mol,part_4,5,11-20,-0.01221264552,0.02712689149
co,corrida_1,0-μmol/mol,part_4,5,21-30,-0.02281910879,0.02892870066
co,corrida_1,0-μmol/mol,part_5,6,1-10,-0.02282187876,0.02878916942
co,corrida_1,0-μmol/mol,part_5,6,11-20,-0.02416178242,0.029086544
co,corrida_1,0-μmol/mol,part_5,6,21-30,-0.02166274589,0.02836226416
co,corrida_1,0-μmol/mol,part_6,7,1-10,-0.01764183059,0.02788265249
co,corrida_1,0-μmol/mol,part_6,7,11-20,-0.01126824568,0.02545991544
co,corrida_1,0-μmol/mol,part_6,7,21-30,-0.03427735849,0.02667435232
co,corrida_1,0-μmol/mol,part_7,8,1-10,-0.02770313127,0.02810985711
co,corrida_1,0-μmol/mol,part_7,8,11-20,-0.03917001204,0.0232094077
co,corrida_1,0-μmol/mol,part_7,8,21-30,-0.01238815737,0.0271447575
co,corrida_1,0-μmol/mol,part_8,9,1-10,-0.01643404255,0.02849322025
co,corrida_1,0-μmol/mol,part_8,9,11-20,-0.0221747491,0.02848272517
co,corrida_1,0-μmol/mol,part_8,9,21-30,-0.01182725813,0.02720963907
co,corrida_1,0-μmol/mol,part_9,10,1-10,-0.02272384585,0.02881128063
co,corrida_1,0-μmol/mol,part_9,10,11-20,-0.02247029305,0.0287763606
co,corrida_1,0-μmol/mol,part_9,10,21-30,-0.03885841028,0.02326834656
co,corrida_1,0-μmol/mol,ref,1,1-10,-0.0277417503,0.02712781802
co,corrida_1,0-μmol/mol,ref,1,11-20,-0.01627238057,0.02732705647
co,corrida_1,0-μmol/mol,ref,1,21-30,-0.03796073866,0.02285210888
co,corrida_2,2-μmol/mol,part_1,2,1-10,2.012451666,0.003535670876
co,corrida_2,2-μmol/mol,part_1,2,11-20,2.014299334,0.004467178269
co,corrida_2,2-μmol/mol,part_1,2,21-30,2.012961251,0.004495244986
co,corrida_2,2-μmol/mol,part_2,3,1-10,2.013702515,0.0058186641
co,corrida_2,2-μmol/mol,part_2,3,11-20,2.013992736,0.00428823705
co,corrida_2,2-μmol/mol,part_2,3,21-30,2.014058049,0.004966039475
co,corrida_2,2-μmol/mol,part_3,4,1-10,2.013433118,0.004170831525
co,corrida_2,2-μmol/mol,part_3,4,11-20,2.012961358,0.004795717043
co,corrida_2,2-μmol/mol,part_3,4,21-30,2.015287191,0.004051314999
co,corrida_2,2-μmol/mol,part_4,5,1-10,2.012006791,0.005927462799
co,corrida_2,2-μmol/mol,part_4,5,11-20,2.012298367,0.005714731313
co,corrida_2,2-μmol/mol,part_4,5,21-30,2.011607178,0.004012732985
co,corrida_2,2-μmol/mol,part_5,6,1-10,2.014887299,0.003003651163
co,corrida_2,2-μmol/mol,part_5,6,11-20,2.013240383,0.004421738708
co,corrida_2,2-μmol/mol,part_5,6,21-30,2.013858306,0.00438448436
co,corrida_2,2-μmol/mol,part_6,7,1-10,2.012427724,0.002944361589
co,corrida_2,2-μmol/mol,part_6,7,11-20,2.014740769,0.003644519197
co,corrida_2,2-μmol/mol,part_6,7,21-30,2.014469117,0.005222381464
co,corrida_2,2-μmol/mol,part_7,8,1-10,2.014629594,0.00440729345
co,corrida_2,2-μmol/mol,part_7,8,11-20,2.01229525,0.002402946208
co,corrida_2,2-μmol/mol,part_7,8,21-30,2.015463894,0.00404327887
co,corrida_2,2-μmol/mol,part_8,9,1-10,2.011747604,0.003200285403
co,corrida_2,2-μmol/mol,part_8,9,11-20,2.014844401,0.002745673176
co,corrida_2,2-μmol/mol,part_8,9,21-30,2.013284462,0.005233582922
co,corrida_2,2-μmol/mol,part_9,10,1-10,2.011878594,0.004023657333
co,corrida_2,2-μmol/mol,part_9,10,11-20,2.016011176,0.003845172382
co,corrida_2,2-μmol/mol,part_9,10,21-30,2.013061573,0.004198884254
co,corrida_2,2-μmol/mol,ref,1,1-10,2.012198796,0.004599285932
co,corrida_2,2-μmol/mol,ref,1,11-20,2.012798001,0.003845951484
co,corrida_2,2-μmol/mol,ref,1,21-30,2.014470514,0.004456722229
co,corrida_3,4-μmol/mol,part_1,2,1-10,4.021465996,0.009596603769
co,corrida_3,4-μmol/mol,part_1,2,11-20,4.025842554,0.013234439
co,corrida_3,4-μmol/mol,part_1,2,21-30,4.032104848,0.01069360617
co,corrida_3,4-μmol/mol,part_2,3,1-10,4.028499502,0.01126709758
co,corrida_3,4-μmol/mol,part_2,3,11-20,4.017298939,0.01161895132
co,corrida_3,4-μmol/mol,part_2,3,21-30,4.022276926,0.014489073
co,corrida_3,4-μmol/mol,part_3,4,1-10,4.023415974,0.0134480505
co,corrida_3,4-μmol/mol,part_3,4,11-20,4.017519156,0.01134132142
co,corrida_3,4-μmol/mol,part_3,4,21-30,4.026570931,0.01136971237
co,corrida_3,4-μmol/mol,part_4,5,1-10,4.025236299,0.01297514164
co,corrida_3,4-μmol/mol,part_4,5,11-20,4.033620325,0.008734370147
co,corrida_3,4-μmol/mol,part_4,5,21-30,4.021079632,0.01469288264
co,corrida_3,4-μmol/mol,part_5,6,1-10,4.025514069,0.01220645284
co,corrida_3,4-μmol/mol,part_5,6,11-20,4.023145455,0.01249489927
co,corrida_3,4-μmol/mol,part_5,6,21-30,4.026166299,0.01253790467
co,corrida_3,4-μmol/mol,part_6,7,1-10,4.017612468,0.01188413115
co,corrida_3,4-μmol/mol,part_6,7,11-20,4.02797158,0.01125834627
co,corrida_3,4-μmol/mol,part_6,7,21-30,4.022423766,0.01508689728
co,corrida_3,4-μmol/mol,part_7,8,1-10,4.02320039,0.01248771754
co,corrida_3,4-μmol/mol,part_7,8,11-20,4.021249091,0.01065317804
co,corrida_3,4-μmol/mol,part_7,8,21-30,4.023539372,0.01203257621
co,corrida_3,4-μmol/mol,part_8,9,1-10,4.022933009,0.01263633721
co,corrida_3,4-μmol/mol,part_8,9,11-20,4.024360952,0.01301733848
co,corrida_3,4-μmol/mol,part_8,9,21-30,4.022173052,0.01485526602
