"pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value"
"co","0-ppm","part_1",2,"1-10",0.0450157521204778,0.0685316614853448
"co","0-ppm","part_1",2,"11-20",0.0134559113726848,0.0723448462616254
"co","0-ppm","part_1",2,"21-30",0.0285427903756275,0.0862988450300585
"co","0-ppm","part_2",3,"1-10",0.0412130517569672,0.0857038426465483
"co","0-ppm","part_2",3,"11-20",0.0112395187813744,0.0832058600307561
"co","0-ppm","part_2",3,"21-30",0.0363634931625412,0.0827223665023089
"co","0-ppm","part_3",4,"1-10",-0.00452506491258439,0.076098171630971
"co","0-ppm","part_3",4,"11-20",-0.00417867405227627,0.0758293771889481
"co","0-ppm","part_3",4,"21-30",0.0159514280768565,0.0720907603099197
"co","0-ppm","part_4",5,"1-10",0.00810917431192665,0.076926691023275
"co","0-ppm","part_4",5,"11-20",0.0321095551324217,0.0774862365106499
"co","0-ppm","part_4",5,"21-30",0.0298133114073048,0.0866280182047391
"co","0-ppm","part_5",6,"1-10",0.0734064220183487,0.0885891118931074
"co","0-ppm","part_5",6,"11-20",-0.0120778258611736,0.0636103028865785
"co","0-ppm","part_5",6,"21-30",0.0469665743465468,0.0854788478420839
"co","0-ppm","part_6",7,"1-10",-0.0493056603773585,0.00156728247367229
"co","0-ppm","part_6",7,"11-20",0.00587019214124979,0.0602710645148392
"co","0-ppm","part_6",7,"21-30",0.0308972823264671,0.0887349017631179
"co","0-ppm","ref",1,"1-10",0.0514468236108707,0.091618029269599
"co","0-ppm","ref",1,"11-20",-0.012468651549247,0.0522040700332805
"co","0-ppm","ref",1,"21-30",0.0334763198892158,0.0807612696113364
"co","120-ppb","part_1",2,"1-10",122.179939037433,0.0289943201605629
"co","120-ppb","part_1",2,"11-20",122.183056149733,0.0211747567455292
"co","120-ppb","part_1",2,"21-30",122.16312459893,0.0384686659121161
"co","120-ppb","part_2",3,"1-10",122.159635294118,0.0487328834910238
"co","120-ppb","part_2",3,"11-20",122.169020855615,0.036570447902844
"co","120-ppb","part_2",3,"21-30",122.186703208556,0.0327946850413966
"co","120-ppb","part_3",4,"1-10",122.175919251337,0.0440338173616067
"co","120-ppb","part_3",4,"11-20",122.163611229947,0.0390112621192031
"co","120-ppb","part_3",4,"21-30",122.142336363636,0.0280472996481652
"co","120-ppb","part_4",5,"1-10",122.154312834225,0.0532663836134306
"co","120-ppb","part_4",5,"11-20",122.182468449198,0.0358769284472253
"co","120-ppb","part_4",5,"21-30",122.173156149733,0.0374788928451076
"co","120-ppb","part_5",6,"1-10",122.18823368984,0.0480836213993535
"co","120-ppb","part_5",6,"11-20",122.188356149733,0.0259920271504017
"co","120-ppb","part_5",6,"21-30",122.186952941177,0.0425296509365365
"co","120-ppb","part_6",7,"1-10",122.176365240642,0.0428371704624945
"co","120-ppb","part_6",7,"11-20",122.150212834225,0.0377631886724724
"co","120-ppb","part_6",7,"21-30",122.169368983957,0.031345707100106
"co","120-ppb","ref",1,"1-10",122.163721925134,0.0416337968282841
"co","120-ppb","ref",1,"11-20",122.183516042781,0.0204853532472386
"co","120-ppb","ref",1,"21-30",122.18672513369,0.0287971650170937
"co","180-ppb","part_1",2,"1-10",182.438996256685,0.0521796503493385
"co","180-ppb","part_1",2,"11-20",182.4514,0.0287058765749531
"co","180-ppb","part_1",2,"21-30",182.443381283422,0.0341829407090486
"co","180-ppb","part_2",3,"1-10",182.410402139037,0.0746459449640605
"co","180-ppb","part_2",3,"11-20",182.40961657754,0.0495123601465805
"co","180-ppb","part_2",3,"21-30",182.435976470588,0.0524506701489316
"co","180-ppb","part_3",4,"1-10",182.460482887701,0.0470380780618292
"co","180-ppb","part_3",4,"11-20",182.407732620321,0.0427504676701775
"co","180-ppb","part_3",4,"21-30",182.423630481283,0.037064911968156
"co","180-ppb","part_4",5,"1-10",182.430871122995,0.0451994677463057
"co","180-ppb","part_4",5,"11-20",182.429804812834,0.0424452578494303
"co","180-ppb","part_4",5,"21-30",182.450670588235,0.0302468830994966
"co","180-ppb","part_5",6,"1-10",182.457047593583,0.0436894406971309
"co","180-ppb","part_5",6,"11-20",182.45645026738,0.0528628823100201
"co","180-ppb","part_5",6,"21-30",182.462260427808,0.0604201146149702
"co","180-ppb","part_6",7,"1-10",182.434206951872,0.0589516187142622
"co","180-ppb","part_6",7,"11-20",182.413555614973,0.0238134728196541
"co","180-ppb","part_6",7,"21-30",182.4034,0.0377270952148931
"co","180-ppb","ref",1,"1-10",182.435717112299,0.0506838212180766
"co","180-ppb","ref",1,"11-20",182.467510695187,0.0570279617596866
"co","180-ppb","ref",1,"21-30",182.441287700535,0.0393371802005892
"co","2-ppm","part_1",2,"1-10",1.9465696969697,0.047265964532049
"co","2-ppm","part_1",2,"11-20",1.96341868686869,0.0498223199957637
"co","2-ppm","part_1",2,"21-30",1.93585808080808,0.0404502701607129
"co","2-ppm","part_2",3,"1-10",1.95369898989899,0.0488170178554622
"co","2-ppm","part_2",3,"11-20",1.96350757575758,0.0484259267891846
"co","2-ppm","part_2",3,"21-30",1.97352272727273,0.0491911137461508
"co","2-ppm","part_3",4,"1-10",1.94509797979798,0.0477498276386388
"co","2-ppm","part_3",4,"11-20",1.94303282828283,0.0446589340374261
"co","2-ppm","part_3",4,"21-30",1.95503535353535,0.0504707467677208
"co","2-ppm","part_4",5,"1-10",1.96253131313131,0.0492196581981528
"co","2-ppm","part_4",5,"11-20",1.98127121212121,0.0463455290747668
"co","2-ppm","part_4",5,"21-30",1.94611666666667,0.0463325160093642
"co","2-ppm","part_5",6,"1-10",1.97300858585859,0.0490851828334354
