Date;Time;NO_p1
05/01/26;03:01;0
05/01/26;03:02;0
05/01/26;03:03;0
05/01/26;03:04;0
05/01/26;03:05;0
05/01/26;03:06;0
05/01/26;03:07;0
05/01/26;03:08;0
05/01/26;03:09;0
05/01/26;03:10;0
05/01/26;03:11;0
05/01/26;03:12;0
05/01/26;03:13;0
05/01/26;03:14;0
05/01/26;03:15;Samp<
05/01/26;03:16;-0.735
05/01/26;03:17;-0.9
05/01/26;03:18;-0.883
05/01/26;03:19;-0.8
05/01/26;03:20;-0.8
05/01/26;03:21;-0.817
05/01/26;03:22;-0.9
05/01/26;03:23;-0.9
05/01/26;03:24;-0.95
05/01/26;03:25;-1.052
05/01/26;03:26;-1.1
05/01/26;03:27;-1.1
05/01/26;03:28;-1.1
05/01/26;03:29;-1.1
05/01/26;03:30;-1.1
05/01/26;03:31;-1.138
05/01/26;03:32;-1.1
05/01/26;03:33;-1.1
05/01/26;03:34;-1.1
05/01/26;03:35;-1.118
05/01/26;03:36;-1.2
05/01/26;03:37;-1.2
05/01/26;03:38;-1.115
05/01/26;03:39;-1.118
05/01/26;03:40;-1.2
05/01/26;03:41;-1.182
05/01/26;03:42;-1.133
05/01/26;03:43;-1.1
05/01/26;03:44;-1.118
05/01/26;03:45;-1.182
05/01/26;03:46;-1.185
05/01/26;03:47;-1.182
05/01/26;03:48;-1.152
05/01/26;03:49;-1.2
05/01/26;03:50;-1.2
05/01/26;03:51;-1.143
05/01/26;03:52;-1.1
05/01/26;03:53;-1.1
05/01/26;03:54;-1.1
05/01/26;03:55;-1.1
05/01/26;03:56;-1.1
05/01/26;03:57;-1.1
05/01/26;03:58;-1.15
05/01/26;03:59;-1.2
05/01/26;04:00;-1.2
05/01/26;04:01;-1.183
05/01/26;04:02;-1.1
05/01/26;04:03;-1.1
05/01/26;04:04;-1.167
05/01/26;04:05;-1.083
05/01/26;04:06;-1.067
05/01/26;04:07;-1
05/01/26;04:08;-1
05/01/26;04:09;-1
05/01/26;04:10;-0.95
05/01/26;04:11;-0.848
05/01/26;04:12;-0.883
05/01/26;04:13;-0.92
05/01/26;04:14;-0.887
05/01/26;04:15;34.572
05/01/26;04:16;44.683
05/01/26;04:17;53.152
05/01/26;04:18;109.983
05/01/26;04:19;149.06
05/01/26;04:20;165.5
05/01/26;04:21;167.067
05/01/26;04:22;169.45
05/01/26;04:23;171.953
05/01/26;04:24;174.75
05/01/26;04:25;176.928
05/01/26;04:26;180.05
05/01/26;04:27;181.717
05/01/26;04:28;182.433
05/01/26;04:29;182.677
05/01/26;04:30;182.64
05/01/26;04:31;183.125
05/01/26;04:32;183.582
05/01/26;04:33;183.608
05/01/26;04:34;183.855
05/01/26;04:35;184.265
05/01/26;04:36;184.212
05/01/26;04:37;184.157
05/01/26;04:38;184.045
05/01/26;04:39;183.845
05/01/26;04:40;183.6
05/01/26;04:41;183.527
05/01/26;04:42;183.343
05/01/26;04:43;183.8
05/01/26;04:44;183.833
05/01/26;04:45;183.78
05/01/26;04:46;184.14
05/01/26;04:47;184.243
05/01/26;04:48;184.303
05/01/26;04:49;184.325
05/01/26;04:50;184.37
05/01/26;04:51;184.568
05/01/26;04:52;184.697
05/01/26;04:53;184.512
05/01/26;04:54;184.3
05/01/26;04:55;184.278
05/01/26;04:56;184.843
05/01/26;04:57;185.277
05/01/26;04:58;184.963
05/01/26;04:59;185
05/01/26;05:00;185.088
05/01/26;05:01;185.545
05/01/26;05:02;185.523
05/01/26;05:03;185.277
05/01/26;05:04;185.255
05/01/26;05:05;185.633
05/01/26;05:06;185.755
05/01/26;05:07;185.788
05/01/26;05:08;185.703
05/01/26;05:09;185.7
05/01/26;05:10;185.582
05/01/26;05:11;185.393
05/01/26;05:12;185.287
05/01/26;05:13;185.493
05/01/26;05:14;185.903
05/01/26;05:15;186.013
05/01/26;05:16;186.322
05/01/26;05:17;186.418
05/01/26;05:18;186.533
05/01/26;05:19;186.443
05/01/26;05:20;186.382
05/01/26;05:21;186.037
05/01/26;05:22;185.627
05/01/26;05:23;185.358
05/01/26;05:24;185.248
05/01/26;05:25;185.082
05/01/26;05:26;184.778
05/01/26;05:27;184.795
05/01/26;05:28;184.8
05/01/26;05:29;184.63
05/01/26;05:30;184.245
05/01/26;05:31;184.18
05/01/26;05:32;184.167
05/01/26;05:33;184.112
05/01/26;05:34;184.067
05/01/26;05:35;184.032
05/01/26;05:36;184.34
05/01/26;05:37;184.6
05/01/26;05:38;184.682
05/01/26;05:39;184.575
05/01/26;05:40;184.53
05/01/26;05:41;184.538
05/01/26;05:42;184.482
05/01/26;05:43;184.4
05/01/26;05:44;184.263
05/01/26;05:45;184.277
05/01/26;05:46;184.222
05/01/26;05:47;184.67
05/01/26;05:48;184.733
05/01/26;05:49;184.895
05/01/26;05:50;184.918
05/01/26;05:51;184.868
05/01/26;05:52;185.077
05/01/26;05:53;184.982
05/01/26;05:54;184.367
05/01/26;05:55;184.287
05/01/26;05:56;184.188
05/01/26;05:57;184.518
05/01/26;05:58;184.548
05/01/26;05:59;184.348
05/01/26;06:00;184.348
05/01/26;06:01;184.482
05/01/26;06:02;185.018
05/01/26;06:03;184.925
05/01/26;06:04;184.767
05/01/26;06:05;184.723
05/01/26;06:06;184.97
05/01/26;06:07;185.19
05/01/26;06:08;184.975
05/01/26;06:09;184.607
05/01/26;06:10;184.692
05/01/26;06:11;184.898
05/01/26;06:12;185.183
05/01/26;06:13;185.125
05/01/26;06:14;185.103
05/01/26;06:15;185.427
05/01/26;06:16;185.803
05/01/26;06:17;185.705
05/01/26;06:18;185.87
05/01/26;06:19;185.805
05/01/26;06:20;185.815
05/01/26;06:21;185.7
05/01/26;06:22;185.855
05/01/26;06:23;185.887
05/01/26;06:24;185.903
05/01/26;06:25;185.83
05/01/26;06:26;185.837
05/01/26;06:27;186.088
05/01/26;06:28;186.5
05/01/26;06:29;186.47
05/01/26;06:30;186.597
05/01/26;06:31;186.437
05/01/26;06:32;186.448
05/01/26;06:33;186.52
05/01/26;06:34;186.312
05/01/26;06:35;186.007
05/01/26;06:36;185.648
05/01/26;06:37;185.945
05/01/26;06:38;186.097
05/01/26;06:39;185.755
05/01/26;06:40;185.36
05/01/26;06:41;185.252
05/01/26;06:42;185.385
05/01/26;06:43;185.287
05/01/26;06:44;185.093
05/01/26;06:45;184.95
05/01/26;06:46;185.167
05/01/26;06:47;185.277
05/01/26;06:48;185.148
05/01/26;06:49;184.932
05/01/26;06:50;184.582
05/01/26;06:51;184.63
05/01/26;06:52;184.693
05/01/26;06:53;184.562
05/01/26;06:54;184.467
05/01/26;06:55;184.543
05/01/26;06:56;184.463
05/01/26;06:57;184.45
05/01/26;06:58;184.493
05/01/26;06:59;184.49
05/01/26;07:00;184.43
05/01/26;07:01;184.318
05/01/26;07:02;184.437
05/01/26;07:03;184.882
05/01/26;07:04;184.978
05/01/26;07:05;185.188
05/01/26;07:06;185.437
05/01/26;07:07;185.675
05/01/26;07:08;186.073
05/01/26;07:09;186.332
05/01/26;07:10;186.482
05/01/26;07:11;186.343
05/01/26;07:12;186.163
05/01/26;07:13;186.1
05/01/26;07:14;186.145
05/01/26;07:15;185.833
05/01/26;07:16;185.9
05/01/26;07:17;185.77
05/01/26;07:18;166.62
05/01/26;07:19;121.71
05/01/26;07:20;122.9
05/01/26;07:21;122.02
05/01/26;07:22;122.183
05/01/26;07:23;122.203
05/01/26;07:24;122.3
05/01/26;07:25;122.44
05/01/26;07:26;122.7
05/01/26;07:27;122.667
05/01/26;07:28;122.267
05/01/26;07:29;122.25
05/01/26;07:30;122.233
05/01/26;07:31;122.13
05/01/26;07:32;121.897
05/01/26;07:33;121.893
05/01/26;07:34;122.018
05/01/26;07:35;122.238
05/01/26;07:36;122.097
05/01/26;07:37;121.943
05/01/26;07:38;121.882
05/01/26;07:39;121.762
05/01/26;07:40;121.63
05/01/26;07:41;121.638
05/01/26;07:42;121.6
05/01/26;07:43;121.675
05/01/26;07:44;121.888
05/01/26;07:45;122.102
05/01/26;07:46;121.985
05/01/26;07:47;122.02
05/01/26;07:48;121.815
05/01/26;07:49;121.688
05/01/26;07:50;121.452
05/01/26;07:51;121.443
05/01/26;07:52;121.503
05/01/26;07:53;121.618
05/01/26;07:54;121.578
05/01/26;07:55;121.362
05/01/26;07:56;121.692
05/01/26;07:57;121.787
05/01/26;07:58;121.412
05/01/26;07:59;121.287
05/01/26;08:00;121.167
05/01/26;08:01;121.275
05/01/26;08:02;121.382
05/01/26;08:03;121.167
05/01/26;08:04;120.967
05/01/26;08:05;121.142
05/01/26;08:06;121.322
05/01/26;08:07;121.418
05/01/26;08:08;121.737
05/01/26;08:09;121.605
05/01/26;08:10;121.755
05/01/26;08:11;121.902
05/01/26;08:12;121.53
05/01/26;08:13;121.357
05/01/26;08:14;121.363
05/01/26;08:15;121.237
05/01/26;08:16;121.515
05/01/26;08:17;121.488
05/01/26;08:18;121.803
05/01/26;08:19;121.995
05/01/26;08:20;121.863
05/01/26;08:21;121.743
05/01/26;08:22;121.548
05/01/26;08:23;121.657
05/01/26;08:24;121.582
05/01/26;08:25;121.638
05/01/26;08:26;121.518
05/01/26;08:27;121.738
05/01/26;08:28;121.958
05/01/26;08:29;122.18
05/01/26;08:30;122.385
05/01/26;08:31;122.4
05/01/26;08:32;122.215
05/01/26;08:33;122.338
05/01/26;08:34;122.455
05/01/26;08:35;122.6
05/01/26;08:36;122.77
05/01/26;08:37;122.762
05/01/26;08:38;122.852
05/01/26;08:39;123.013
05/01/26;08:40;122.982
05/01/26;08:41;122.962
05/01/26;08:42;122.948
05/01/26;08:43;122.655
05/01/26;08:44;122.43
05/01/26;08:45;122.182
05/01/26;08:46;122.033
05/01/26;08:47;122.177
05/01/26;08:48;121.908
05/01/26;08:49;121.487
05/01/26;08:50;121.415
05/01/26;08:51;121.318
05/01/26;08:52;121.382
05/01/26;08:53;121.283
05/01/26;08:54;121.082
05/01/26;08:55;121.068
05/01/26;08:56;121.452
05/01/26;08:57;121.557
05/01/26;08:58;121.482
05/01/26;08:59;121.348
05/01/26;09:00;121.23
05/01/26;09:01;121.327
05/01/26;09:02;121.363
05/01/26;09:03;121.225
05/01/26;09:04;121.1
05/01/26;09:05;120.93
05/01/26;09:06;121.07
05/01/26;09:07;121
05/01/26;09:08;120.952
05/01/26;09:09;121.043
05/01/26;09:10;121.17
05/01/26;09:11;121.483
05/01/26;09:12;121.687
05/01/26;09:13;121.837
05/01/26;09:14;122.155
05/01/26;09:15;122.15
05/01/26;09:16;121.882
05/01/26;09:17;121.838
05/01/26;09:18;121.818
05/01/26;09:19;121.92
05/01/26;09:20;121.785
05/01/26;09:21;122.013
05/01/26;09:22;122.458
05/01/26;09:23;122.693
05/01/26;09:24;122.897
05/01/26;09:25;122.702
05/01/26;09:26;122.382
05/01/26;09:27;122.325
05/01/26;09:28;122.008
05/01/26;09:29;121.625
05/01/26;09:30;121.43
05/01/26;09:31;121.338
05/01/26;09:32;121.422
05/01/26;09:33;121.545
05/01/26;09:34;121.3
05/01/26;09:35;121.432
05/01/26;09:36;121.703
05/01/26;09:37;121.857
05/01/26;09:38;122
05/01/26;09:39;121.862
05/01/26;09:40;121.937
05/01/26;09:41;122.118
05/01/26;09:42;122.3
05/01/26;09:43;122.22
05/01/26;09:44;122.03
05/01/26;09:45;121.937
05/01/26;09:46;122.085
05/01/26;09:47;121.898
05/01/26;09:48;121.393
05/01/26;09:49;121.105
05/01/26;09:50;121.033
05/01/26;09:51;121.193
05/01/26;09:52;121.4
