pollutant,run,level,participant_id,replicate,sample_group,d1,d2,d3,mean_value,sd_value,ux,k,ux_exp
co,1,0,EK46W8,1,A,-0.0241333333333333,,,-0.0241333333333333,0,0.00384483413545893,2,0.00768966827091786
co,2,6.3,EK46W8,1,A,6.2805,6.2807,6.31706666666667,6.29275555555556,0.0210542772992231,0.0121556926662995,2,0.024311385332599
co,3,4.2,EK46W8,1,A,4.19158333333333,4.15068333333333,4.15295,4.16507222222222,0.0229872508948699,0.0132716954920826,2,0.0265433909841652
co,4,2.8,EK46W8,1,A,2.77748333333333,2.772,2.76359649122807,2.77102660818713,0.0069944059526271,0.00403822215957078,2,0.00807644431914156
co,5,1.4,EK46W8,1,A,1.40031666666667,1.37808333333333,1.39311666666667,1.39050555555556,0.0113443247354659,0.00654964893979577,2,0.0130992978795915
so2,1,0,EK46W8,1,A,-0.0311,,,-0.0311,0,0.00537333340342908,2,0.0107466668068582
so2,2,179,EK46W8,1,A,177.28675,179.979683333333,180.057666666667,179.108033333333,1.57775951439938,0.910919880354974,2,1.82183976070995
so2,3,119,EK46W8,1,A,121.039833333333,120.496666666667,120.45995,120.665483333333,0.324715984019537,0.187474860783854,2,0.374949721567708
so2,4,80,EK46W8,1,A,80.5636166666667,80.60705,80.4270350877193,80.532567251462,0.0939382339586543,0.0542352646632271,2,0.108470529326454
so2,5,40,EK46W8,1,A,40.6700833333333,40.4206333333333,40.4024,40.4977055555556,0.149561650548576,0.0863494592046649,2,0.17269891840933
