study_type,pollutant,run,level,replicate,sample_id,dataset_id,value,minute_pool_n,simulated_minutes_n,seed,input_path
homogeneity,co,corrida_1,0-µmol/mol,1,1,1,-0.012,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,1,2,2,-0.013,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,1,3,3,-0.017,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,1,4,4,0.052,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,1,5,5,-0.013,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,1,6,6,0.048,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,1,7,7,-0.02,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,1,8,8,0.045,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,1,9,9,0.105,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,1,10,10,-0.019,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,2,1,11,-0.008,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,2,2,12,0.054,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,2,3,13,0.052,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,2,4,14,-0.019,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,2,5,15,0.04,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,2,6,16,-0.019,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,2,7,17,0.051,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,2,8,18,0.04,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,2,9,19,0.043,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_1,0-µmol/mol,2,10,20,-0.016,93,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,1,1,1,6.292,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,1,2,2,6.293,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,1,3,3,6.286,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,1,4,4,6.294,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,1,5,5,6.291,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,1,6,6,6.298,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,1,7,7,6.294,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,1,8,8,6.292,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,1,9,9,6.294,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,1,10,10,6.289,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,2,1,11,6.29,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,2,2,12,6.295,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,2,3,13,6.299,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,2,4,14,6.295,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,2,5,15,6.302,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,2,6,16,6.29,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,2,7,17,6.286,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,2,8,18,6.29,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,2,9,19,6.289,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_2,6.3-µmol/mol,2,10,20,6.303,180,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_3,4.2-µmol/mol,1,1,1,4.174,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_3,4.2-µmol/mol,1,2,2,4.163,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_3,4.2-µmol/mol,1,3,3,4.166,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_3,4.2-µmol/mol,1,4,4,4.172,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_3,4.2-µmol/mol,1,5,5,4.134,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_3,4.2-µmol/mol,1,6,6,4.153,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_3,4.2-µmol/mol,1,7,7,4.166,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_3,4.2-µmol/mol,1,8,8,4.154,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_3,4.2-µmol/mol,1,9,9,4.189,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_3,4.2-µmol/mol,1,10,10,4.186,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
homogeneity,co,corrida_3,4.2-µmol/mol,2,1,11,4.163,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_1_r.csv
