study_type,pollutant,run,level,replicate,sample_id,dataset_id,value,minute_pool_n,simulated_minutes_n,seed,input_path
homogeneity,o3,corrida_1,0-nmol/mol,1,1,1,0.442,97,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2a_r.csv
homogeneity,o3,corrida_1,0-nmol/mol,1,2,2,-0.54,97,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2a_r.csv
homogeneity,o3,corrida_1,0-nmol/mol,1,3,3,0.551,97,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2a_r.csv
homogeneity,o3,corrida_1,0-nmol/mol,1,4,4,-0.308,97,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2a_r.csv
homogeneity,o3,corrida_1,0-nmol/mol,1,5,5,0.493,97,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2a_r.csv
homogeneity,o3,corrida_1,0-nmol/mol,1,6,6,-0.576,97,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2a_r.csv
homogeneity,o3,corrida_1,0-nmol/mol,1,7,7,-0.475,97,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2a_r.csv
homogeneity,o3,corrida_1,0-nmol/mol,1,8,8,-0.403,97,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2a_r.csv
homogeneity,o3,corrida_1,0-nmol/mol,1,9,9,1.32,97,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2a_r.csv
homogeneity,o3,corrida_1,0-nmol/mol,1,10,10,-0.375,97,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2a_r.csv
homogeneity,o3,corrida_1,0-nmol/mol,2,1,11,-0.548,97,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2a_r.csv
homogeneity,o3,corrida_1,0-nmol/mol,2,2,12,-0.466,97,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2a_r.csv
homogeneity,o3,corrida_1,0-nmol/mol,2,3,13,0.506,97,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2a_r.csv
homogeneity,o3,corrida_1,0-nmol/mol,2,4,14,-0.553,97,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2a_r.csv
homogeneity,o3,corrida_1,0-nmol/mol,2,5,15,2.361,97,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2a_r.csv
homogeneity,o3,corrida_1,0-nmol/mol,2,6,16,-0.508,97,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2a_r.csv
