study_type,pollutant,run,level,replicate,sample_id,dataset_id,value,minute_pool_n,simulated_minutes_n,seed,input_path
homogeneity,no,corrida_1,0-nmol/mol,1,1,1,-0.218,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,1,2,2,0.026,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,1,3,3,-0.091,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,1,4,4,-0.214,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,1,5,5,-0.105,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,1,6,6,-0.096,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,1,7,7,0.06,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,1,8,8,-0.262,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,1,9,9,0.05,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,1,10,10,-0.091,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,2,1,11,-0.126,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,2,2,12,-0.264,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,2,3,13,-0.179,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,2,4,14,-0.304,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,2,5,15,-0.25,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,2,6,16,-0.087,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,2,7,17,-0.15,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,2,8,18,-0.21,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,2,9,19,-0.174,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_1,0-nmol/mol,2,10,20,0.123,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,1,1,1,179.279,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,1,2,2,179.526,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,1,3,3,179.705,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,1,4,4,179.62,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,1,5,5,179.572,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,1,6,6,179.315,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,1,7,7,179.226,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,1,8,8,179.172,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,1,9,9,179.59,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,1,10,10,179.347,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
