study_type,pollutant,run,level,replicate,sample_id,dataset_id,value,minute_pool_n,simulated_minutes_n,seed,input_path
homogeneity,no2,corrida_1,0-nmol/mol,1,1,1,-0.204,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,1,2,2,-0.279,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,1,3,3,-0.216,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,1,4,4,-0.14,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,1,5,5,-0.246,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,1,6,6,-0.315,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,1,7,7,-0.34,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,1,8,8,-0.141,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,1,9,9,-0.302,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,1,10,10,-0.336,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,2,1,11,-0.301,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,2,2,12,-0.306,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,2,3,13,-0.225,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,2,4,14,-0.099,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,2,5,15,-0.194,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,2,6,16,-0.123,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,2,7,17,-0.22,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,2,8,18,-0.12,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,2,9,19,-0.202,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_1,0-nmol/mol,2,10,20,-0.181,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,1,1,1,140.739,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,1,2,2,140.71,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,1,3,3,140.67,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,1,4,4,140.707,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,1,5,5,140.806,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,1,6,6,140.752,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,1,7,7,140.724,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,1,8,8,140.794,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,1,9,9,140.672,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,1,10,10,140.659,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,2,1,11,140.671,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,2,2,12,140.663,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,2,3,13,140.698,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,2,4,14,140.616,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,2,5,15,140.694,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,2,6,16,140.672,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,2,7,17,140.614,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,2,8,18,140.744,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,2,9,19,140.725,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_2,140-nmol/mol,2,10,20,140.703,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,1,1,1,105.978,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,1,2,2,106.083,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,1,3,3,106.701,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,1,4,4,105.782,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,1,5,5,105.781,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,1,6,6,105.948,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,1,7,7,105.983,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,1,8,8,106.056,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
