pollutant,run,level,dataset_id,value,minute_pool_n
co,corrida_1,0-µmol/mol,1,-0.012,93
co,corrida_1,0-µmol/mol,2,-0.013,93
co,corrida_1,0-µmol/mol,3,-0.017,93
co,corrida_1,0-µmol/mol,4,0.052,93
co,corrida_1,0-µmol/mol,5,-0.013,93
co,corrida_1,0-µmol/mol,6,0.048,93
co,corrida_1,0-µmol/mol,7,-0.02,93
co,corrida_1,0-µmol/mol,8,0.045,93
co,corrida_1,0-µmol/mol,9,0.105,93
co,corrida_1,0-µmol/mol,10,-0.019,93
co,corrida_1,0-µmol/mol,11,-0.008,93
co,corrida_1,0-µmol/mol,12,0.054,93
co,corrida_1,0-µmol/mol,13,0.052,93
co,corrida_1,0-µmol/mol,14,-0.019,93
co,corrida_1,0-µmol/mol,15,0.04,93
co,corrida_1,0-µmol/mol,16,-0.019,93
co,corrida_1,0-µmol/mol,17,0.051,93
co,corrida_1,0-µmol/mol,18,0.04,93
co,corrida_1,0-µmol/mol,19,0.043,93
co,corrida_1,0-µmol/mol,20,-0.016,93
co,corrida_1,0-µmol/mol,21,0.046,93
co,corrida_1,0-µmol/mol,22,-0.009,93
co,corrida_1,0-µmol/mol,23,0.046,93
co,corrida_1,0-µmol/mol,24,-0.016,93
co,corrida_1,0-µmol/mol,25,-0.015,93
co,corrida_1,0-µmol/mol,26,0.044,93
co,corrida_1,0-µmol/mol,27,-0.015,93
co,corrida_1,0-µmol/mol,28,-0.021,93
co,corrida_1,0-µmol/mol,29,0.043,93
co,corrida_1,0-µmol/mol,30,-0.014,93
co,corrida_1,0-µmol/mol,31,0.045,93
co,corrida_1,0-µmol/mol,32,0.046,93
co,corrida_1,0-µmol/mol,33,-0.019,93
co,corrida_1,0-µmol/mol,34,-0.01,93
co,corrida_1,0-µmol/mol,35,-0.009,93
co,corrida_1,0-µmol/mol,36,0.048,93
co,corrida_1,0-µmol/mol,37,-0.02,93
co,corrida_1,0-µmol/mol,38,-0.013,93
co,corrida_1,0-µmol/mol,39,0.048,93
co,corrida_1,0-µmol/mol,40,0.104,93
co,corrida_1,0-µmol/mol,41,0.049,93
co,corrida_1,0-µmol/mol,42,0.107,93
co,corrida_1,0-µmol/mol,43,-0.007,93
co,corrida_1,0-µmol/mol,44,0.049,93
co,corrida_1,0-µmol/mol,45,-0.018,93
co,corrida_1,0-µmol/mol,46,0.042,93
co,corrida_1,0-µmol/mol,47,0.047,93
co,corrida_1,0-µmol/mol,48,-0.014,93
co,corrida_1,0-µmol/mol,49,-0.013,93
co,corrida_1,0-µmol/mol,50,-0.016,93
co,corrida_1,0-µmol/mol,51,0.044,93
co,corrida_1,0-µmol/mol,52,-0.019,93
co,corrida_1,0-µmol/mol,53,0.043,93
co,corrida_1,0-µmol/mol,54,-0.019,93
co,corrida_1,0-µmol/mol,55,-0.013,93
co,corrida_1,0-µmol/mol,56,-0.017,93
co,corrida_1,0-µmol/mol,57,0.05,93
co,corrida_1,0-µmol/mol,58,0.049,93
co,corrida_1,0-µmol/mol,59,-0.016,93
co,corrida_1,0-µmol/mol,60,-0.015,93
co,corrida_1,0-µmol/mol,61,-0.012,93
co,corrida_1,0-µmol/mol,62,-0.021,93
co,corrida_1,0-µmol/mol,63,0.037,93
co,corrida_1,0-µmol/mol,64,-0.019,93
co,corrida_1,0-µmol/mol,65,0.043,93
co,corrida_1,0-µmol/mol,66,0.045,93
co,corrida_1,0-µmol/mol,67,0.039,93
co,corrida_1,0-µmol/mol,68,0.042,93
co,corrida_1,0-µmol/mol,69,0.105,93
co,corrida_1,0-µmol/mol,70,0.048,93
co,corrida_1,0-µmol/mol,71,-0.017,93
co,corrida_1,0-µmol/mol,72,0.043,93
co,corrida_1,0-µmol/mol,73,-0.012,93
co,corrida_1,0-µmol/mol,74,0.101,93
co,corrida_1,0-µmol/mol,75,0.107,93
co,corrida_1,0-µmol/mol,76,-0.017,93
co,corrida_1,0-µmol/mol,77,0.043,93
co,corrida_1,0-µmol/mol,78,-0.015,93
co,corrida_1,0-µmol/mol,79,-0.016,93
co,corrida_1,0-µmol/mol,80,0.047,93
co,corrida_1,0-µmol/mol,81,0.04,93
co,corrida_1,0-µmol/mol,82,-0.019,93
co,corrida_1,0-µmol/mol,83,-0.012,93
co,corrida_1,0-µmol/mol,84,-0.023,93
co,corrida_1,0-µmol/mol,85,0.051,93
co,corrida_1,0-µmol/mol,86,0.039,93
co,corrida_1,0-µmol/mol,87,-0.015,93
co,corrida_1,0-µmol/mol,88,0.051,93
co,corrida_1,0-µmol/mol,89,-0.019,93
co,corrida_1,0-µmol/mol,90,-0.013,93
co,corrida_1,0-µmol/mol,91,-0.014,93
co,corrida_1,0-µmol/mol,92,-0.012,93
co,corrida_1,0-µmol/mol,93,0.045,93
co,corrida_1,0-µmol/mol,94,-0.017,93
co,corrida_1,0-µmol/mol,95,-0.016,93
co,corrida_1,0-µmol/mol,96,-0.008,93
co,corrida_1,0-µmol/mol,97,0.049,93
co,corrida_1,0-µmol/mol,98,-0.015,93
co,corrida_1,0-µmol/mol,99,-0.021,93
co,corrida_1,0-µmol/mol,100,0.105,93
co,corrida_1,0-µmol/mol,101,-0.016,93
co,corrida_1,0-µmol/mol,102,0.225,93
co,corrida_1,0-µmol/mol,103,0.107,93
co,corrida_1,0-µmol/mol,104,0.106,93
co,corrida_1,0-µmol/mol,105,-0.009,93
co,corrida_1,0-µmol/mol,106,-0.015,93
co,corrida_1,0-µmol/mol,107,-0.018,93
co,corrida_1,0-µmol/mol,108,-0.014,93
co,corrida_1,0-µmol/mol,109,0.047,93
co,corrida_1,0-µmol/mol,110,0.05,93
co,corrida_1,0-µmol/mol,111,-0.018,93
co,corrida_1,0-µmol/mol,112,-0.016,93
co,corrida_1,0-µmol/mol,113,0.043,93
co,corrida_1,0-µmol/mol,114,0.042,93
co,corrida_1,0-µmol/mol,115,0.166,93
co,corrida_1,0-µmol/mol,116,0.048,93
co,corrida_1,0-µmol/mol,117,-0.019,93
co,corrida_1,0-µmol/mol,118,-0.021,93
co,corrida_1,0-µmol/mol,119,-0.018,93
co,corrida_1,0-µmol/mol,120,-0.005,93
co,corrida_1,0-µmol/mol,121,-0.023,93
co,corrida_1,0-µmol/mol,122,0.111,93
co,corrida_1,0-µmol/mol,123,0.106,93
co,corrida_1,0-µmol/mol,124,-0.011,93
co,corrida_1,0-µmol/mol,125,0.17,93
co,corrida_1,0-µmol/mol,126,0.229,93
co,corrida_1,0-µmol/mol,127,-0.014,93
co,corrida_1,0-µmol/mol,128,0.288,93
co,corrida_1,0-µmol/mol,129,-0.009,93
co,corrida_1,0-µmol/mol,130,-0.015,93
co,corrida_1,0-µmol/mol,131,0.043,93
co,corrida_1,0-µmol/mol,132,-0.015,93
co,corrida_1,0-µmol/mol,133,-0.014,93
co,corrida_1,0-µmol/mol,134,-0.018,93
co,corrida_1,0-µmol/mol,135,0.163,93
co,corrida_1,0-µmol/mol,136,0.048,93
co,corrida_1,0-µmol/mol,137,0.052,93
co,corrida_1,0-µmol/mol,138,0.105,93
co,corrida_1,0-µmol/mol,139,-0.018,93
co,corrida_1,0-µmol/mol,140,0.048,93
co,corrida_1,0-µmol/mol,141,-0.01,93
co,corrida_1,0-µmol/mol,142,-0.013,93
co,corrida_1,0-µmol/mol,143,-0.013,93
co,corrida_1,0-µmol/mol,144,0.096,93
co,corrida_1,0-µmol/mol,145,-0.022,93
co,corrida_1,0-µmol/mol,146,-0.014,93
co,corrida_1,0-µmol/mol,147,-0.008,93
co,corrida_1,0-µmol/mol,148,0.098,93
co,corrida_1,0-µmol/mol,149,-0.013,93
co,corrida_1,0-µmol/mol,150,0.105,93
co,corrida_1,0-µmol/mol,151,0.052,93
co,corrida_1,0-µmol/mol,152,-0.012,93
co,corrida_1,0-µmol/mol,153,-0.022,93
co,corrida_1,0-µmol/mol,154,-0.01,93
co,corrida_1,0-µmol/mol,155,0.037,93
co,corrida_1,0-µmol/mol,156,0.043,93
co,corrida_1,0-µmol/mol,157,-0.015,93
co,corrida_1,0-µmol/mol,158,0.175,93
co,corrida_1,0-µmol/mol,159,-0.014,93
co,corrida_1,0-µmol/mol,160,-0.01,93
co,corrida_1,0-µmol/mol,161,0.044,93
co,corrida_1,0-µmol/mol,162,0.104,93
co,corrida_1,0-µmol/mol,163,0.045,93
co,corrida_1,0-µmol/mol,164,-0.013,93
co,corrida_1,0-µmol/mol,165,0.042,93
co,corrida_1,0-µmol/mol,166,0.045,93
co,corrida_1,0-µmol/mol,167,-0.009,93
co,corrida_1,0-µmol/mol,168,-0.017,93
co,corrida_1,0-µmol/mol,169,0.046,93
co,corrida_1,0-µmol/mol,170,0.045,93
co,corrida_1,0-µmol/mol,171,-0.009,93
co,corrida_1,0-µmol/mol,172,-0.016,93
co,corrida_1,0-µmol/mol,173,0.047,93
co,corrida_1,0-µmol/mol,174,-0.017,93
co,corrida_1,0-µmol/mol,175,-0.015,93
co,corrida_1,0-µmol/mol,176,0.098,93
co,corrida_1,0-µmol/mol,177,-0.013,93
co,corrida_1,0-µmol/mol,178,-0.024,93
co,corrida_1,0-µmol/mol,179,0.041,93
co,corrida_1,0-µmol/mol,180,0.047,93
co,corrida_1,0-µmol/mol,181,-0.019,93
co,corrida_1,0-µmol/mol,182,0.039,93
