"source","participant_id","run","date","hour_start","pollutant","level","generated_nominal","generated_mean","generated_sd","instrument","mean_value","sd_value","u_value","n","unit","valid_hour","validation_flags"
"ronda_participante","p1",1,"2026-04-23","2026-04-23 12:30:00","co","0-µmol/mol",0,0,0,"p1",0.035,0.02,0.003,60,"µmol/mol",TRUE,""
"ronda_participante","p1",2,"2026-04-23","2026-04-23 14:03:00","co","6.3-µmol/mol",6.3,6.3,0,"p1",6.493,0.028,0.004,60,"µmol/mol",TRUE,""
"ronda_participante","p1",2,"2026-04-23","2026-04-23 15:03:00","co","6.3-µmol/mol",6.3,6.3,0,"p1",6.5,0.045,0.006,60,"µmol/mol",TRUE,""
"ronda_participante","p1",2,"2026-04-23","2026-04-23 16:03:00","co","6.3-µmol/mol",6.3,6.3,0,"p1",6.474,0.047,0.006,60,"µmol/mol",TRUE,""
"ronda_participante","p1",3,"2026-04-23","2026-04-23 17:03:00","co","4.2-µmol/mol",4.2,4.2,0,"p1",4.343,0.173,0.022,60,"µmol/mol",TRUE,""
"ronda_participante","p1",3,"2026-04-23","2026-04-23 18:03:00","co","4.2-µmol/mol",4.2,4.2,0,"p1",4.322,0.028,0.004,60,"µmol/mol",TRUE,""
"ronda_participante","p1",3,"2026-04-23","2026-04-23 19:03:00","co","4.2-µmol/mol",4.2,4.2,0,"p1",4.305,0.036,0.005,60,"µmol/mol",TRUE,""
"ronda_participante","p1",4,"2026-04-23","2026-04-23 20:06:00","co","2.8-µmol/mol",2.8,2.8,0,"p1",2.877,0.064,0.008,60,"µmol/mol",TRUE,""
"ronda_participante","p1",4,"2026-04-23","2026-04-23 21:06:00","co","2.8-µmol/mol",2.8,2.8,0,"p1",2.87,0.029,0.004,60,"µmol/mol",TRUE,""
"ronda_participante","p1",4,"2026-04-23","2026-04-23 22:06:00","co","2.8-µmol/mol",2.8,2.8,0,"p1",2.86,0.042,0.006,57,"µmol/mol",TRUE,"n=57"
"ronda_participante","p1",5,"2026-04-23","2026-04-23 23:03:00","co","1.4-µmol/mol",1.4,1.4,0,"p1",1.47,0.086,0.011,60,"µmol/mol",TRUE,""
"ronda_participante","p1",5,"2026-04-24","2026-04-24 00:03:00","co","1.4-µmol/mol",1.4,1.4,0,"p1",1.451,0.023,0.003,60,"µmol/mol",TRUE,""
"ronda_participante","p1",5,"2026-04-24","2026-04-24 01:03:00","co","1.4-µmol/mol",1.4,1.4,0,"p1",1.456,0.024,0.003,60,"µmol/mol",TRUE,""
"ronda_participante","p1",1,"2026-04-23","2026-04-23 12:30:00","so2","0-nmol/mol",0,0,0,"p1",0.272,0.218,0.028,60,"nmol/mol",TRUE,""
"ronda_participante","p1",2,"2026-04-23","2026-04-23 14:03:00","so2","179-nmol/mol",179,179,0,"p1",183.457,3.37,0.435,60,"nmol/mol",TRUE,""
"ronda_participante","p1",2,"2026-04-23","2026-04-23 15:03:00","so2","179-nmol/mol",179,179,0,"p1",184.818,0.41,0.053,60,"nmol/mol",TRUE,""
"ronda_participante","p1",2,"2026-04-23","2026-04-23 16:03:00","so2","179-nmol/mol",179,179,0,"p1",185.329,4.23,0.546,60,"nmol/mol",TRUE,""
"ronda_participante","p1",3,"2026-04-23","2026-04-23 17:03:00","so2","119-nmol/mol",119,119,0,"p1",123.517,0.512,0.066,60,"nmol/mol",TRUE,""
"ronda_participante","p1",3,"2026-04-23","2026-04-23 18:03:00","so2","119-nmol/mol",119,119,0,"p1",122.963,0.273,0.035,60,"nmol/mol",TRUE,""
"ronda_participante","p1",3,"2026-04-23","2026-04-23 19:03:00","so2","119-nmol/mol",119,119,0,"p1",122.794,0.421,0.054,60,"nmol/mol",TRUE,""
"ronda_participante","p1",4,"2026-04-23","2026-04-23 20:06:00","so2","80-nmol/mol",80,80,0,"p1",81.687,0.254,0.033,60,"nmol/mol",TRUE,""
"ronda_participante","p1",4,"2026-04-23","2026-04-23 21:06:00","so2","80-nmol/mol",80,80,0,"p1",81.696,0.309,0.04,60,"nmol/mol",TRUE,""
"ronda_participante","p1",4,"2026-04-23","2026-04-23 22:06:00","so2","80-nmol/mol",80,80,0,"p1",80.956,4.178,0.553,57,"nmol/mol",TRUE,"n=57"
"ronda_participante","p1",5,"2026-04-23","2026-04-23 23:03:00","so2","40-nmol/mol",40,40,0,"p1",40.772,0.277,0.036,60,"nmol/mol",TRUE,""
"ronda_participante","p1",5,"2026-04-24","2026-04-24 00:03:00","so2","40-nmol/mol",40,40,0,"p1",40.898,0.33,0.043,60,"nmol/mol",TRUE,""
"ronda_participante","p1",5,"2026-04-24","2026-04-24 01:03:00","so2","40-nmol/mol",40,40,0,"p1",40.707,0.206,0.027,60,"nmol/mol",TRUE,""
