"source","run","date","hour_start","pollutant","level","generated_nominal","generated_mean","generated_sd","instrument","mean_value","sd_value","u_value","n","unit","valid_hour","validation_flags"
"ronda",1,"2026-04-23","2026-04-23 12:30:00","co","0-µmol/mol",0,0,0,"calaire_ref",-0.024,0.03,0.004,60,"µmol/mol",TRUE,""
"ronda",2,"2026-04-23","2026-04-23 14:03:00","co","6.3-µmol/mol",6.3,6.3,0,"calaire_ref",6.28,0.04,0.005,60,"µmol/mol",TRUE,""
"ronda",2,"2026-04-23","2026-04-23 15:03:00","co","6.3-µmol/mol",6.3,6.3,0,"calaire_ref",6.281,0.04,0.005,60,"µmol/mol",TRUE,""
"ronda",2,"2026-04-23","2026-04-23 16:03:00","co","6.3-µmol/mol",6.3,6.3,0,"calaire_ref",6.317,0.051,0.007,60,"µmol/mol",TRUE,""
"ronda",3,"2026-04-23","2026-04-23 17:03:00","co","4.2-µmol/mol",4.2,4.2,0,"calaire_ref",4.192,0.186,0.024,60,"µmol/mol",TRUE,""
"ronda",3,"2026-04-23","2026-04-23 18:03:00","co","4.2-µmol/mol",4.2,4.2,0,"calaire_ref",4.151,0.048,0.006,60,"µmol/mol",TRUE,""
"ronda",3,"2026-04-23","2026-04-23 19:03:00","co","4.2-µmol/mol",4.2,4.2,0,"calaire_ref",4.153,0.05,0.006,60,"µmol/mol",TRUE,""
"ronda",4,"2026-04-23","2026-04-23 20:06:00","co","2.8-µmol/mol",2.8,2.8,0,"calaire_ref",2.777,0.079,0.01,60,"µmol/mol",TRUE,""
"ronda",4,"2026-04-23","2026-04-23 21:06:00","co","2.8-µmol/mol",2.8,2.8,0,"calaire_ref",2.772,0.038,0.005,60,"µmol/mol",TRUE,""
"ronda",4,"2026-04-23","2026-04-23 22:06:00","co","2.8-µmol/mol",2.8,2.8,0,"calaire_ref",2.764,0.047,0.006,57,"µmol/mol",TRUE,"n=57"
"ronda",5,"2026-04-23","2026-04-23 23:03:00","co","1.4-µmol/mol",1.4,1.4,0,"calaire_ref",1.4,0.097,0.013,60,"µmol/mol",TRUE,""
"ronda",5,"2026-04-24","2026-04-24 00:03:00","co","1.4-µmol/mol",1.4,1.4,0,"calaire_ref",1.378,0.037,0.005,60,"µmol/mol",TRUE,""
"ronda",5,"2026-04-24","2026-04-24 01:03:00","co","1.4-µmol/mol",1.4,1.4,0,"calaire_ref",1.393,0.029,0.004,60,"µmol/mol",TRUE,""
"ronda",1,"2026-04-23","2026-04-23 12:30:00","so2","0-nmol/mol",0,0,0,"calaire_ref",-0.031,0.042,0.005,60,"nmol/mol",TRUE,""
"ronda",2,"2026-04-23","2026-04-23 14:03:00","so2","179-nmol/mol",179,179,0,"calaire_ref",177.287,9.734,1.257,60,"nmol/mol",TRUE,""
"ronda",2,"2026-04-23","2026-04-23 15:03:00","so2","179-nmol/mol",179,179,0,"calaire_ref",179.98,0.822,0.106,60,"nmol/mol",TRUE,""
"ronda",2,"2026-04-23","2026-04-23 16:03:00","so2","179-nmol/mol",179,179,0,"calaire_ref",180.058,1.463,0.189,60,"nmol/mol",TRUE,""
"ronda",3,"2026-04-23","2026-04-23 17:03:00","so2","119-nmol/mol",119,119,0,"calaire_ref",121.04,2.722,0.351,60,"nmol/mol",TRUE,""
"ronda",3,"2026-04-23","2026-04-23 18:03:00","so2","119-nmol/mol",119,119,0,"calaire_ref",120.497,0.639,0.083,60,"nmol/mol",TRUE,""
"ronda",3,"2026-04-23","2026-04-23 19:03:00","so2","119-nmol/mol",119,119,0,"calaire_ref",120.46,0.618,0.08,60,"nmol/mol",TRUE,""
"ronda",4,"2026-04-23","2026-04-23 20:06:00","so2","80-nmol/mol",80,80,0,"calaire_ref",80.564,0.574,0.074,60,"nmol/mol",TRUE,""
"ronda",4,"2026-04-23","2026-04-23 21:06:00","so2","80-nmol/mol",80,80,0,"calaire_ref",80.607,0.395,0.051,60,"nmol/mol",TRUE,""
"ronda",4,"2026-04-23","2026-04-23 22:06:00","so2","80-nmol/mol",80,80,0,"calaire_ref",80.427,1.457,0.193,57,"nmol/mol",TRUE,"n=57"
"ronda",5,"2026-04-23","2026-04-23 23:03:00","so2","40-nmol/mol",40,40,0,"calaire_ref",40.67,1.019,0.132,60,"nmol/mol",TRUE,""
"ronda",5,"2026-04-24","2026-04-24 00:03:00","so2","40-nmol/mol",40,40,0,"calaire_ref",40.421,0.268,0.035,60,"nmol/mol",TRUE,""
"ronda",5,"2026-04-24","2026-04-24 01:03:00","so2","40-nmol/mol",40,40,0,"calaire_ref",40.402,0.275,0.036,60,"nmol/mol",TRUE,""
