"source","participant_id","run","date","hour_start","pollutant","level","generated_nominal","generated_mean","generated_sd","instrument","mean_value","sd_value","u_value","n","unit","valid_hour","validation_flags"
"ronda_participante","p1",1,"2026-04-30","2026-04-30 13:32:00","o3","0-nmol/mol",0,0,0,"p1",0.044,0.113,0.015,60,"nmol/mol",TRUE,""
"ronda_participante","p1",2,"2026-04-30","2026-04-30 15:09:00","o3","180-nmol/mol",180,180,0,"p1",179.725,2.072,0.268,60,"nmol/mol",TRUE,""
"ronda_participante","p1",2,"2026-04-30","2026-04-30 16:09:00","o3","180-nmol/mol",180,180,0,"p1",180.393,6.67,0.861,60,"nmol/mol",TRUE,""
"ronda_participante","p1",2,"2026-04-30","2026-04-30 17:09:00","o3","180-nmol/mol",180,180,0,"p1",182.274,0.943,0.128,54,"nmol/mol",TRUE,"n=54"
"ronda_participante","p1",3,"2026-04-30","2026-04-30 18:03:00","o3","120-nmol/mol",120,120,0,"p1",121.595,3.821,0.493,60,"nmol/mol",TRUE,""
"ronda_participante","p1",3,"2026-04-30","2026-04-30 19:03:00","o3","120-nmol/mol",120,120,0,"p1",122.886,0.439,0.057,60,"nmol/mol",TRUE,""
"ronda_participante","p1",3,"2026-04-30","2026-04-30 20:03:00","o3","120-nmol/mol",120,120,0,"p1",123.019,0.342,0.044,60,"nmol/mol",TRUE,""
"ronda_participante","p1",4,"2026-04-30","2026-04-30 21:03:00","o3","80-nmol/mol",80,80,0,"p1",82.385,2.329,0.301,60,"nmol/mol",TRUE,""
"ronda_participante","p1",4,"2026-04-30","2026-04-30 22:03:00","o3","80-nmol/mol",80,80,0,"p1",82.431,0.412,0.053,60,"nmol/mol",TRUE,""
"ronda_participante","p1",4,"2026-04-30","2026-04-30 23:03:00","o3","80-nmol/mol",80,80,0,"p1",82.168,0.434,0.056,60,"nmol/mol",TRUE,""
"ronda_participante","p1",5,"2026-05-01","2026-05-01 00:03:00","o3","40-nmol/mol",40,40,0,"p1",41.736,1.665,0.215,60,"nmol/mol",TRUE,""
"ronda_participante","p1",5,"2026-05-01","2026-05-01 01:03:00","o3","40-nmol/mol",40,40,0,"p1",41.994,0.41,0.053,60,"nmol/mol",TRUE,""
"ronda_participante","p1",5,"2026-05-01","2026-05-01 02:03:00","o3","40-nmol/mol",40,40,0,"p1",41.744,0.405,0.052,60,"nmol/mol",TRUE,""
