"source","run","date","hour_start","pollutant","level","generated_nominal","generated_mean","generated_sd","instrument","mean_value","sd_value","u_value","n","unit","valid_hour","validation_flags"
"ronda",1,"2026-04-30","2026-04-30 13:32:00","o3","0-nmol/mol",0,0,0,"calaire_ref",-0.205,0.537,0.069,60,"nmol/mol",TRUE,""
"ronda",2,"2026-04-30","2026-04-30 15:09:00","o3","180-nmol/mol",180,180,0,"calaire_ref",182.93,2.596,0.335,60,"nmol/mol",TRUE,""
"ronda",2,"2026-04-30","2026-04-30 16:09:00","o3","180-nmol/mol",180,180,0,"calaire_ref",179.846,5.221,0.674,60,"nmol/mol",TRUE,""
"ronda",2,"2026-04-30","2026-04-30 17:09:00","o3","180-nmol/mol",180,180,0,"calaire_ref",180.827,0.698,0.095,54,"nmol/mol",TRUE,"n=54"
"ronda",3,"2026-04-30","2026-04-30 18:03:00","o3","120-nmol/mol",120,120,0,"calaire_ref",120.074,3.269,0.422,60,"nmol/mol",TRUE,""
"ronda",3,"2026-04-30","2026-04-30 19:03:00","o3","120-nmol/mol",120,120,0,"calaire_ref",120.895,0.426,0.055,60,"nmol/mol",TRUE,""
"ronda",3,"2026-04-30","2026-04-30 20:03:00","o3","120-nmol/mol",120,120,0,"calaire_ref",121.17,0.412,0.053,60,"nmol/mol",TRUE,""
"ronda",4,"2026-04-30","2026-04-30 21:03:00","o3","80-nmol/mol",80,80,0,"calaire_ref",80.45,2.374,0.306,60,"nmol/mol",TRUE,""
"ronda",4,"2026-04-30","2026-04-30 22:03:00","o3","80-nmol/mol",80,80,0,"calaire_ref",80.427,0.325,0.042,60,"nmol/mol",TRUE,""
"ronda",4,"2026-04-30","2026-04-30 23:03:00","o3","80-nmol/mol",80,80,0,"calaire_ref",80.385,0.367,0.047,60,"nmol/mol",TRUE,""
"ronda",5,"2026-05-01","2026-05-01 00:03:00","o3","40-nmol/mol",40,40,0,"calaire_ref",39.559,1.517,0.196,60,"nmol/mol",TRUE,""
"ronda",5,"2026-05-01","2026-05-01 01:03:00","o3","40-nmol/mol",40,40,0,"calaire_ref",39.562,0.286,0.037,60,"nmol/mol",TRUE,""
"ronda",5,"2026-05-01","2026-05-01 02:03:00","o3","40-nmol/mol",40,40,0,"calaire_ref",39.408,0.323,0.042,60,"nmol/mol",TRUE,""
