"source","participant_id","run","date","hour_start","pollutant","level","generated_nominal","generated_mean","generated_sd","instrument","mean_value","sd_value","u_value","n","unit","valid_hour","validation_flags"
"ronda_participante","p1",1,"2026-05-01","2026-05-01 03:01:00","no","0-nmol/mol",0,0,0,"p1",-0.823,0.475,0.062,59,"nmol/mol",TRUE,"n=59"
"ronda_participante","p1",2,"2026-05-01","2026-05-01 04:20:00","no","180-nmol/mol",180,180,0,"p1",183.17,4.469,0.577,60,"nmol/mol",TRUE,""
"ronda_participante","p1",2,"2026-05-01","2026-05-01 05:20:00","no","180-nmol/mol",180,180,0,"p1",184.808,0.526,0.068,60,"nmol/mol",TRUE,""
"ronda_participante","p1",2,"2026-05-01","2026-05-01 06:20:00","no","180-nmol/mol",180,180,0,"p1",185.506,0.7,0.092,58,"nmol/mol",TRUE,"n=58"
"ronda_participante","p1",3,"2026-05-01","2026-05-01 07:18:00","no","119-nmol/mol",119,119,0,"p1",122.514,5.805,0.749,60,"nmol/mol",TRUE,""
"ronda_participante","p1",3,"2026-05-01","2026-05-01 08:18:00","no","119-nmol/mol",119,119,0,"p1",121.827,0.592,0.076,60,"nmol/mol",TRUE,""
"ronda_participante","p1",3,"2026-05-01","2026-05-01 09:18:00","no","119-nmol/mol",119,119,0,"p1",121.597,0.507,0.065,60,"nmol/mol",TRUE,""
"ronda_participante","p1",4,"2026-05-01","2026-05-01 10:21:00","no","78-nmol/mol",78,78,0,"p1",80.145,0.56,0.072,60,"nmol/mol",TRUE,""
"ronda_participante","p1",4,"2026-05-01","2026-05-01 11:21:00","no","78-nmol/mol",78,78,0,"p1",80.213,0.739,0.095,60,"nmol/mol",TRUE,""
"ronda_participante","p1",4,"2026-05-01","2026-05-01 12:21:00","no","78-nmol/mol",78,78,0,"p1",78.823,6.174,0.856,52,"nmol/mol",TRUE,"n=52"
"ronda_participante","p1",5,"2026-05-01","2026-05-01 13:13:00","no","37-nmol/mol",37,37,0,"p1",38.418,0.347,0.045,60,"nmol/mol",TRUE,""
"ronda_participante","p1",5,"2026-05-01","2026-05-01 14:13:00","no","37-nmol/mol",37,37,0,"p1",38.054,0.309,0.04,60,"nmol/mol",TRUE,""
"ronda_participante","p1",5,"2026-05-01","2026-05-01 15:13:00","no","37-nmol/mol",37,37,0,"p1",38.233,0.281,0.039,53,"nmol/mol",TRUE,"n=53"
