"source","run","date","hour_start","pollutant","level","generated_nominal","generated_mean","generated_sd","instrument","mean_value","sd_value","u_value","n","unit","valid_hour","validation_flags"
"ronda",1,"2026-05-01","2026-05-01 03:01:00","no","0-nmol/mol",0,0,0,"calaire_ref",0.008,0.711,0.094,57,"nmol/mol",TRUE,"n=57"
"ronda",2,"2026-05-01","2026-05-01 04:20:00","no","180-nmol/mol",180,180,0,"calaire_ref",178.816,3.622,0.468,60,"nmol/mol",TRUE,""
"ronda",2,"2026-05-01","2026-05-01 05:20:00","no","180-nmol/mol",180,180,0,"calaire_ref",179.812,0.421,0.054,60,"nmol/mol",TRUE,""
"ronda",2,"2026-05-01","2026-05-01 06:20:00","no","180-nmol/mol",180,180,0,"calaire_ref",179.749,0.419,0.055,58,"nmol/mol",TRUE,"n=58"
"ronda",3,"2026-05-01","2026-05-01 07:18:00","no","119-nmol/mol",119,119,0,"calaire_ref",119.703,7.342,0.948,60,"nmol/mol",TRUE,""
"ronda",3,"2026-05-01","2026-05-01 08:18:00","no","119-nmol/mol",119,119,0,"calaire_ref",118.389,0.39,0.05,60,"nmol/mol",TRUE,""
"ronda",3,"2026-05-01","2026-05-01 09:18:00","no","119-nmol/mol",119,119,0,"calaire_ref",118.413,0.47,0.061,60,"nmol/mol",TRUE,""
"ronda",4,"2026-05-01","2026-05-01 10:21:00","no","78-nmol/mol",78,78,0,"calaire_ref",78.372,2.294,0.296,60,"nmol/mol",TRUE,""
"ronda",4,"2026-05-01","2026-05-01 11:21:00","no","78-nmol/mol",78,78,0,"calaire_ref",77.935,0.368,0.047,60,"nmol/mol",TRUE,""
"ronda",4,"2026-05-01","2026-05-01 12:21:00","no","78-nmol/mol",78,78,0,"calaire_ref",77.13,3.868,0.536,52,"nmol/mol",TRUE,"n=52"
"ronda",5,"2026-05-01","2026-05-01 13:13:00","no","37-nmol/mol",37,37,0,"calaire_ref",37.219,0.343,0.044,60,"nmol/mol",TRUE,""
"ronda",5,"2026-05-01","2026-05-01 14:13:00","no","37-nmol/mol",37,37,0,"calaire_ref",36.95,0.395,0.051,60,"nmol/mol",TRUE,""
"ronda",5,"2026-05-01","2026-05-01 15:13:00","no","37-nmol/mol",37,37,0,"calaire_ref",37.165,0.385,0.053,53,"nmol/mol",TRUE,"n=53"
