"source","participant_id","run","date","hour_start","pollutant","level","generated_nominal","generated_mean","generated_sd","instrument","mean_value","sd_value","u_value","n","unit","valid_hour","validation_flags"
"ronda_participante","p1",1,"2026-05-01","2026-05-01 03:01:00","no2","0-nmol/mol",0,0,0,"p1",-0.708,0.407,0.052,60,"nmol/mol",TRUE,""
"ronda_participante","p1",2,"2026-05-01","2026-05-01 16:11:00","no2","140-nmol/mol",140,140,0,"p1",137.792,0.554,0.072,60,"nmol/mol",TRUE,""
"ronda_participante","p1",2,"2026-05-01","2026-05-01 17:11:00","no2","140-nmol/mol",140,140,0,"p1",138.069,0.357,0.046,60,"nmol/mol",TRUE,""
"ronda_participante","p1",2,"2026-05-01","2026-05-01 18:11:00","no2","140-nmol/mol",140,140,0,"p1",138.034,0.49,0.063,60,"nmol/mol",TRUE,""
"ronda_participante","p1",3,"2026-05-01","2026-05-01 19:17:00","no2","105-nmol/mol",105,105,0,"p1",104.09,6.478,0.836,60,"nmol/mol",TRUE,""
"ronda_participante","p1",3,"2026-05-01","2026-05-01 20:17:00","no2","105-nmol/mol",105,105,0,"p1",101.629,0.7,0.09,60,"nmol/mol",TRUE,""
"ronda_participante","p1",3,"2026-05-01","2026-05-01 21:17:00","no2","105-nmol/mol",105,105,0,"p1",101.413,0.586,0.076,60,"nmol/mol",TRUE,""
"ronda_participante","p1",4,"2026-05-01","2026-05-01 22:23:00","no2","60-nmol/mol",60,60,0,"p1",56.664,0.823,0.106,60,"nmol/mol",TRUE,""
"ronda_participante","p1",4,"2026-05-01","2026-05-01 23:23:00","no2","60-nmol/mol",60,60,0,"p1",57.014,0.655,0.085,60,"nmol/mol",TRUE,""
"ronda_participante","p1",4,"2026-05-02","2026-05-02 00:23:00","no2","60-nmol/mol",60,60,0,"p1",57.037,0.446,0.058,59,"nmol/mol",TRUE,"n=59"
"ronda_participante","p1",5,"2026-05-02","2026-05-02 01:22:00","no2","30-nmol/mol",30,30,0,"p1",29.036,4.905,0.633,60,"nmol/mol",TRUE,""
"ronda_participante","p1",5,"2026-05-02","2026-05-02 02:22:00","no2","30-nmol/mol",30,30,0,"p1",27.219,0.586,0.076,60,"nmol/mol",TRUE,""
"ronda_participante","p1",5,"2026-05-02","2026-05-02 03:22:00","no2","30-nmol/mol",30,30,0,"p1",27.217,0.561,0.076,54,"nmol/mol",TRUE,"n=54"
