pollutant,run,level,replicate,sample_id,value
co,corrida_1,0-µmol/mol,1,1,-0.012
co,corrida_1,0-µmol/mol,1,2,-0.013
co,corrida_1,0-µmol/mol,1,3,-0.017
co,corrida_1,0-µmol/mol,1,4,0.052
co,corrida_1,0-µmol/mol,1,5,-0.013
co,corrida_1,0-µmol/mol,1,6,0.048
co,corrida_1,0-µmol/mol,1,7,-0.02
co,corrida_1,0-µmol/mol,1,8,0.045
co,corrida_1,0-µmol/mol,1,9,0.105
co,corrida_1,0-µmol/mol,1,10,-0.019
co,corrida_1,0-µmol/mol,2,1,-0.008
co,corrida_1,0-µmol/mol,2,2,0.054
co,corrida_1,0-µmol/mol,2,3,0.052
co,corrida_1,0-µmol/mol,2,4,-0.019
co,corrida_1,0-µmol/mol,2,5,0.04
co,corrida_1,0-µmol/mol,2,6,-0.019
co,corrida_1,0-µmol/mol,2,7,0.051
co,corrida_1,0-µmol/mol,2,8,0.04
co,corrida_1,0-µmol/mol,2,9,0.043
co,corrida_1,0-µmol/mol,2,10,-0.016
co,corrida_2,6.3-µmol/mol,1,1,6.292
co,corrida_2,6.3-µmol/mol,1,2,6.293
co,corrida_2,6.3-µmol/mol,1,3,6.286
co,corrida_2,6.3-µmol/mol,1,4,6.294
co,corrida_2,6.3-µmol/mol,1,5,6.291
co,corrida_2,6.3-µmol/mol,1,6,6.298
co,corrida_2,6.3-µmol/mol,1,7,6.294
co,corrida_2,6.3-µmol/mol,1,8,6.292
co,corrida_2,6.3-µmol/mol,1,9,6.294
co,corrida_2,6.3-µmol/mol,1,10,6.289
co,corrida_2,6.3-µmol/mol,2,1,6.29
co,corrida_2,6.3-µmol/mol,2,2,6.295
co,corrida_2,6.3-µmol/mol,2,3,6.299
co,corrida_2,6.3-µmol/mol,2,4,6.295
co,corrida_2,6.3-µmol/mol,2,5,6.302
co,corrida_2,6.3-µmol/mol,2,6,6.29
co,corrida_2,6.3-µmol/mol,2,7,6.286
co,corrida_2,6.3-µmol/mol,2,8,6.29
co,corrida_2,6.3-µmol/mol,2,9,6.289
co,corrida_2,6.3-µmol/mol,2,10,6.303
co,corrida_3,4.2-µmol/mol,1,1,4.174
co,corrida_3,4.2-µmol/mol,1,2,4.163
co,corrida_3,4.2-µmol/mol,1,3,4.166
co,corrida_3,4.2-µmol/mol,1,4,4.172
co,corrida_3,4.2-µmol/mol,1,5,4.134
co,corrida_3,4.2-µmol/mol,1,6,4.153
co,corrida_3,4.2-µmol/mol,1,7,4.166
co,corrida_3,4.2-µmol/mol,1,8,4.154
co,corrida_3,4.2-µmol/mol,1,9,4.189
co,corrida_3,4.2-µmol/mol,1,10,4.186
co,corrida_3,4.2-µmol/mol,2,1,4.163
co,corrida_3,4.2-µmol/mol,2,2,4.153
co,corrida_3,4.2-µmol/mol,2,3,4.151
co,corrida_3,4.2-µmol/mol,2,4,4.166
co,corrida_3,4.2-µmol/mol,2,5,4.176
co,corrida_3,4.2-µmol/mol,2,6,4.154
co,corrida_3,4.2-µmol/mol,2,7,4.178
co,corrida_3,4.2-µmol/mol,2,8,4.148
co,corrida_3,4.2-µmol/mol,2,9,4.157
co,corrida_3,4.2-µmol/mol,2,10,4.155
co,corrida_4,2.8-µmol/mol,1,1,2.771
co,corrida_4,2.8-µmol/mol,1,2,2.76
co,corrida_4,2.8-µmol/mol,1,3,2.773
co,corrida_4,2.8-µmol/mol,1,4,2.766
co,corrida_4,2.8-µmol/mol,1,5,2.774
co,corrida_4,2.8-µmol/mol,1,6,2.775
co,corrida_4,2.8-µmol/mol,1,7,2.78
co,corrida_4,2.8-µmol/mol,1,8,2.771
co,corrida_4,2.8-µmol/mol,1,9,2.778
co,corrida_4,2.8-µmol/mol,1,10,2.763
co,corrida_4,2.8-µmol/mol,2,1,2.77
co,corrida_4,2.8-µmol/mol,2,2,2.768
co,corrida_4,2.8-µmol/mol,2,3,2.775
co,corrida_4,2.8-µmol/mol,2,4,2.768
co,corrida_4,2.8-µmol/mol,2,5,2.779
co,corrida_4,2.8-µmol/mol,2,6,2.764
co,corrida_4,2.8-µmol/mol,2,7,2.767
co,corrida_4,2.8-µmol/mol,2,8,2.773
co,corrida_4,2.8-µmol/mol,2,9,2.771
co,corrida_4,2.8-µmol/mol,2,10,2.773
co,corrida_5,1.4-µmol/mol,1,1,1.4
co,corrida_5,1.4-µmol/mol,1,2,1.389
co,corrida_5,1.4-µmol/mol,1,3,1.383
co,corrida_5,1.4-µmol/mol,1,4,1.392
co,corrida_5,1.4-µmol/mol,1,5,1.392
co,corrida_5,1.4-µmol/mol,1,6,1.388
co,corrida_5,1.4-µmol/mol,1,7,1.39
co,corrida_5,1.4-µmol/mol,1,8,1.403
co,corrida_5,1.4-µmol/mol,1,9,1.394
co,corrida_5,1.4-µmol/mol,1,10,1.388
co,corrida_5,1.4-µmol/mol,2,1,1.388
co,corrida_5,1.4-µmol/mol,2,2,1.396
co,corrida_5,1.4-µmol/mol,2,3,1.392
co,corrida_5,1.4-µmol/mol,2,4,1.389
co,corrida_5,1.4-µmol/mol,2,5,1.398
co,corrida_5,1.4-µmol/mol,2,6,1.396
co,corrida_5,1.4-µmol/mol,2,7,1.389
co,corrida_5,1.4-µmol/mol,2,8,1.396
co,corrida_5,1.4-µmol/mol,2,9,1.392
co,corrida_5,1.4-µmol/mol,2,10,1.39
so2,corrida_1,0-nmol/mol,1,1,0.333
so2,corrida_1,0-nmol/mol,1,2,-0.03
so2,corrida_1,0-nmol/mol,1,3,0.333
so2,corrida_1,0-nmol/mol,1,4,0.336
so2,corrida_1,0-nmol/mol,1,5,0.336
so2,corrida_1,0-nmol/mol,1,6,0.327
so2,corrida_1,0-nmol/mol,1,7,0.335
so2,corrida_1,0-nmol/mol,1,8,0.332
so2,corrida_1,0-nmol/mol,1,9,0.333
so2,corrida_1,0-nmol/mol,1,10,0.329
so2,corrida_1,0-nmol/mol,2,1,1.404
so2,corrida_1,0-nmol/mol,2,2,0.338
so2,corrida_1,0-nmol/mol,2,3,-0.024
so2,corrida_1,0-nmol/mol,2,4,-0.009
so2,corrida_1,0-nmol/mol,2,5,-0.028
so2,corrida_1,0-nmol/mol,2,6,0.329
so2,corrida_1,0-nmol/mol,2,7,0.325
so2,corrida_1,0-nmol/mol,2,8,-0.025
so2,corrida_1,0-nmol/mol,2,9,0.341
so2,corrida_1,0-nmol/mol,2,10,0.331
so2,corrida_2,179-nmol/mol,1,1,178.417
so2,corrida_2,179-nmol/mol,1,2,179.297
so2,corrida_2,179-nmol/mol,1,3,178.334
so2,corrida_2,179-nmol/mol,1,4,179.371
so2,corrida_2,179-nmol/mol,1,5,178.403
so2,corrida_2,179-nmol/mol,1,6,179.563
so2,corrida_2,179-nmol/mol,1,7,179.181
so2,corrida_2,179-nmol/mol,1,8,178.163
so2,corrida_2,179-nmol/mol,1,9,178.568
so2,corrida_2,179-nmol/mol,1,10,178.605
so2,corrida_2,179-nmol/mol,2,1,178.018
so2,corrida_2,179-nmol/mol,2,2,179.911
so2,corrida_2,179-nmol/mol,2,3,178.471
so2,corrida_2,179-nmol/mol,2,4,178.489
so2,corrida_2,179-nmol/mol,2,5,179.483
so2,corrida_2,179-nmol/mol,2,6,178.347
so2,corrida_2,179-nmol/mol,2,7,179.728
so2,corrida_2,179-nmol/mol,2,8,178.466
so2,corrida_2,179-nmol/mol,2,9,179.713
so2,corrida_2,179-nmol/mol,2,10,179.778
so2,corrida_3,119-nmol/mol,1,1,120.208
so2,corrida_3,119-nmol/mol,1,2,120.675
so2,corrida_3,119-nmol/mol,1,3,120.156
so2,corrida_3,119-nmol/mol,1,4,120.695
so2,corrida_3,119-nmol/mol,1,5,120.795
so2,corrida_3,119-nmol/mol,1,6,120.794
so2,corrida_3,119-nmol/mol,1,7,120.579
so2,corrida_3,119-nmol/mol,1,8,120.291
so2,corrida_3,119-nmol/mol,1,9,120.854
so2,corrida_3,119-nmol/mol,1,10,120.546
so2,corrida_3,119-nmol/mol,2,1,120.445
so2,corrida_3,119-nmol/mol,2,2,120.652
so2,corrida_3,119-nmol/mol,2,3,120.502
so2,corrida_3,119-nmol/mol,2,4,120.782
so2,corrida_3,119-nmol/mol,2,5,120.511
so2,corrida_3,119-nmol/mol,2,6,120.901
so2,corrida_3,119-nmol/mol,2,7,120.551
so2,corrida_3,119-nmol/mol,2,8,120.517
so2,corrida_3,119-nmol/mol,2,9,121
so2,corrida_3,119-nmol/mol,2,10,121.005
so2,corrida_4,80-nmol/mol,1,1,80.63
so2,corrida_4,80-nmol/mol,1,2,80.628
so2,corrida_4,80-nmol/mol,1,3,80.403
so2,corrida_4,80-nmol/mol,1,4,80.445
so2,corrida_4,80-nmol/mol,1,5,80.523
so2,corrida_4,80-nmol/mol,1,6,80.489
so2,corrida_4,80-nmol/mol,1,7,80.706
so2,corrida_4,80-nmol/mol,1,8,80.539
so2,corrida_4,80-nmol/mol,1,9,80.618
so2,corrida_4,80-nmol/mol,1,10,80.578
so2,corrida_4,80-nmol/mol,2,1,80.351
so2,corrida_4,80-nmol/mol,2,2,80.64
so2,corrida_4,80-nmol/mol,2,3,80.625
so2,corrida_4,80-nmol/mol,2,4,80.56
so2,corrida_4,80-nmol/mol,2,5,80.371
