"pollutant","level","source","run","unit","instrument","mean_h1","mean_h2","mean_h3","mean_value","sd_value","u_value","u_exp","k_factor","n_hours","hour_starts","participant_id","tipo","n_lab"
"co","0-µmol/mol","calaire_app",1,"µmol/mol","EK46W8",-0.0241333333333333,NA,NA,-0.0241333333333333,0,0.00384483413545893,0.00768966827091786,2,1,NA,"EK46W8","participante",1
"co","6.3-µmol/mol","calaire_app",2,"µmol/mol","EK46W8",6.2805,6.2807,6.31706666666667,6.29275555555556,0.0210542772992231,0.0121556926662995,0.024311385332599,2,3,NA,"EK46W8","participante",1
"co","4.2-µmol/mol","calaire_app",3,"µmol/mol","EK46W8",4.19158333333333,4.15068333333333,4.15295,4.16507222222222,0.0229872508948699,0.0132716954920826,0.0265433909841652,2,3,NA,"EK46W8","participante",1
"co","2.8-µmol/mol","calaire_app",4,"µmol/mol","EK46W8",2.77748333333333,2.772,2.76359649122807,2.77102660818713,0.0069944059526271,0.00403822215957078,0.00807644431914156,2,3,NA,"EK46W8","participante",1
"co","1.4-µmol/mol","calaire_app",5,"µmol/mol","EK46W8",1.40031666666667,1.37808333333333,1.39311666666667,1.39050555555556,0.0113443247354659,0.00654964893979577,0.0130992978795915,2,3,NA,"EK46W8","participante",1
"so2","0-µmol/mol","calaire_app",1,"µmol/mol","EK46W8",-0.0311,NA,NA,-0.0311,0,0.00537333340342908,0.0107466668068582,2,1,NA,"EK46W8","participante",1
"so2","179-µmol/mol","calaire_app",2,"µmol/mol","EK46W8",177.28675,179.979683333333,180.057666666667,179.108033333333,1.57775951439938,0.910919880354974,1.82183976070995,2,3,NA,"EK46W8","participante",1
"so2","119-µmol/mol","calaire_app",3,"µmol/mol","EK46W8",121.039833333333,120.496666666667,120.45995,120.665483333333,0.324715984019537,0.187474860783854,0.374949721567708,2,3,NA,"EK46W8","participante",1
"so2","80-µmol/mol","calaire_app",4,"µmol/mol","EK46W8",80.5636166666667,80.60705,80.4270350877193,80.532567251462,0.0939382339586543,0.0542352646632271,0.108470529326454,2,3,NA,"EK46W8","participante",1
"so2","40-µmol/mol","calaire_app",5,"µmol/mol","EK46W8",40.6700833333333,40.4206333333333,40.4024,40.4977055555556,0.149561650548576,0.0863494592046649,0.17269891840933,2,3,NA,"EK46W8","participante",1
