pollutant,run,level,replicate,sample_id,value
o3,corrida_1,0-nmol/mol,1,1,0.442
o3,corrida_1,0-nmol/mol,1,2,-0.54
o3,corrida_1,0-nmol/mol,2,1,0.551
o3,corrida_1,0-nmol/mol,2,2,-0.308
o3,corrida_2,180-nmol/mol,1,1,181.54
o3,corrida_2,180-nmol/mol,1,2,180.941
o3,corrida_2,180-nmol/mol,2,1,180.782
o3,corrida_2,180-nmol/mol,2,2,181.573
o3,corrida_3,120-nmol/mol,1,1,120.633
o3,corrida_3,120-nmol/mol,1,2,120.937
o3,corrida_3,120-nmol/mol,2,1,120.901
o3,corrida_3,120-nmol/mol,2,2,120.653
o3,corrida_4,80-nmol/mol,1,1,80.395
o3,corrida_4,80-nmol/mol,1,2,80.462
o3,corrida_4,80-nmol/mol,2,1,80.899
o3,corrida_4,80-nmol/mol,2,2,80.369
o3,corrida_5,40-nmol/mol,1,1,39.431
o3,corrida_5,40-nmol/mol,1,2,39.521
o3,corrida_5,40-nmol/mol,2,1,39.516
o3,corrida_5,40-nmol/mol,2,2,39.454
no,corrida_1,0-nmol/mol,1,1,-0.218
no,corrida_1,0-nmol/mol,1,2,0.026
no,corrida_1,0-nmol/mol,2,1,-0.091
no,corrida_1,0-nmol/mol,2,2,-0.214
no,corrida_2,180-nmol/mol,1,1,179.279
no,corrida_2,180-nmol/mol,1,2,179.526
no,corrida_2,180-nmol/mol,2,1,179.705
no,corrida_2,180-nmol/mol,2,2,179.62
no,corrida_3,119-nmol/mol,1,1,119.251
no,corrida_3,119-nmol/mol,1,2,119.715
no,corrida_3,119-nmol/mol,2,1,118.328
no,corrida_3,119-nmol/mol,2,2,118.41
no,corrida_4,78-nmol/mol,1,1,77.862
no,corrida_4,78-nmol/mol,1,2,77.232
no,corrida_4,78-nmol/mol,2,1,78.001
no,corrida_4,78-nmol/mol,2,2,78.262
no,corrida_5,37-nmol/mol,1,1,37.063
no,corrida_5,37-nmol/mol,1,2,37.129
no,corrida_5,37-nmol/mol,2,1,37.117
no,corrida_5,37-nmol/mol,2,2,37.12
no2,corrida_1,0-nmol/mol,1,1,-0.204
no2,corrida_1,0-nmol/mol,1,2,-0.279
no2,corrida_1,0-nmol/mol,2,1,-0.216
no2,corrida_1,0-nmol/mol,2,2,-0.14
no2,corrida_2,140-nmol/mol,1,1,140.739
no2,corrida_2,140-nmol/mol,1,2,140.71
no2,corrida_2,140-nmol/mol,2,1,140.67
no2,corrida_2,140-nmol/mol,2,2,140.707
no2,corrida_3,105-nmol/mol,1,1,105.978
no2,corrida_3,105-nmol/mol,1,2,106.083
no2,corrida_3,105-nmol/mol,2,1,106.701
no2,corrida_3,105-nmol/mol,2,2,105.782
no2,corrida_4,60-nmol/mol,1,1,61.521
no2,corrida_4,60-nmol/mol,1,2,61.789
no2,corrida_4,60-nmol/mol,2,1,61.574
no2,corrida_4,60-nmol/mol,2,2,61.593
no2,corrida_5,30-nmol/mol,1,1,32.035
no2,corrida_5,30-nmol/mol,1,2,32.193
no2,corrida_5,30-nmol/mol,2,1,32.03
no2,corrida_5,30-nmol/mol,2,2,32.207
