pollutant,run,level,dataset_id,value,minute_pool_n
o3,corrida_1,0-nmol/mol,1,0.442,97
o3,corrida_1,0-nmol/mol,2,-0.54,97
o3,corrida_1,0-nmol/mol,3,0.551,97
o3,corrida_1,0-nmol/mol,4,-0.308,97
o3,corrida_1,0-nmol/mol,5,0.493,97
o3,corrida_1,0-nmol/mol,6,-0.576,97
o3,corrida_1,0-nmol/mol,7,-0.475,97
o3,corrida_1,0-nmol/mol,8,-0.403,97
o3,corrida_1,0-nmol/mol,9,1.32,97
o3,corrida_1,0-nmol/mol,10,-0.375,97
o3,corrida_1,0-nmol/mol,11,-0.548,97
o3,corrida_1,0-nmol/mol,12,-0.466,97
o3,corrida_1,0-nmol/mol,13,0.506,97
o3,corrida_1,0-nmol/mol,14,-0.553,97
o3,corrida_1,0-nmol/mol,15,2.361,97
o3,corrida_1,0-nmol/mol,16,-0.508,97
o3,corrida_1,0-nmol/mol,17,0.474,97
o3,corrida_1,0-nmol/mol,18,0.435,97
o3,corrida_1,0-nmol/mol,19,-0.511,97
o3,corrida_1,0-nmol/mol,20,0.394,97
o3,corrida_2,180-nmol/mol,1,181.54,174
o3,corrida_2,180-nmol/mol,2,180.941,174
o3,corrida_2,180-nmol/mol,3,180.782,174
o3,corrida_2,180-nmol/mol,4,181.573,174
o3,corrida_2,180-nmol/mol,5,180.688,174
o3,corrida_2,180-nmol/mol,6,181.148,174
o3,corrida_2,180-nmol/mol,7,181.324,174
o3,corrida_2,180-nmol/mol,8,180.811,174
o3,corrida_2,180-nmol/mol,9,180.47,174
o3,corrida_2,180-nmol/mol,10,181.2,174
o3,corrida_2,180-nmol/mol,11,181.44,174
o3,corrida_2,180-nmol/mol,12,181.462,174
o3,corrida_2,180-nmol/mol,13,181.236,174
o3,corrida_2,180-nmol/mol,14,181.206,174
o3,corrida_2,180-nmol/mol,15,180.629,174
o3,corrida_2,180-nmol/mol,16,181.267,174
o3,corrida_2,180-nmol/mol,17,181.435,174
o3,corrida_2,180-nmol/mol,18,180.866,174
o3,corrida_2,180-nmol/mol,19,180.699,174
o3,corrida_2,180-nmol/mol,20,180.616,174
o3,corrida_3,120-nmol/mol,1,120.633,180
o3,corrida_3,120-nmol/mol,2,120.937,180
o3,corrida_3,120-nmol/mol,3,120.901,180
o3,corrida_3,120-nmol/mol,4,120.653,180
o3,corrida_3,120-nmol/mol,5,120.846,180
o3,corrida_3,120-nmol/mol,6,120.941,180
o3,corrida_3,120-nmol/mol,7,120.276,180
o3,corrida_3,120-nmol/mol,8,120.932,180
o3,corrida_3,120-nmol/mol,9,120.592,180
o3,corrida_3,120-nmol/mol,10,120.985,180
o3,corrida_3,120-nmol/mol,11,120.414,180
o3,corrida_3,120-nmol/mol,12,121.029,180
o3,corrida_3,120-nmol/mol,13,120.577,180
o3,corrida_3,120-nmol/mol,14,120.97,180
o3,corrida_3,120-nmol/mol,15,121.017,180
o3,corrida_3,120-nmol/mol,16,120.71,180
o3,corrida_3,120-nmol/mol,17,120.191,180
o3,corrida_3,120-nmol/mol,18,121.011,180
o3,corrida_3,120-nmol/mol,19,120.902,180
o3,corrida_3,120-nmol/mol,20,120.316,180
o3,corrida_4,80-nmol/mol,1,80.395,180
o3,corrida_4,80-nmol/mol,2,80.462,180
o3,corrida_4,80-nmol/mol,3,80.899,180
o3,corrida_4,80-nmol/mol,4,80.369,180
o3,corrida_4,80-nmol/mol,5,80.599,180
o3,corrida_4,80-nmol/mol,6,80.367,180
o3,corrida_4,80-nmol/mol,7,80.663,180
o3,corrida_4,80-nmol/mol,8,80.292,180
o3,corrida_4,80-nmol/mol,9,80.427,180
o3,corrida_4,80-nmol/mol,10,80.365,180
o3,corrida_4,80-nmol/mol,11,80.657,180
o3,corrida_4,80-nmol/mol,12,80.324,180
o3,corrida_4,80-nmol/mol,13,80.373,180
o3,corrida_4,80-nmol/mol,14,80.337,180
o3,corrida_4,80-nmol/mol,15,80.658,180
o3,corrida_4,80-nmol/mol,16,80.651,180
o3,corrida_4,80-nmol/mol,17,80.884,180
o3,corrida_4,80-nmol/mol,18,80.725,180
o3,corrida_4,80-nmol/mol,19,80.366,180
o3,corrida_4,80-nmol/mol,20,80.33,180
o3,corrida_5,40-nmol/mol,1,39.431,182
o3,corrida_5,40-nmol/mol,2,39.521,182
o3,corrida_5,40-nmol/mol,3,39.516,182
o3,corrida_5,40-nmol/mol,4,39.454,182
o3,corrida_5,40-nmol/mol,5,39.462,182
o3,corrida_5,40-nmol/mol,6,39.402,182
o3,corrida_5,40-nmol/mol,7,39.654,182
o3,corrida_5,40-nmol/mol,8,39.443,182
o3,corrida_5,40-nmol/mol,9,39.71,182
o3,corrida_5,40-nmol/mol,10,39.632,182
o3,corrida_5,40-nmol/mol,11,39.446,182
o3,corrida_5,40-nmol/mol,12,39.411,182
o3,corrida_5,40-nmol/mol,13,39.432,182
o3,corrida_5,40-nmol/mol,14,39.59,182
o3,corrida_5,40-nmol/mol,15,39.699,182
o3,corrida_5,40-nmol/mol,16,39.525,182
o3,corrida_5,40-nmol/mol,17,39.424,182
o3,corrida_5,40-nmol/mol,18,39.44,182
o3,corrida_5,40-nmol/mol,19,39.612,182
o3,corrida_5,40-nmol/mol,20,39.645,182
