pollutant,run,level,dataset_id,simulated_minute,value,source_timestamp,source_column,generator_column
o3,corrida_1,0-nmol/mol,1,1,-0.374,2026-04-30 13:59:00,o3_calaire_ppb,o3_gen_ppb
o3,corrida_1,0-nmol/mol,1,2,-0.706,2026-04-30 14:43:00,o3_calaire_ppb,o3_gen_ppb
o3,corrida_1,0-nmol/mol,1,3,-0.768,2026-04-30 14:48:00,o3_calaire_ppb,o3_gen_ppb
o3,corrida_1,0-nmol/mol,1,4,-1.002,2026-04-30 14:27:00,o3_calaire_ppb,o3_gen_ppb
o3,corrida_1,0-nmol/mol,1,5,-0.922,2026-04-30 14:22:00,o3_calaire_ppb,o3_gen_ppb
o3,corrida_1,0-nmol/mol,1,6,0.867,2026-04-30 13:33:00,o3_calaire_ppb,o3_gen_ppb
o3,corrida_1,0-nmol/mol,1,7,-0.899,2026-04-30 14:18:00,o3_calaire_ppb,o3_gen_ppb
o3,corrida_1,0-nmol/mol,1,8,-1.129,2026-04-30 15:03:00,o3_calaire_ppb,o3_gen_ppb
o3,corrida_1,0-nmol/mol,1,9,-0.83,2026-04-30 14:47:00,o3_calaire_ppb,o3_gen_ppb
o3,corrida_1,0-nmol/mol,1,10,-0.776,2026-04-30 14:55:00,o3_calaire_ppb,o3_gen_ppb
o3,corrida_1,0-nmol/mol,1,11,0.867,2026-04-30 13:33:00,o3_calaire_ppb,o3_gen_ppb
o3,corrida_1,0-nmol/mol,1,12,-0.099,2026-04-30 13:50:00,o3_calaire_ppb,o3_gen_ppb
o3,corrida_1,0-nmol/mol,1,13,54.382,2026-04-30 15:08:00,o3_calaire_ppb,o3_gen_ppb
o3,corrida_1,0-nmol/mol,1,14,-0.144,2026-04-30 13:56:00,o3_calaire_ppb,o3_gen_ppb
o3,corrida_1,0-nmol/mol,1,15,-0.923,2026-04-30 14:21:00,o3_calaire_ppb,o3_gen_ppb
o3,corrida_1,0-nmol/mol,1,16,0.182,2026-04-30 13:48:00,o3_calaire_ppb,o3_gen_ppb
o3,corrida_1,0-nmol/mol,1,17,-0.681,2026-04-30 14:28:00,o3_calaire_ppb,o3_gen_ppb
