pollutant,run,level,replicate,sample_id,value
o3,corrida_1,0-nmol/mol,1,1,0.442
o3,corrida_1,0-nmol/mol,1,2,-0.54
o3,corrida_1,0-nmol/mol,2,1,0.551
o3,corrida_1,0-nmol/mol,2,2,-0.308
o3,corrida_2,180-nmol/mol,1,1,181.54
o3,corrida_2,180-nmol/mol,1,2,180.941
o3,corrida_2,180-nmol/mol,2,1,180.782
o3,corrida_2,180-nmol/mol,2,2,181.573
o3,corrida_3,120-nmol/mol,1,1,120.633
o3,corrida_3,120-nmol/mol,1,2,120.937
o3,corrida_3,120-nmol/mol,2,1,120.901
o3,corrida_3,120-nmol/mol,2,2,120.653
o3,corrida_4,80-nmol/mol,1,1,80.395
o3,corrida_4,80-nmol/mol,1,2,80.462
o3,corrida_4,80-nmol/mol,2,1,80.899
o3,corrida_4,80-nmol/mol,2,2,80.369
o3,corrida_5,40-nmol/mol,1,1,39.431
o3,corrida_5,40-nmol/mol,1,2,39.521
o3,corrida_5,40-nmol/mol,2,1,39.516
o3,corrida_5,40-nmol/mol,2,2,39.454
