pollutant,run,level,replicate,sample_id,value
o3,corrida_1,0-nmol/mol,1,1,0.442
o3,corrida_1,0-nmol/mol,1,2,-0.54
o3,corrida_1,0-nmol/mol,1,3,0.551
o3,corrida_1,0-nmol/mol,1,4,-0.308
o3,corrida_1,0-nmol/mol,1,5,0.493
o3,corrida_1,0-nmol/mol,1,6,-0.576
o3,corrida_1,0-nmol/mol,1,7,-0.475
o3,corrida_1,0-nmol/mol,1,8,-0.403
o3,corrida_1,0-nmol/mol,1,9,1.32
o3,corrida_1,0-nmol/mol,1,10,-0.375
o3,corrida_1,0-nmol/mol,2,1,-0.548
o3,corrida_1,0-nmol/mol,2,2,-0.466
o3,corrida_1,0-nmol/mol,2,3,0.506
o3,corrida_1,0-nmol/mol,2,4,-0.553
o3,corrida_1,0-nmol/mol,2,5,2.361
o3,corrida_1,0-nmol/mol,2,6,-0.508
o3,corrida_1,0-nmol/mol,2,7,0.474
o3,corrida_1,0-nmol/mol,2,8,0.435
o3,corrida_1,0-nmol/mol,2,9,-0.511
o3,corrida_1,0-nmol/mol,2,10,0.394
o3,corrida_2,180-nmol/mol,1,1,181.54
o3,corrida_2,180-nmol/mol,1,2,180.941
o3,corrida_2,180-nmol/mol,1,3,180.782
o3,corrida_2,180-nmol/mol,1,4,181.573
o3,corrida_2,180-nmol/mol,1,5,180.688
o3,corrida_2,180-nmol/mol,1,6,181.148
o3,corrida_2,180-nmol/mol,1,7,181.324
o3,corrida_2,180-nmol/mol,1,8,180.811
o3,corrida_2,180-nmol/mol,1,9,180.47
o3,corrida_2,180-nmol/mol,1,10,181.2
o3,corrida_2,180-nmol/mol,2,1,181.44
o3,corrida_2,180-nmol/mol,2,2,181.462
o3,corrida_2,180-nmol/mol,2,3,181.236
o3,corrida_2,180-nmol/mol,2,4,181.206
o3,corrida_2,180-nmol/mol,2,5,180.629
o3,corrida_2,180-nmol/mol,2,6,181.267
o3,corrida_2,180-nmol/mol,2,7,181.435
o3,corrida_2,180-nmol/mol,2,8,180.866
o3,corrida_2,180-nmol/mol,2,9,180.699
o3,corrida_2,180-nmol/mol,2,10,180.616
o3,corrida_3,120-nmol/mol,1,1,120.633
o3,corrida_3,120-nmol/mol,1,2,120.937
o3,corrida_3,120-nmol/mol,1,3,120.901
o3,corrida_3,120-nmol/mol,1,4,120.653
o3,corrida_3,120-nmol/mol,1,5,120.846
o3,corrida_3,120-nmol/mol,1,6,120.941
o3,corrida_3,120-nmol/mol,1,7,120.276
o3,corrida_3,120-nmol/mol,1,8,120.932
o3,corrida_3,120-nmol/mol,1,9,120.592
o3,corrida_3,120-nmol/mol,1,10,120.985
o3,corrida_3,120-nmol/mol,2,1,120.414
o3,corrida_3,120-nmol/mol,2,2,121.029
o3,corrida_3,120-nmol/mol,2,3,120.577
o3,corrida_3,120-nmol/mol,2,4,120.97
o3,corrida_3,120-nmol/mol,2,5,121.017
o3,corrida_3,120-nmol/mol,2,6,120.71
o3,corrida_3,120-nmol/mol,2,7,120.191
o3,corrida_3,120-nmol/mol,2,8,121.011
o3,corrida_3,120-nmol/mol,2,9,120.902
o3,corrida_3,120-nmol/mol,2,10,120.316
o3,corrida_4,80-nmol/mol,1,1,80.395
o3,corrida_4,80-nmol/mol,1,2,80.462
o3,corrida_4,80-nmol/mol,1,3,80.899
o3,corrida_4,80-nmol/mol,1,4,80.369
o3,corrida_4,80-nmol/mol,1,5,80.599
o3,corrida_4,80-nmol/mol,1,6,80.367
o3,corrida_4,80-nmol/mol,1,7,80.663
o3,corrida_4,80-nmol/mol,1,8,80.292
o3,corrida_4,80-nmol/mol,1,9,80.427
o3,corrida_4,80-nmol/mol,1,10,80.365
o3,corrida_4,80-nmol/mol,2,1,80.657
o3,corrida_4,80-nmol/mol,2,2,80.324
o3,corrida_4,80-nmol/mol,2,3,80.373
o3,corrida_4,80-nmol/mol,2,4,80.337
o3,corrida_4,80-nmol/mol,2,5,80.658
o3,corrida_4,80-nmol/mol,2,6,80.651
o3,corrida_4,80-nmol/mol,2,7,80.884
o3,corrida_4,80-nmol/mol,2,8,80.725
o3,corrida_4,80-nmol/mol,2,9,80.366
o3,corrida_4,80-nmol/mol,2,10,80.33
o3,corrida_5,40-nmol/mol,1,1,39.431
o3,corrida_5,40-nmol/mol,1,2,39.521
o3,corrida_5,40-nmol/mol,1,3,39.516
o3,corrida_5,40-nmol/mol,1,4,39.454
o3,corrida_5,40-nmol/mol,1,5,39.462
o3,corrida_5,40-nmol/mol,1,6,39.402
o3,corrida_5,40-nmol/mol,1,7,39.654
o3,corrida_5,40-nmol/mol,1,8,39.443
o3,corrida_5,40-nmol/mol,1,9,39.71
o3,corrida_5,40-nmol/mol,1,10,39.632
o3,corrida_5,40-nmol/mol,2,1,39.446
o3,corrida_5,40-nmol/mol,2,2,39.411
o3,corrida_5,40-nmol/mol,2,3,39.432
o3,corrida_5,40-nmol/mol,2,4,39.59
o3,corrida_5,40-nmol/mol,2,5,39.699
o3,corrida_5,40-nmol/mol,2,6,39.525
o3,corrida_5,40-nmol/mol,2,7,39.424
o3,corrida_5,40-nmol/mol,2,8,39.44
o3,corrida_5,40-nmol/mol,2,9,39.612
o3,corrida_5,40-nmol/mol,2,10,39.645
