pollutant,run,level,dataset_id,value,minute_pool_n
no,corrida_1,0-nmol/mol,1,-0.218,70
no,corrida_1,0-nmol/mol,2,0.026,70
no,corrida_1,0-nmol/mol,3,-0.091,70
no,corrida_1,0-nmol/mol,4,-0.214,70
no,corrida_1,0-nmol/mol,5,-0.105,70
no,corrida_1,0-nmol/mol,6,-0.096,70
no,corrida_1,0-nmol/mol,7,0.06,70
no,corrida_1,0-nmol/mol,8,-0.262,70
no,corrida_1,0-nmol/mol,9,0.05,70
no,corrida_1,0-nmol/mol,10,-0.091,70
no,corrida_1,0-nmol/mol,11,-0.126,70
no,corrida_1,0-nmol/mol,12,-0.264,70
no,corrida_1,0-nmol/mol,13,-0.179,70
no,corrida_1,0-nmol/mol,14,-0.304,70
no,corrida_1,0-nmol/mol,15,-0.25,70
no,corrida_1,0-nmol/mol,16,-0.087,70
no,corrida_1,0-nmol/mol,17,-0.15,70
no,corrida_1,0-nmol/mol,18,-0.21,70
no,corrida_1,0-nmol/mol,19,-0.174,70
no,corrida_1,0-nmol/mol,20,0.123,70
no,corrida_2,180-nmol/mol,1,179.279,178
no,corrida_2,180-nmol/mol,2,179.526,178
no,corrida_2,180-nmol/mol,3,179.705,178
no,corrida_2,180-nmol/mol,4,179.62,178
no,corrida_2,180-nmol/mol,5,179.572,178
no,corrida_2,180-nmol/mol,6,179.315,178
no,corrida_2,180-nmol/mol,7,179.226,178
no,corrida_2,180-nmol/mol,8,179.172,178
no,corrida_2,180-nmol/mol,9,179.59,178
no,corrida_2,180-nmol/mol,10,179.347,178
no,corrida_2,180-nmol/mol,11,179.781,178
no,corrida_2,180-nmol/mol,12,179.561,178
no,corrida_2,180-nmol/mol,13,179.814,178
no,corrida_2,180-nmol/mol,14,179.635,178
no,corrida_2,180-nmol/mol,15,179.884,178
no,corrida_2,180-nmol/mol,16,179.345,178
no,corrida_2,180-nmol/mol,17,179.242,178
no,corrida_2,180-nmol/mol,18,179.423,178
no,corrida_2,180-nmol/mol,19,179.621,178
no,corrida_2,180-nmol/mol,20,179.223,178
no,corrida_3,119-nmol/mol,1,119.251,183
no,corrida_3,119-nmol/mol,2,119.715,183
no,corrida_3,119-nmol/mol,3,118.328,183
no,corrida_3,119-nmol/mol,4,118.41,183
no,corrida_3,119-nmol/mol,5,118.478,183
no,corrida_3,119-nmol/mol,6,118.361,183
no,corrida_3,119-nmol/mol,7,118.709,183
no,corrida_3,119-nmol/mol,8,118.415,183
no,corrida_3,119-nmol/mol,9,118.469,183
no,corrida_3,119-nmol/mol,10,118.778,183
no,corrida_3,119-nmol/mol,11,118.341,183
no,corrida_3,119-nmol/mol,12,118.478,183
no,corrida_3,119-nmol/mol,13,119.704,183
no,corrida_3,119-nmol/mol,14,119.22,183
no,corrida_3,119-nmol/mol,15,119.647,183
no,corrida_3,119-nmol/mol,16,118.422,183
no,corrida_3,119-nmol/mol,17,120.1,183
no,corrida_3,119-nmol/mol,18,119.305,183
no,corrida_3,119-nmol/mol,19,118.382,183
no,corrida_3,119-nmol/mol,20,119.334,183
no,corrida_4,78-nmol/mol,1,77.862,172
no,corrida_4,78-nmol/mol,2,77.232,172
no,corrida_4,78-nmol/mol,3,78.001,172
no,corrida_4,78-nmol/mol,4,78.262,172
no,corrida_4,78-nmol/mol,5,77.937,172
no,corrida_4,78-nmol/mol,6,77.785,172
no,corrida_4,78-nmol/mol,7,77.928,172
no,corrida_4,78-nmol/mol,8,78.15,172
no,corrida_4,78-nmol/mol,9,77.785,172
no,corrida_4,78-nmol/mol,10,78.419,172
no,corrida_4,78-nmol/mol,11,78.263,172
no,corrida_4,78-nmol/mol,12,77.352,172
no,corrida_4,78-nmol/mol,13,78.057,172
no,corrida_4,78-nmol/mol,14,77.863,172
no,corrida_4,78-nmol/mol,15,77.931,172
no,corrida_4,78-nmol/mol,16,77.912,172
no,corrida_4,78-nmol/mol,17,77.906,172
no,corrida_4,78-nmol/mol,18,77.889,172
no,corrida_4,78-nmol/mol,19,77.949,172
no,corrida_4,78-nmol/mol,20,78.107,172
no,corrida_5,37-nmol/mol,1,37.063,173
no,corrida_5,37-nmol/mol,2,37.129,173
no,corrida_5,37-nmol/mol,3,37.117,173
no,corrida_5,37-nmol/mol,4,37.12,173
no,corrida_5,37-nmol/mol,5,37.1,173
no,corrida_5,37-nmol/mol,6,37.179,173
no,corrida_5,37-nmol/mol,7,37.107,173
no,corrida_5,37-nmol/mol,8,37.033,173
no,corrida_5,37-nmol/mol,9,37.162,173
no,corrida_5,37-nmol/mol,10,37.087,173
no,corrida_5,37-nmol/mol,11,37.181,173
no,corrida_5,37-nmol/mol,12,37.101,173
no,corrida_5,37-nmol/mol,13,37.27,173
no,corrida_5,37-nmol/mol,14,37.075,173
no,corrida_5,37-nmol/mol,15,37.235,173
no,corrida_5,37-nmol/mol,16,37.106,173
no,corrida_5,37-nmol/mol,17,37.054,173
no,corrida_5,37-nmol/mol,18,37.004,173
no,corrida_5,37-nmol/mol,19,37.14,173
no,corrida_5,37-nmol/mol,20,37.136,173
