pollutant,run,level,dataset_id,simulated_minute,value,source_timestamp,source_column,generator_column
no,corrida_1,0-nmol/mol,1,1,-0.726,2026-05-01 03:31:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,2,-1.174,2026-05-01 03:59:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,3,-0.092,2026-05-01 03:54:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,4,-0.045,2026-05-01 03:02:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,5,-0.449,2026-05-01 03:50:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,6,-0.045,2026-05-01 03:02:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,7,1.226,2026-05-01 03:21:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,8,-0.344,2026-05-01 03:28:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,9,-0.356,2026-05-01 03:53:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,10,1.603,2026-05-01 03:19:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,11,0.515,2026-05-01 04:00:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,12,1.328,2026-05-01 03:26:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,13,-1.174,2026-05-01 03:59:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,14,-0.675,2026-05-01 04:03:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,15,1.059,2026-05-01 03:25:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,16,-0.46,2026-05-01 03:48:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,17,-0.355,2026-05-01 04:02:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,18,-1.149,2026-05-01 04:12:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,19,-0.331,2026-05-01 03:17:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,20,-0.742,2026-05-01 03:32:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,21,-0.169,2026-05-01 03:51:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,22,0.515,2026-05-01 04:00:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,23,-0.344,2026-05-01 03:28:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,24,-0.331,2026-05-01 03:17:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,25,0.345,2026-05-01 03:14:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,26,-1.963,2026-05-01 04:13:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,27,-0.999,2026-05-01 03:49:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,28,0.278,2026-05-01 03:55:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,29,-1.017,2026-05-01 04:11:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,30,-0.839,2026-05-01 04:04:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,31,-0.169,2026-05-01 03:51:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,32,0.069,2026-05-01 03:40:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,33,0.086,2026-05-01 03:01:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,34,1.328,2026-05-01 03:26:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,35,0.408,2026-05-01 03:10:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,36,0.836,2026-05-01 03:11:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,37,1.235,2026-05-01 03:18:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,38,-0.726,2026-05-01 03:31:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,39,1.059,2026-05-01 03:25:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,40,0.128,2026-05-01 04:09:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,41,-0.759,2026-05-01 03:58:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,42,-0.989,2026-05-01 04:06:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,43,-1.174,2026-05-01 03:59:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,44,-0.989,2026-05-01 04:06:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,45,-0.473,2026-05-01 03:56:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,46,0.086,2026-05-01 03:01:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,47,-0.726,2026-05-01 03:31:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,48,0.408,2026-05-01 03:10:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,49,0.062,2026-05-01 03:34:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,50,-0.646,2026-05-01 03:16:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,51,-0.839,2026-05-01 04:04:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,52,-0.508,2026-05-01 03:52:00,no_calaire_ppb,no_gen_ppb
no,corrida_1,0-nmol/mol,1,53,-0.646,2026-05-01 03:16:00,no_calaire_ppb,no_gen_ppb
