pollutant,run,level,replicate,sample_id,value
no,corrida_1,0-nmol/mol,1,1,-0.218
no,corrida_1,0-nmol/mol,1,2,0.026
no,corrida_1,0-nmol/mol,2,1,-0.091
no,corrida_1,0-nmol/mol,2,2,-0.214
no,corrida_2,180-nmol/mol,1,1,179.279
no,corrida_2,180-nmol/mol,1,2,179.526
no,corrida_2,180-nmol/mol,2,1,179.705
no,corrida_2,180-nmol/mol,2,2,179.62
no,corrida_3,119-nmol/mol,1,1,119.251
no,corrida_3,119-nmol/mol,1,2,119.715
no,corrida_3,119-nmol/mol,2,1,118.328
no,corrida_3,119-nmol/mol,2,2,118.41
no,corrida_4,78-nmol/mol,1,1,77.862
no,corrida_4,78-nmol/mol,1,2,77.232
no,corrida_4,78-nmol/mol,2,1,78.001
no,corrida_4,78-nmol/mol,2,2,78.262
no,corrida_5,37-nmol/mol,1,1,37.063
no,corrida_5,37-nmol/mol,1,2,37.129
no,corrida_5,37-nmol/mol,2,1,37.117
no,corrida_5,37-nmol/mol,2,2,37.12
