pollutant,run,level,replicate,sample_id,value
no,corrida_1,0-nmol/mol,1,1,-0.218
no,corrida_1,0-nmol/mol,1,2,0.026
no,corrida_1,0-nmol/mol,1,3,-0.091
no,corrida_1,0-nmol/mol,1,4,-0.214
no,corrida_1,0-nmol/mol,1,5,-0.105
no,corrida_1,0-nmol/mol,1,6,-0.096
no,corrida_1,0-nmol/mol,1,7,0.06
no,corrida_1,0-nmol/mol,1,8,-0.262
no,corrida_1,0-nmol/mol,1,9,0.05
no,corrida_1,0-nmol/mol,1,10,-0.091
no,corrida_1,0-nmol/mol,2,1,-0.126
no,corrida_1,0-nmol/mol,2,2,-0.264
no,corrida_1,0-nmol/mol,2,3,-0.179
no,corrida_1,0-nmol/mol,2,4,-0.304
no,corrida_1,0-nmol/mol,2,5,-0.25
no,corrida_1,0-nmol/mol,2,6,-0.087
no,corrida_1,0-nmol/mol,2,7,-0.15
no,corrida_1,0-nmol/mol,2,8,-0.21
no,corrida_1,0-nmol/mol,2,9,-0.174
no,corrida_1,0-nmol/mol,2,10,0.123
no,corrida_2,180-nmol/mol,1,1,179.279
no,corrida_2,180-nmol/mol,1,2,179.526
no,corrida_2,180-nmol/mol,1,3,179.705
no,corrida_2,180-nmol/mol,1,4,179.62
no,corrida_2,180-nmol/mol,1,5,179.572
no,corrida_2,180-nmol/mol,1,6,179.315
no,corrida_2,180-nmol/mol,1,7,179.226
no,corrida_2,180-nmol/mol,1,8,179.172
no,corrida_2,180-nmol/mol,1,9,179.59
no,corrida_2,180-nmol/mol,1,10,179.347
no,corrida_2,180-nmol/mol,2,1,179.781
no,corrida_2,180-nmol/mol,2,2,179.561
no,corrida_2,180-nmol/mol,2,3,179.814
no,corrida_2,180-nmol/mol,2,4,179.635
no,corrida_2,180-nmol/mol,2,5,179.884
no,corrida_2,180-nmol/mol,2,6,179.345
no,corrida_2,180-nmol/mol,2,7,179.242
no,corrida_2,180-nmol/mol,2,8,179.423
no,corrida_2,180-nmol/mol,2,9,179.621
no,corrida_2,180-nmol/mol,2,10,179.223
no,corrida_3,119-nmol/mol,1,1,119.251
no,corrida_3,119-nmol/mol,1,2,119.715
no,corrida_3,119-nmol/mol,1,3,118.328
no,corrida_3,119-nmol/mol,1,4,118.41
no,corrida_3,119-nmol/mol,1,5,118.478
no,corrida_3,119-nmol/mol,1,6,118.361
no,corrida_3,119-nmol/mol,1,7,118.709
no,corrida_3,119-nmol/mol,1,8,118.415
no,corrida_3,119-nmol/mol,1,9,118.469
no,corrida_3,119-nmol/mol,1,10,118.778
no,corrida_3,119-nmol/mol,2,1,118.341
no,corrida_3,119-nmol/mol,2,2,118.478
no,corrida_3,119-nmol/mol,2,3,119.704
no,corrida_3,119-nmol/mol,2,4,119.22
no,corrida_3,119-nmol/mol,2,5,119.647
no,corrida_3,119-nmol/mol,2,6,118.422
no,corrida_3,119-nmol/mol,2,7,120.1
no,corrida_3,119-nmol/mol,2,8,119.305
no,corrida_3,119-nmol/mol,2,9,118.382
no,corrida_3,119-nmol/mol,2,10,119.334
no,corrida_4,78-nmol/mol,1,1,77.862
no,corrida_4,78-nmol/mol,1,2,77.232
no,corrida_4,78-nmol/mol,1,3,78.001
no,corrida_4,78-nmol/mol,1,4,78.262
no,corrida_4,78-nmol/mol,1,5,77.937
no,corrida_4,78-nmol/mol,1,6,77.785
no,corrida_4,78-nmol/mol,1,7,77.928
no,corrida_4,78-nmol/mol,1,8,78.15
no,corrida_4,78-nmol/mol,1,9,77.785
no,corrida_4,78-nmol/mol,1,10,78.419
no,corrida_4,78-nmol/mol,2,1,78.263
no,corrida_4,78-nmol/mol,2,2,77.352
no,corrida_4,78-nmol/mol,2,3,78.057
no,corrida_4,78-nmol/mol,2,4,77.863
no,corrida_4,78-nmol/mol,2,5,77.931
no,corrida_4,78-nmol/mol,2,6,77.912
no,corrida_4,78-nmol/mol,2,7,77.906
no,corrida_4,78-nmol/mol,2,8,77.889
no,corrida_4,78-nmol/mol,2,9,77.949
no,corrida_4,78-nmol/mol,2,10,78.107
no,corrida_5,37-nmol/mol,1,1,37.063
no,corrida_5,37-nmol/mol,1,2,37.129
no,corrida_5,37-nmol/mol,1,3,37.117
no,corrida_5,37-nmol/mol,1,4,37.12
no,corrida_5,37-nmol/mol,1,5,37.1
no,corrida_5,37-nmol/mol,1,6,37.179
no,corrida_5,37-nmol/mol,1,7,37.107
no,corrida_5,37-nmol/mol,1,8,37.033
no,corrida_5,37-nmol/mol,1,9,37.162
no,corrida_5,37-nmol/mol,1,10,37.087
no,corrida_5,37-nmol/mol,2,1,37.181
no,corrida_5,37-nmol/mol,2,2,37.101
no,corrida_5,37-nmol/mol,2,3,37.27
no,corrida_5,37-nmol/mol,2,4,37.075
no,corrida_5,37-nmol/mol,2,5,37.235
no,corrida_5,37-nmol/mol,2,6,37.106
no,corrida_5,37-nmol/mol,2,7,37.054
no,corrida_5,37-nmol/mol,2,8,37.004
no,corrida_5,37-nmol/mol,2,9,37.14
no,corrida_5,37-nmol/mol,2,10,37.136
