pollutant,run,level,dataset_id,value,minute_pool_n
no2,corrida_1,0-nmol/mol,1,-0.204,71
no2,corrida_1,0-nmol/mol,2,-0.279,71
no2,corrida_1,0-nmol/mol,3,-0.216,71
no2,corrida_1,0-nmol/mol,4,-0.14,71
no2,corrida_1,0-nmol/mol,5,-0.246,71
no2,corrida_1,0-nmol/mol,6,-0.315,71
no2,corrida_1,0-nmol/mol,7,-0.34,71
no2,corrida_1,0-nmol/mol,8,-0.141,71
no2,corrida_1,0-nmol/mol,9,-0.302,71
no2,corrida_1,0-nmol/mol,10,-0.336,71
no2,corrida_1,0-nmol/mol,11,-0.301,71
no2,corrida_1,0-nmol/mol,12,-0.306,71
no2,corrida_1,0-nmol/mol,13,-0.225,71
no2,corrida_1,0-nmol/mol,14,-0.099,71
no2,corrida_1,0-nmol/mol,15,-0.194,71
no2,corrida_1,0-nmol/mol,16,-0.123,71
no2,corrida_1,0-nmol/mol,17,-0.22,71
no2,corrida_1,0-nmol/mol,18,-0.12,71
no2,corrida_1,0-nmol/mol,19,-0.202,71
no2,corrida_1,0-nmol/mol,20,-0.181,71
no2,corrida_2,140-nmol/mol,1,140.739,186
no2,corrida_2,140-nmol/mol,2,140.71,186
no2,corrida_2,140-nmol/mol,3,140.67,186
no2,corrida_2,140-nmol/mol,4,140.707,186
no2,corrida_2,140-nmol/mol,5,140.806,186
no2,corrida_2,140-nmol/mol,6,140.752,186
no2,corrida_2,140-nmol/mol,7,140.724,186
no2,corrida_2,140-nmol/mol,8,140.794,186
no2,corrida_2,140-nmol/mol,9,140.672,186
no2,corrida_2,140-nmol/mol,10,140.659,186
no2,corrida_2,140-nmol/mol,11,140.671,186
no2,corrida_2,140-nmol/mol,12,140.663,186
no2,corrida_2,140-nmol/mol,13,140.698,186
no2,corrida_2,140-nmol/mol,14,140.616,186
no2,corrida_2,140-nmol/mol,15,140.694,186
no2,corrida_2,140-nmol/mol,16,140.672,186
no2,corrida_2,140-nmol/mol,17,140.614,186
no2,corrida_2,140-nmol/mol,18,140.744,186
no2,corrida_2,140-nmol/mol,19,140.725,186
no2,corrida_2,140-nmol/mol,20,140.703,186
no2,corrida_3,105-nmol/mol,1,105.978,186
no2,corrida_3,105-nmol/mol,2,106.083,186
no2,corrida_3,105-nmol/mol,3,106.701,186
no2,corrida_3,105-nmol/mol,4,105.782,186
no2,corrida_3,105-nmol/mol,5,105.781,186
no2,corrida_3,105-nmol/mol,6,105.948,186
no2,corrida_3,105-nmol/mol,7,105.983,186
no2,corrida_3,105-nmol/mol,8,106.056,186
no2,corrida_3,105-nmol/mol,9,106.005,186
no2,corrida_3,105-nmol/mol,10,105.836,186
no2,corrida_3,105-nmol/mol,11,105.848,186
no2,corrida_3,105-nmol/mol,12,105.845,186
no2,corrida_3,105-nmol/mol,13,106.017,186
no2,corrida_3,105-nmol/mol,14,105.949,186
no2,corrida_3,105-nmol/mol,15,106.777,186
no2,corrida_3,105-nmol/mol,16,105.991,186
no2,corrida_3,105-nmol/mol,17,106.364,186
no2,corrida_3,105-nmol/mol,18,106.763,186
no2,corrida_3,105-nmol/mol,19,105.904,186
no2,corrida_3,105-nmol/mol,20,106.289,186
no2,corrida_4,60-nmol/mol,1,61.521,179
no2,corrida_4,60-nmol/mol,2,61.789,179
no2,corrida_4,60-nmol/mol,3,61.574,179
no2,corrida_4,60-nmol/mol,4,61.593,179
no2,corrida_4,60-nmol/mol,5,61.664,179
no2,corrida_4,60-nmol/mol,6,61.882,179
no2,corrida_4,60-nmol/mol,7,61.687,179
no2,corrida_4,60-nmol/mol,8,61.671,179
no2,corrida_4,60-nmol/mol,9,61.569,179
no2,corrida_4,60-nmol/mol,10,61.817,179
no2,corrida_4,60-nmol/mol,11,61.852,179
no2,corrida_4,60-nmol/mol,12,61.94,179
no2,corrida_4,60-nmol/mol,13,61.827,179
no2,corrida_4,60-nmol/mol,14,61.604,179
no2,corrida_4,60-nmol/mol,15,61.59,179
no2,corrida_4,60-nmol/mol,16,61.588,179
no2,corrida_4,60-nmol/mol,17,61.524,179
no2,corrida_4,60-nmol/mol,18,61.506,179
no2,corrida_4,60-nmol/mol,19,61.501,179
no2,corrida_4,60-nmol/mol,20,61.522,179
no2,corrida_5,30-nmol/mol,1,32.035,174
no2,corrida_5,30-nmol/mol,2,32.193,174
no2,corrida_5,30-nmol/mol,3,32.03,174
no2,corrida_5,30-nmol/mol,4,32.207,174
no2,corrida_5,30-nmol/mol,5,32.224,174
no2,corrida_5,30-nmol/mol,6,31.967,174
no2,corrida_5,30-nmol/mol,7,32.054,174
no2,corrida_5,30-nmol/mol,8,32.258,174
no2,corrida_5,30-nmol/mol,9,31.974,174
no2,corrida_5,30-nmol/mol,10,32.186,174
no2,corrida_5,30-nmol/mol,11,32.026,174
no2,corrida_5,30-nmol/mol,12,32.046,174
no2,corrida_5,30-nmol/mol,13,32.174,174
no2,corrida_5,30-nmol/mol,14,32.204,174
no2,corrida_5,30-nmol/mol,15,32.259,174
no2,corrida_5,30-nmol/mol,16,32.325,174
no2,corrida_5,30-nmol/mol,17,32.198,174
no2,corrida_5,30-nmol/mol,18,32.087,174
no2,corrida_5,30-nmol/mol,19,32.007,174
no2,corrida_5,30-nmol/mol,20,32.051,174
