pollutant,run,level,dataset_id,simulated_minute,value,source_timestamp,source_column,generator_column
no2,corrida_1,0-nmol/mol,1,1,0.064,2026-05-01 03:31:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,2,-0.569,2026-05-01 03:59:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,3,-0.266,2026-05-01 03:54:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,4,-0.867,2026-05-01 03:02:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,5,-0.132,2026-05-01 03:50:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,6,-0.867,2026-05-01 03:02:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,7,0.23,2026-05-01 03:21:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,8,0.47,2026-05-01 03:28:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,9,-0.259,2026-05-01 03:53:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,10,-1.697,2026-05-01 03:19:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,11,-0.728,2026-05-01 04:00:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,12,-1.249,2026-05-01 03:26:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,13,-0.569,2026-05-01 03:59:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,14,1.599,2026-05-01 04:03:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,15,-1.565,2026-05-01 03:25:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,16,0.239,2026-05-01 03:48:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,17,0.479,2026-05-01 04:02:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,18,0.499,2026-05-01 04:12:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,19,0.222,2026-05-01 03:17:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,20,-0.015,2026-05-01 03:32:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,21,-0.364,2026-05-01 03:51:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,22,-0.728,2026-05-01 04:00:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,23,0.47,2026-05-01 03:28:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,24,0.222,2026-05-01 03:17:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,25,0.674,2026-05-01 03:14:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,26,0.473,2026-05-01 04:13:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,27,0.303,2026-05-01 03:49:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,28,-0.311,2026-05-01 03:55:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,29,1.02,2026-05-01 04:11:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,30,1.224,2026-05-01 04:04:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,31,-0.364,2026-05-01 03:51:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,32,-0.302,2026-05-01 03:40:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,33,-1.021,2026-05-01 03:01:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,34,-1.249,2026-05-01 03:26:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,35,-1.139,2026-05-01 03:10:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,36,-1.922,2026-05-01 03:11:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,37,-1.595,2026-05-01 03:18:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,38,0.064,2026-05-01 03:31:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,39,-1.565,2026-05-01 03:25:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,40,-0.057,2026-05-01 04:09:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,41,-0.638,2026-05-01 03:58:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,42,-0.125,2026-05-01 04:06:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,43,-0.569,2026-05-01 03:59:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,44,-0.125,2026-05-01 04:06:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,45,0.178,2026-05-01 03:56:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,46,-0.743,2026-05-01 04:14:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,47,-1.021,2026-05-01 03:01:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,48,0.064,2026-05-01 03:31:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,49,-1.139,2026-05-01 03:10:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,50,0.413,2026-05-01 03:34:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,51,0.63,2026-05-01 03:16:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,52,1.224,2026-05-01 04:04:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,53,0.021,2026-05-01 03:52:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,54,0.63,2026-05-01 03:16:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,55,1.224,2026-05-01 04:04:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,56,-0.132,2026-05-01 03:50:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,57,0.473,2026-05-01 04:13:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,58,-0.259,2026-05-01 03:53:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,59,0.413,2026-05-01 03:34:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,1,60,-1.583,2026-05-01 03:06:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,1,0.064,2026-05-01 03:31:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,2,0.087,2026-05-01 03:37:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,3,-1.249,2026-05-01 03:26:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,4,0.529,2026-05-01 03:15:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,5,-0.037,2026-05-01 03:33:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,6,-0.867,2026-05-01 03:02:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,7,-1.372,2026-05-01 04:01:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,8,-0.229,2026-05-01 03:20:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,9,0.499,2026-05-01 04:12:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,10,-0.064,2026-05-01 03:45:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,11,0.647,2026-05-01 04:10:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,12,0.572,2026-05-01 03:35:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,13,-0.311,2026-05-01 03:55:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,14,-1.372,2026-05-01 04:01:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,15,0.647,2026-05-01 04:10:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,16,0.672,2026-05-01 03:29:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,17,0.087,2026-05-01 03:37:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,18,-0.096,2026-05-01 03:57:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,19,0.47,2026-05-01 03:28:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,20,0.087,2026-05-01 03:37:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,21,-0.533,2026-05-01 03:12:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,22,-1.372,2026-05-01 04:01:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,23,-0.638,2026-05-01 03:58:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,24,-0.259,2026-05-01 03:53:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,25,0.23,2026-05-01 03:21:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,26,0.47,2026-05-01 03:28:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,27,0.427,2026-05-01 03:36:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,28,-0.229,2026-05-01 03:20:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,29,0.23,2026-05-01 03:21:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,30,-0.364,2026-05-01 03:51:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,31,-0.096,2026-05-01 03:57:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,32,-0.364,2026-05-01 03:51:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,33,-0.364,2026-05-01 03:51:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,34,0.021,2026-05-01 03:52:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,35,-0.291,2026-05-01 03:39:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,36,-0.011,2026-05-01 03:22:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,37,-1.595,2026-05-01 03:18:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,38,-1.139,2026-05-01 03:10:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,39,0.087,2026-05-01 03:37:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,40,0.427,2026-05-01 03:36:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,41,-0.311,2026-05-01 03:55:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,42,0.064,2026-05-01 03:31:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,43,-1.249,2026-05-01 03:26:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,44,0.303,2026-05-01 03:49:00,no2_calaire_ppb,no2_gen_ppb
no2,corrida_1,0-nmol/mol,2,45,0.413,2026-05-01 03:34:00,no2_calaire_ppb,no2_gen_ppb
