pollutant,run,level,replicate,sample_id,value
no2,corrida_1,0-nmol/mol,1,1,-0.204
no2,corrida_1,0-nmol/mol,1,2,-0.279
no2,corrida_1,0-nmol/mol,2,1,-0.216
no2,corrida_1,0-nmol/mol,2,2,-0.14
no2,corrida_2,140-nmol/mol,1,1,140.739
no2,corrida_2,140-nmol/mol,1,2,140.71
no2,corrida_2,140-nmol/mol,2,1,140.67
no2,corrida_2,140-nmol/mol,2,2,140.707
no2,corrida_3,105-nmol/mol,1,1,105.978
no2,corrida_3,105-nmol/mol,1,2,106.083
no2,corrida_3,105-nmol/mol,2,1,106.701
no2,corrida_3,105-nmol/mol,2,2,105.782
no2,corrida_4,60-nmol/mol,1,1,61.521
no2,corrida_4,60-nmol/mol,1,2,61.789
no2,corrida_4,60-nmol/mol,2,1,61.574
no2,corrida_4,60-nmol/mol,2,2,61.593
no2,corrida_5,30-nmol/mol,1,1,32.035
no2,corrida_5,30-nmol/mol,1,2,32.193
no2,corrida_5,30-nmol/mol,2,1,32.03
no2,corrida_5,30-nmol/mol,2,2,32.207
