pollutant,run,level,replicate,sample_id,value
no2,corrida_1,0-nmol/mol,1,1,-0.204
no2,corrida_1,0-nmol/mol,1,2,-0.279
no2,corrida_1,0-nmol/mol,1,3,-0.216
no2,corrida_1,0-nmol/mol,1,4,-0.14
no2,corrida_1,0-nmol/mol,1,5,-0.246
no2,corrida_1,0-nmol/mol,1,6,-0.315
no2,corrida_1,0-nmol/mol,1,7,-0.34
no2,corrida_1,0-nmol/mol,1,8,-0.141
no2,corrida_1,0-nmol/mol,1,9,-0.302
no2,corrida_1,0-nmol/mol,1,10,-0.336
no2,corrida_1,0-nmol/mol,2,1,-0.301
no2,corrida_1,0-nmol/mol,2,2,-0.306
no2,corrida_1,0-nmol/mol,2,3,-0.225
no2,corrida_1,0-nmol/mol,2,4,-0.099
no2,corrida_1,0-nmol/mol,2,5,-0.194
no2,corrida_1,0-nmol/mol,2,6,-0.123
no2,corrida_1,0-nmol/mol,2,7,-0.22
no2,corrida_1,0-nmol/mol,2,8,-0.12
no2,corrida_1,0-nmol/mol,2,9,-0.202
no2,corrida_1,0-nmol/mol,2,10,-0.181
no2,corrida_2,140-nmol/mol,1,1,140.739
no2,corrida_2,140-nmol/mol,1,2,140.71
no2,corrida_2,140-nmol/mol,1,3,140.67
no2,corrida_2,140-nmol/mol,1,4,140.707
no2,corrida_2,140-nmol/mol,1,5,140.806
no2,corrida_2,140-nmol/mol,1,6,140.752
no2,corrida_2,140-nmol/mol,1,7,140.724
no2,corrida_2,140-nmol/mol,1,8,140.794
no2,corrida_2,140-nmol/mol,1,9,140.672
no2,corrida_2,140-nmol/mol,1,10,140.659
no2,corrida_2,140-nmol/mol,2,1,140.671
no2,corrida_2,140-nmol/mol,2,2,140.663
no2,corrida_2,140-nmol/mol,2,3,140.698
no2,corrida_2,140-nmol/mol,2,4,140.616
no2,corrida_2,140-nmol/mol,2,5,140.694
no2,corrida_2,140-nmol/mol,2,6,140.672
no2,corrida_2,140-nmol/mol,2,7,140.614
no2,corrida_2,140-nmol/mol,2,8,140.744
no2,corrida_2,140-nmol/mol,2,9,140.725
no2,corrida_2,140-nmol/mol,2,10,140.703
no2,corrida_3,105-nmol/mol,1,1,105.978
no2,corrida_3,105-nmol/mol,1,2,106.083
no2,corrida_3,105-nmol/mol,1,3,106.701
no2,corrida_3,105-nmol/mol,1,4,105.782
no2,corrida_3,105-nmol/mol,1,5,105.781
no2,corrida_3,105-nmol/mol,1,6,105.948
no2,corrida_3,105-nmol/mol,1,7,105.983
no2,corrida_3,105-nmol/mol,1,8,106.056
no2,corrida_3,105-nmol/mol,1,9,106.005
no2,corrida_3,105-nmol/mol,1,10,105.836
no2,corrida_3,105-nmol/mol,2,1,105.848
no2,corrida_3,105-nmol/mol,2,2,105.845
no2,corrida_3,105-nmol/mol,2,3,106.017
no2,corrida_3,105-nmol/mol,2,4,105.949
no2,corrida_3,105-nmol/mol,2,5,106.777
no2,corrida_3,105-nmol/mol,2,6,105.991
no2,corrida_3,105-nmol/mol,2,7,106.364
no2,corrida_3,105-nmol/mol,2,8,106.763
no2,corrida_3,105-nmol/mol,2,9,105.904
no2,corrida_3,105-nmol/mol,2,10,106.289
no2,corrida_4,60-nmol/mol,1,1,61.521
no2,corrida_4,60-nmol/mol,1,2,61.789
no2,corrida_4,60-nmol/mol,1,3,61.574
no2,corrida_4,60-nmol/mol,1,4,61.593
no2,corrida_4,60-nmol/mol,1,5,61.664
no2,corrida_4,60-nmol/mol,1,6,61.882
no2,corrida_4,60-nmol/mol,1,7,61.687
no2,corrida_4,60-nmol/mol,1,8,61.671
no2,corrida_4,60-nmol/mol,1,9,61.569
no2,corrida_4,60-nmol/mol,1,10,61.817
no2,corrida_4,60-nmol/mol,2,1,61.852
no2,corrida_4,60-nmol/mol,2,2,61.94
no2,corrida_4,60-nmol/mol,2,3,61.827
no2,corrida_4,60-nmol/mol,2,4,61.604
no2,corrida_4,60-nmol/mol,2,5,61.59
no2,corrida_4,60-nmol/mol,2,6,61.588
no2,corrida_4,60-nmol/mol,2,7,61.524
no2,corrida_4,60-nmol/mol,2,8,61.506
no2,corrida_4,60-nmol/mol,2,9,61.501
no2,corrida_4,60-nmol/mol,2,10,61.522
no2,corrida_5,30-nmol/mol,1,1,32.035
no2,corrida_5,30-nmol/mol,1,2,32.193
no2,corrida_5,30-nmol/mol,1,3,32.03
no2,corrida_5,30-nmol/mol,1,4,32.207
no2,corrida_5,30-nmol/mol,1,5,32.224
no2,corrida_5,30-nmol/mol,1,6,31.967
no2,corrida_5,30-nmol/mol,1,7,32.054
no2,corrida_5,30-nmol/mol,1,8,32.258
no2,corrida_5,30-nmol/mol,1,9,31.974
no2,corrida_5,30-nmol/mol,1,10,32.186
no2,corrida_5,30-nmol/mol,2,1,32.026
no2,corrida_5,30-nmol/mol,2,2,32.046
no2,corrida_5,30-nmol/mol,2,3,32.174
no2,corrida_5,30-nmol/mol,2,4,32.204
no2,corrida_5,30-nmol/mol,2,5,32.259
no2,corrida_5,30-nmol/mol,2,6,32.325
no2,corrida_5,30-nmol/mol,2,7,32.198
no2,corrida_5,30-nmol/mol,2,8,32.087
no2,corrida_5,30-nmol/mol,2,9,32.007
no2,corrida_5,30-nmol/mol,2,10,32.051
