Date;Time;NO_ref;NO_gen
05/01/26;03:01;0.086;0
05/01/26;03:02;-0.045;0
05/01/26;03:03;0.532;0
05/01/26;03:04;0.728;0
05/01/26;03:05;1.611;0
05/01/26;03:06;1.032;0
05/01/26;03:07;0.613;0
05/01/26;03:08;Samp<;0
05/01/26;03:09;Samp<;0
05/01/26;03:10;0.408;0
05/01/26;03:11;0.836;0
05/01/26;03:12;0.711;0
05/01/26;03:13;0.787;0
05/01/26;03:14;0.345;0
05/01/26;03:15;0.054;0
05/01/26;03:16;-0.646;0
05/01/26;03:17;-0.331;0
05/01/26;03:18;1.235;0
05/01/26;03:19;1.603;0
05/01/26;03:20;1.363;0
05/01/26;03:21;1.226;0
05/01/26;03:22;0.191;0
05/01/26;03:23;-0.73;0
05/01/26;03:24;-0.091;0
05/01/26;03:25;1.059;0
05/01/26;03:26;1.328;0
05/01/26;03:27;Samp<;0
05/01/26;03:28;-0.344;0
05/01/26;03:29;-0.418;0
05/01/26;03:30;-0.696;0
05/01/26;03:31;-0.726;0
05/01/26;03:32;-0.742;0
05/01/26;03:33;-0.405;0
05/01/26;03:34;0.062;0
05/01/26;03:35;-0.274;0
05/01/26;03:36;-0.844;0
05/01/26;03:37;-1.129;0
05/01/26;03:38;-0.48;0
05/01/26;03:39;0.146;0
05/01/26;03:40;0.069;0
05/01/26;03:41;-0.298;0
05/01/26;03:42;-0.258;0
05/01/26;03:43;-0.294;0
05/01/26;03:44;-0.58;0
05/01/26;03:45;-0.428;0
05/01/26;03:46;-0.313;0
05/01/26;03:47;-0.42;0
05/01/26;03:48;-0.46;0
05/01/26;03:49;-0.999;0
05/01/26;03:50;-0.449;0
05/01/26;03:51;-0.169;0
05/01/26;03:52;-0.508;0
05/01/26;03:53;-0.356;0
05/01/26;03:54;-0.092;0
05/01/26;03:55;0.278;0
05/01/26;03:56;-0.473;0
05/01/26;03:57;-0.448;0
05/01/26;03:58;-0.759;0
05/01/26;03:59;-1.174;0
05/01/26;04:00;0.515;0
05/01/26;04:01;1.331;0
05/01/26;04:02;-0.355;0
05/01/26;04:03;-0.675;0
05/01/26;04:04;-0.839;0
05/01/26;04:05;-1.636;0
05/01/26;04:06;-0.989;0
05/01/26;04:07;-0.708;0
05/01/26;04:08;-0.071;0
05/01/26;04:09;0.128;0
05/01/26;04:10;-0.289;0
05/01/26;04:11;-1.017;0
05/01/26;04:12;-1.149;0
05/01/26;04:13;-1.963;0
05/01/26;04:14;0.831;samp
05/01/26;04:15;25.557;samp
05/01/26;04:16;48.157;samp
05/01/26;04:17;48.955;samp
05/01/26;04:18;75.915;samp
05/01/26;04:19;120.564;samp
05/01/26;04:20;154.779;180
05/01/26;04:21;167.771;180
05/01/26;04:22;175.047;180
05/01/26;04:23;177.032;180
05/01/26;04:24;177.715;180
05/01/26;04:25;177.843;180
05/01/26;04:26;177.757;180
05/01/26;04:27;177.634;180
05/01/26;04:28;178.905;180
05/01/26;04:29;180.059;180
05/01/26;04:30;179.566;180
05/01/26;04:31;179.239;180
05/01/26;04:32;179.1;180
05/01/26;04:33;178.656;180
05/01/26;04:34;178.758;180
05/01/26;04:35;179.005;180
05/01/26;04:36;179.543;180
05/01/26;04:37;179.523;180
05/01/26;04:38;179.573;180
05/01/26;04:39;178.854;180
05/01/26;04:40;178.791;180
05/01/26;04:41;179.229;180
05/01/26;04:42;178.889;180
05/01/26;04:43;178.769;180
05/01/26;04:44;179.322;180
05/01/26;04:45;179.573;180
05/01/26;04:46;179.711;180
05/01/26;04:47;179.392;180
05/01/26;04:48;179.336;180
05/01/26;04:49;179.657;180
05/01/26;04:50;179.746;180
05/01/26;04:51;180.273;180
05/01/26;04:52;180.696;180
05/01/26;04:53;180.357;180
05/01/26;04:54;179.796;180
05/01/26;04:55;179.912;180
05/01/26;04:56;180.386;180
05/01/26;04:57;180.518;180
05/01/26;04:58;180.341;180
05/01/26;04:59;179.526;180
05/01/26;05:00;179.702;180
05/01/26;05:01;179.767;180
05/01/26;05:02;180.022;180
05/01/26;05:03;180.638;180
05/01/26;05:04;180.064;180
05/01/26;05:05;179.984;180
05/01/26;05:06;180.257;180
05/01/26;05:07;179.824;180
05/01/26;05:08;179.682;180
05/01/26;05:09;179.39;180
05/01/26;05:10;179.782;180
05/01/26;05:11;180.031;180
05/01/26;05:12;179.876;180
05/01/26;05:13;180.022;180
05/01/26;05:14;179.998;180
05/01/26;05:15;179.803;180
05/01/26;05:16;179.909;180
05/01/26;05:17;179.926;180
05/01/26;05:18;179.545;180
05/01/26;05:19;180.184;180
