pollutant,level,x_ref,u_ref
co,0-μmol/mol,-0.03006883447,0.006823106123178023
co,2-μmol/mol,2.0141767606666665,2.567669575946746e-4
co,4-μmol/mol,4.020823261333334,0.0015392345230510794
co,6-μmol/mol,6.070654816333334,0.0012090140301924373
co,8-μmol/mol,8.032421994666667,0.007264128669280339
no,0-nmol/mol,0.5239677609333333,0.01536760942994354
no,121-nmol/mol,120.35467723333333,0.003762364665266034
no,122-nmol/mol,40.72019767333334,0.003432130206671698
no,180-nmol/mol,182.27072606666667,0.02577275610176684
no,181-nmol/mol,180.2043116,0.009973428613238631
no,182-nmol/mol,76.13492827,0.016721322507377873
no,42-nmol/mol,25.164931373333335,0.2536499179436198
no,81-nmol/mol,80.67400641,0.012762434339093598
no,82-nmol/mol,25.712278386666668,0.02452388661886943
no2,0-nmol/mol,0.1530555856,0.013304285880317887
no2,120-nmol/mol,122.84324893333333,0.05786513519395273
no2,30-nmol/mol,32.907444446666666,0.007250320994102797
no2,60-nmol/mol,64.99419047666667,0.023975278505307195
no2,90-nmol/mol,96.83891860333333,0.007300910871265906
o3,0-nmol/mol,3.226666666666667e-5,3.723946532615335e-6
o3,120-nmol/mol,120.00874,0.05290073451525432
o3,180-nmol/mol,177.6138375,0.4503873165265762
o3,40-nmol/mol,40.37408141,0.057604165542936084
o3,80-nmol/mol,79.89633615999999,0.04101061269837955
so2,0-nmol/mol,0.027421383645666667,0.014576548710488805
so2,100-nmol/mol,99.42410246,0.14886563425057286
so2,140-nmol/mol,139.16364716666666,0.09098752621243766
so2,180-nmol/mol,180.73317723333335,0.05880700354805685
so2,20-nmol/mol,19.714392153333332,0.00792884512385479
so2,60-nmol/mol,59.89910394,0.00681654221219408
so2,61-nmol/mol,59.05572016333333,0.0026347077136589176
