pollutant,run,level,replicate,sample_id,value
co,corrida_1,0-µmol/mol,1,1,-0.012
co,corrida_1,0-µmol/mol,1,2,-0.013
co,corrida_1,0-µmol/mol,2,1,-0.017
co,corrida_1,0-µmol/mol,2,2,0.052
co,corrida_2,6.3-µmol/mol,1,1,6.292
co,corrida_2,6.3-µmol/mol,1,2,6.293
co,corrida_2,6.3-µmol/mol,2,1,6.286
co,corrida_2,6.3-µmol/mol,2,2,6.294
co,corrida_3,4.2-µmol/mol,1,1,4.174
co,corrida_3,4.2-µmol/mol,1,2,4.163
co,corrida_3,4.2-µmol/mol,2,1,4.166
co,corrida_3,4.2-µmol/mol,2,2,4.172
co,corrida_4,2.8-µmol/mol,1,1,2.771
co,corrida_4,2.8-µmol/mol,1,2,2.76
co,corrida_4,2.8-µmol/mol,2,1,2.773
co,corrida_4,2.8-µmol/mol,2,2,2.766
co,corrida_5,1.4-µmol/mol,1,1,1.4
co,corrida_5,1.4-µmol/mol,1,2,1.389
co,corrida_5,1.4-µmol/mol,2,1,1.383
co,corrida_5,1.4-µmol/mol,2,2,1.392
so2,corrida_1,0-nmol/mol,1,1,0.333
so2,corrida_1,0-nmol/mol,1,2,-0.03
so2,corrida_1,0-nmol/mol,2,1,0.333
so2,corrida_1,0-nmol/mol,2,2,0.336
so2,corrida_2,179-nmol/mol,1,1,178.417
so2,corrida_2,179-nmol/mol,1,2,179.297
so2,corrida_2,179-nmol/mol,2,1,178.334
so2,corrida_2,179-nmol/mol,2,2,179.371
so2,corrida_3,119-nmol/mol,1,1,120.208
so2,corrida_3,119-nmol/mol,1,2,120.675
so2,corrida_3,119-nmol/mol,2,1,120.156
so2,corrida_3,119-nmol/mol,2,2,120.695
so2,corrida_4,80-nmol/mol,1,1,80.63
so2,corrida_4,80-nmol/mol,1,2,80.628
so2,corrida_4,80-nmol/mol,2,1,80.403
so2,corrida_4,80-nmol/mol,2,2,80.445
so2,corrida_5,40-nmol/mol,1,1,40.38
so2,corrida_5,40-nmol/mol,1,2,40.458
so2,corrida_5,40-nmol/mol,2,1,40.479
so2,corrida_5,40-nmol/mol,2,2,40.417
