pollutant,run,level,participant_id,replicate,mean_value,sd_value
co,corrida_1,0-μmol/mol,part_1,2,-0.027,0.028
co,corrida_1,0-μmol/mol,part_1,2,-0.028,0.028
co,corrida_1,0-μmol/mol,part_1,2,-0.018,0.029
co,corrida_1,0-μmol/mol,part_2,3,-0.006,0.022
co,corrida_1,0-μmol/mol,part_2,3,-0.017,0.028
co,corrida_1,0-μmol/mol,part_2,3,-0.017,0.028
co,corrida_1,0-μmol/mol,part_3,4,-0.034,0.027
co,corrida_1,0-μmol/mol,part_3,4,-0.034,0.027
co,corrida_1,0-μmol/mol,part_3,4,-0.012,0.026
co,corrida_1,0-μmol/mol,part_4,5,-0.023,0.028
co,corrida_1,0-μmol/mol,part_4,5,-0.033,0.026
co,corrida_1,0-μmol/mol,part_4,5,-0.028,0.029
co,corrida_1,0-μmol/mol,part_5,6,-0.012,0.025
co,corrida_1,0-μmol/mol,part_5,6,-0.028,0.028
co,corrida_1,0-μmol/mol,part_5,6,-0.011,0.026
co,corrida_1,0-μmol/mol,part_6,7,-0.023,0.028
co,corrida_1,0-μmol/mol,part_6,7,-0.022,0.029
co,corrida_1,0-μmol/mol,part_6,7,-0.023,0.028
co,corrida_1,0-μmol/mol,ref,1,-0.034,0.026
co,corrida_1,0-μmol/mol,ref,1,-0.027,0.028
co,corrida_1,0-μmol/mol,ref,1,-0.023,0.029
co,corrida_2,2-μmol/mol,part_1,2,2.015,0.005
co,corrida_2,2-μmol/mol,part_1,2,2.013,0.005
co,corrida_2,2-μmol/mol,part_1,2,2.014,0.003
co,corrida_2,2-μmol/mol,part_2,3,2.011,0.005
co,corrida_2,2-μmol/mol,part_2,3,2.014,0.004
co,corrida_2,2-μmol/mol,part_2,3,2.012,0.004
co,corrida_2,2-μmol/mol,part_3,4,2.015,0.004
co,corrida_2,2-μmol/mol,part_3,4,2.015,0.004
co,corrida_2,2-μmol/mol,part_3,4,2.014,0.003
co,corrida_2,2-μmol/mol,part_4,5,2.013,0.005
co,corrida_2,2-μmol/mol,part_4,5,2.015,0.005
co,corrida_2,2-μmol/mol,part_4,5,2.013,0.005
co,corrida_2,2-μmol/mol,part_5,6,2.011,0.003
co,corrida_2,2-μmol/mol,part_5,6,2.014,0.005
co,corrida_2,2-μmol/mol,part_5,6,2.013,0.004
co,corrida_2,2-μmol/mol,part_6,7,2.012,0.004
co,corrida_2,2-μmol/mol,part_6,7,2.014,0.004
co,corrida_2,2-μmol/mol,part_6,7,2.015,0.003
co,corrida_2,2-μmol/mol,ref,1,2.016,0.005
co,corrida_2,2-μmol/mol,ref,1,2.015,0.005
co,corrida_2,2-μmol/mol,ref,1,2.014,0.003
co,corrida_3,4-μmol/mol,part_1,2,4.031,0.009
co,corrida_3,4-μmol/mol,part_1,2,4.018,0.014
co,corrida_3,4-μmol/mol,part_1,2,4.026,0.012
co,corrida_3,4-μmol/mol,part_2,3,4.024,0.013
co,corrida_3,4-μmol/mol,part_2,3,4.022,0.012
co,corrida_3,4-μmol/mol,part_2,3,4.021,0.013
co,corrida_3,4-μmol/mol,part_3,4,4.027,0.013
co,corrida_3,4-μmol/mol,part_3,4,4.018,0.011
co,corrida_3,4-μmol/mol,part_3,4,4.021,0.013
co,corrida_3,4-μmol/mol,part_4,5,4.021,0.013
co,corrida_3,4-μmol/mol,part_4,5,4.027,0.013
co,corrida_3,4-μmol/mol,part_4,5,4.023,0.012
co,corrida_3,4-μmol/mol,part_5,6,4.025,0.012
co,corrida_3,4-μmol/mol,part_5,6,4.024,0.014
