"pollutant","run","level","participant_id","replicate","sample_group","d1","d2","d3","mean_value","sd_value","ux","k","ux_exp"
"co",1,"0","p1",1,"A",0.035,,,0.035,0.02,0.003,2,0.006
"co",2,"6.3","p1",1,"A",6.493,6.5,6.474,6.489,0.013,0.008,2,0.016
"co",3,"4.2","p1",1,"A",4.343,4.322,4.305,4.323,0.019,0.011,2,0.022
"co",4,"2.8","p1",1,"A",2.877,2.87,2.86,2.869,0.009,0.005,2,0.01
"co",5,"1.4","p1",1,"A",1.47,1.451,1.456,1.459,0.01,0.006,2,0.012
"so2",1,"0","p1",1,"A",0.272,,,0.272,0.218,0.028,2,0.056
"so2",2,"179","p1",1,"A",183.457,184.818,185.329,184.535,0.968,0.559,2,1.118
"so2",3,"119","p1",1,"A",123.517,122.963,122.794,123.091,0.378,0.218,2,0.436
"so2",4,"80","p1",1,"A",81.687,81.696,80.956,81.446,0.425,0.245,2,0.49
"so2",5,"40","p1",1,"A",40.772,40.898,40.707,40.792,0.097,0.056,2,0.112
