"pollutant","run","level","participant_id","replicate","sample_group","d1","d2","d3","mean_value","sd_value","ux","k","ux_exp"
"co",1,"0","calaire_ref",1,"A",-0.024,,,-0.024,0.03,0.004,2,0.008
"co",2,"6.3","calaire_ref",1,"A",6.28,6.281,6.317,6.293,0.021,0.012,2,0.024
"co",3,"4.2","calaire_ref",1,"A",4.192,4.151,4.153,4.165,0.023,0.013,2,0.026
"co",4,"2.8","calaire_ref",1,"A",2.777,2.772,2.764,2.771,0.007,0.004,2,0.008
"co",5,"1.4","calaire_ref",1,"A",1.4,1.378,1.393,1.39,0.011,0.006,2,0.012
"so2",1,"0","calaire_ref",1,"A",-0.031,,,-0.031,0.042,0.005,2,0.01
"so2",2,"179","calaire_ref",1,"A",177.287,179.98,180.058,179.108,1.578,0.911,2,1.822
"so2",3,"119","calaire_ref",1,"A",121.04,120.497,120.46,120.666,0.325,0.188,2,0.376
"so2",4,"80","calaire_ref",1,"A",80.564,80.607,80.427,80.533,0.094,0.054,2,0.108
"so2",5,"40","calaire_ref",1,"A",40.67,40.421,40.402,40.498,0.15,0.087,2,0.174
