pollutant,run,level,participant_id,replicate,sample_group,mean_value,sd_value
co,corrida_1,0-μmol/mol,part_1,2,1-10,-0.02798398234,0.0282128659
co,corrida_1,0-μmol/mol,part_1,2,11-20,-0.03293311923,0.02547467387
co,corrida_1,0-μmol/mol,part_1,2,21-30,-0.0279868326,0.02858429708
co,corrida_1,0-μmol/mol,part_2,3,1-10,-0.02248920112,0.02831441262
co,corrida_1,0-μmol/mol,part_2,3,11-20,-0.02305893216,0.02921246215
co,corrida_1,0-μmol/mol,part_2,3,21-30,-0.01766607788,0.02881354388
co,corrida_1,0-μmol/mol,part_3,4,1-10,-0.01719943798,0.02811769636
co,corrida_1,0-μmol/mol,part_3,4,11-20,-0.02880004014,0.0286884291
co,corrida_1,0-μmol/mol,part_3,4,21-30,-0.0289212766,0.02854126249
co,corrida_1,0-μmol/mol,ref,1,1-10,-0.02169253312,0.02747572318
co,corrida_1,0-μmol/mol,ref,1,11-20,-0.01688896026,0.0273778485
co,corrida_1,0-μmol/mol,ref,1,21-30,-0.0166355279,0.02723496986
co,corrida_2,2-μmol/mol,part_1,2,1-10,2.012150827,0.003597189848
co,corrida_2,2-μmol/mol,part_1,2,11-20,2.017236471,0.003196286807
co,corrida_2,2-μmol/mol,part_1,2,21-30,2.010507243,0.003719188761
co,corrida_2,2-μmol/mol,part_2,3,1-10,2.012092091,0.005260974951
co,corrida_2,2-μmol/mol,part_2,3,11-20,2.014069009,0.002960301343
co,corrida_2,2-μmol/mol,part_2,3,21-30,2.013911369,0.004277683727
co,corrida_2,2-μmol/mol,part_3,4,1-10,2.01303011,0.00367076801
co,corrida_2,2-μmol/mol,part_3,4,11-20,2.013595035,0.00518917729
co,corrida_2,2-μmol/mol,part_3,4,21-30,2.012474554,0.00372789548
co,corrida_2,2-μmol/mol,ref,1,1-10,2.013671545,0.00408044857
co,corrida_2,2-μmol/mol,ref,1,11-20,2.012153858,0.004791027795
co,corrida_2,2-μmol/mol,ref,1,21-30,2.01374741,0.00410781988
co,corrida_3,4-μmol/mol,part_1,2,1-10,4.028347143,0.01208401702
co,corrida_3,4-μmol/mol,part_1,2,11-20,4.021748247,0.01441051063
co,corrida_3,4-μmol/mol,part_1,2,21-30,4.023195779,0.01291996664
co,corrida_3,4-μmol/mol,part_2,3,1-10,4.025554913,0.0119741281
co,corrida_3,4-μmol/mol,part_2,3,11-20,4.02804855,0.01297000799
co,corrida_3,4-μmol/mol,part_2,3,21-30,4.027986407,0.01034050013
co,corrida_3,4-μmol/mol,part_3,4,1-10,4.025817987,0.01202770627
co,corrida_3,4-μmol/mol,part_3,4,11-20,4.018397381,0.01175187192
co,corrida_3,4-μmol/mol,part_3,4,21-30,4.026595758,0.00989599264
co,corrida_3,4-μmol/mol,ref,1,1-10,4.025406905,0.0127470559
co,corrida_3,4-μmol/mol,ref,1,11-20,4.02159461,0.01213414339
co,corrida_3,4-μmol/mol,ref,1,21-30,4.021602186,0.01436034868
co,corrida_4,6-μmol/mol,part_1,2,1-10,6.069355952,0.01426297649
