"pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value"
"no2","0-ppb","part_1",2,"1-10",0.138114193246738,0.198002645122578
"no2","0-ppb","part_1",2,"11-20",0.143332103563653,0.142256432311156
"no2","0-ppb","part_1",2,"21-30",0.193850389386479,0.146425523756598
"no2","0-ppb","part_10",11,"1-10",0.0263687555704914,0.167635097933919
"no2","0-ppb","part_10",11,"11-20",0.254525357607282,0.144137130840185
"no2","0-ppb","part_10",11,"21-30",0.0729157303370787,0.197530193546711
"no2","0-ppb","part_11",12,"1-10",0.234203116552943,0.155555200802122
"no2","0-ppb","part_11",12,"11-20",0.152130696512324,0.175040641362104
"no2","0-ppb","part_11",12,"21-30",0.0725895661957014,0.130489061384448
"no2","0-ppb","part_12",13,"1-10",0.165865278122763,0.168754172303389
"no2","0-ppb","part_12",13,"11-20",0.181414985169708,0.13100923825595
"no2","0-ppb","part_12",13,"21-30",0.174711189199456,0.191467477392463
"no2","0-ppb","part_2",3,"1-10",0.137774879092941,0.163358280203621
"no2","0-ppb","part_2",3,"11-20",0.0606776712789118,0.187973603234742
"no2","0-ppb","part_2",3,"21-30",0.192363400593212,0.172894018919048
"no2","0-ppb","part_3",4,"1-10",0.185505727560965,0.160076513818646
"no2","0-ppb","part_3",4,"11-20",0.113928588127,0.218706925246186
"no2","0-ppb","part_3",4,"21-30",0.1189979179147,0.166242605027012
"no2","0-ppb","part_4",5,"1-10",0.0416154936368551,0.165135017223571
"no2","0-ppb","part_4",5,"11-20",0.133533466781608,0.163590396329966
"no2","0-ppb","part_4",5,"21-30",0.0033214958869683,0.119600389902284
"no2","0-ppb","part_5",6,"1-10",0.271308090179863,0.0785976049670037
"no2","0-ppb","part_5",6,"11-20",0.223710232170775,0.198224051125531
"no2","0-ppb","part_5",6,"21-30",0.183401367601292,0.173106590643052
"no2","0-ppb","part_6",7,"1-10",0.0739030040472817,0.162922174499656
"no2","0-ppb","part_6",7,"11-20",0.131488588711445,0.162256910988778
"no2","0-ppb","part_6",7,"21-30",0.14776374541576,0.154075708581971
"no2","0-ppb","part_7",8,"1-10",0.192206696278546,0.141691193674077
"no2","0-ppb","part_7",8,"11-20",0.104355890475008,0.156733602325839
"no2","0-ppb","part_7",8,"21-30",0.18314904077965,0.151111723674547
"no2","0-ppb","part_8",9,"1-10",0.0226411434666355,0.17811257546318
"no2","0-ppb","part_8",9,"11-20",0.0990310486404348,0.130441986426625
"no2","0-ppb","part_8",9,"21-30",0.158400059905612,0.145636935330252
"no2","0-ppb","part_9",10,"1-10",0.0980015414736781,0.161816601988264
"no2","0-ppb","part_9",10,"11-20",0.0311074940459666,0.113660680849636
"no2","0-ppb","part_9",10,"21-30",0.0607918718312123,0.137331114166077
"no2","0-ppb","ref",1,"1-10",0.128097288175217,0.194167844144231
"no2","0-ppb","ref",1,"11-20",0.173523764994667,0.188522813274097
"no2","0-ppb","ref",1,"21-30",0.15754570359872,0.157415440318923
"no2","120-ppb","part_1",2,"1-10",123.006582278481,0.404698235640851
"no2","120-ppb","part_1",2,"11-20",123.056329113924,0.365142155143123
"no2","120-ppb","part_1",2,"21-30",122.915569620253,0.289727544229336
"no2","120-ppb","part_10",11,"1-10",122.96746835443,0.27340342854744
"no2","120-ppb","part_10",11,"11-20",123.00164556962,0.299215951596165
"no2","120-ppb","part_10",11,"21-30",122.872151898734,0.333076865498211
"no2","120-ppb","part_11",12,"1-10",123.147341772152,0.255760390768124
"no2","120-ppb","part_11",12,"11-20",122.938734177215,0.206194204036759
"no2","120-ppb","part_11",12,"21-30",122.983544303798,0.452529629297162
"no2","120-ppb","part_12",13,"1-10",122.94253164557,0.395435960541332
"no2","120-ppb","part_12",13,"11-20",122.877341772152,0.47887616795294
"no2","120-ppb","part_12",13,"21-30",123.07253164557,0.477621866881962
"no2","120-ppb","part_2",3,"1-10",122.94329113924,0.313912027354633
"no2","120-ppb","part_2",3,"11-20",123.111012658228,0.23010450939233
"no2","120-ppb","part_2",3,"21-30",122.871898734177,0.476411781233315
"no2","120-ppb","part_3",4,"1-10",123.128734177215,0.133036643147465
"no2","120-ppb","part_3",4,"11-20",123.005063291139,0.401207474450023
"no2","120-ppb","part_3",4,"21-30",122.875443037975,0.463475250283385
"no2","120-ppb","part_4",5,"1-10",122.784936708861,0.379702974494656
"no2","120-ppb","part_4",5,"11-20",122.878101265823,0.361000511687453
"no2","120-ppb","part_4",5,"21-30",122.976455696203,0.383062041014136
"no2","120-ppb","part_5",6,"1-10",122.923670886076,0.362413141927863
"no2","120-ppb","part_5",6,"11-20",122.800379746836,0.354270634082774
"no2","120-ppb","part_5",6,"21-30",123.000759493671,0.300123233663589
"no2","120-ppb","part_6",7,"1-10",123.045569620253,0.411010316992734
"no2","120-ppb","part_6",7,"11-20",122.727974683544,0.303592552784722
"no2","120-ppb","part_6",7,"21-30",122.902278481013,0.347177549512783
"no2","120-ppb","part_7",8,"1-10",123.29253164557,0.334418705098848
"no2","120-ppb","part_7",8,"11-20",123.101265822785,0.391447495499522
"no2","120-ppb","part_7",8,"21-30",122.936455696202,0.162733377267084
"no2","120-ppb","part_8",9,"1-10",123.041139240506,0.21923414788919
"no2","120-ppb","part_8",9,"11-20",122.835696202532,0.351807554792344
"no2","120-ppb","part_8",9,"21-30",122.687088607595,0.469743179971691
"no2","120-ppb","part_9",10,"1-10",122.987974683544,0.383792444552751
"no2","120-ppb","part_9",10,"11-20",123.046329113924,0.420260027395541
"no2","120-ppb","part_9",10,"21-30",123.055189873418,0.367578701892291
"no2","120-ppb","ref",1,"1-10",122.741518987342,0.321244664083551
"no2","120-ppb","ref",1,"11-20",122.941898734177,0.497052305596366
"no2","120-ppb","ref",1,"21-30",122.846329113924,0.493983528251221
"no2","30-ppb","part_1",2,"1-10",32.9218571428571,0.0354563081248005
"no2","30-ppb","part_1",2,"11-20",32.9064404761905,0.0385334195278533
"no2","30-ppb","part_1",2,"21-30",32.9105595238095,0.0228745696629224
"no2","30-ppb","part_10",11,"1-10",32.9294166666667,0.0314558388407922
"no2","30-ppb","part_10",11,"11-20",32.9262976190476,0.0395930121038834
"no2","30-ppb","part_10",11,"21-30",32.9056904761905,0.0420851172324197
"no2","30-ppb","part_11",12,"1-10",32.922380952381,0.0410193481622775
"no2","30-ppb","part_11",12,"11-20",32.9015952380952,0.0546645442318053
"no2","30-ppb","part_11",12,"21-30",32.9139404761905,0.0291475993176412
"no2","30-ppb","part_12",13,"1-10",32.926619047619,0.037648680646813
"no2","30-ppb","part_12",13,"11-20",32.9061428571429,0.0352115944966807
"no2","30-ppb","part_12",13,"21-30",32.9054166666667,0.0365443335648208
"no2","30-ppb","part_2",3,"1-10",32.92625,0.0374912961260481
"no2","30-ppb","part_2",3,"11-20",32.9290595238095,0.0443199592378737
"no2","30-ppb","part_2",3,"21-30",32.9117619047619,0.0394804297543161
"no2","30-ppb","part_3",4,"1-10",32.9345119047619,0.0255388174752633
"no2","30-ppb","part_3",4,"11-20",32.902380952381,0.0252002561505503
"no2","30-ppb","part_3",4,"21-30",32.8892738095238,0.0391810152871465
"no2","30-ppb","part_4",5,"1-10",32.9176904761905,0.0438303378207299
"no2","30-ppb","part_4",5,"11-20",32.9182261904762,0.0287531944176094
"no2","30-ppb","part_4",5,"21-30",32.9278571428571,0.0296085466847987
"no2","30-ppb","part_5",6,"1-10",32.9329047619048,0.039871699945435
"no2","30-ppb","part_5",6,"11-20",32.9111666666667,0.0388382323135659
"no2","30-ppb","part_5",6,"21-30",32.9192619047619,0.0361710996582866
"no2","30-ppb","part_6",7,"1-10",32.920619047619,0.0425398232051623
"no2","30-ppb","part_6",7,"11-20",32.9155238095238,0.0383161665856467
"no2","30-ppb","part_6",7,"21-30",32.9199166666667,0.0405550915545191
"no2","30-ppb","part_7",8,"1-10",32.9210595238095,0.041360189946619
"no2","30-ppb","part_7",8,"11-20",32.9039523809524,0.0407055747356989
"no2","30-ppb","part_7",8,"21-30",32.9297142857143,0.0328678860590194
"no2","30-ppb","part_8",9,"1-10",32.9343571428571,0.0354005710168561
"no2","30-ppb","part_8",9,"11-20",32.8842023809524,0.0655710484113999
"no2","30-ppb","part_8",9,"21-30",32.9134166666667,0.0433195240075662
"no2","30-ppb","part_9",10,"1-10",32.9201547619048,0.0290024287434102
"no2","30-ppb","part_9",10,"11-20",32.9111904761905,0.0355647663806577
"no2","30-ppb","part_9",10,"21-30",32.9195595238095,0.0429062053824023
"no2","30-ppb","ref",1,"1-10",32.9161428571429,0.0369395296203826
"no2","30-ppb","ref",1,"11-20",32.9131428571429,0.0340572469459739
"no2","30-ppb","ref",1,"21-30",32.8930476190476,0.047241699331273
"no2","60-ppb","part_1",2,"1-10",65.1301978021978,0.179554048992352
"no2","60-ppb","part_1",2,"11-20",64.8217252747253,0.320645243392432
"no2","60-ppb","part_1",2,"21-30",65.0984945054945,0.247237997389374
"no2","60-ppb","part_10",11,"1-10",64.9345604395604,0.234583469132823
"no2","60-ppb","part_10",11,"11-20",65.0312527472527,0.20156571052624
"no2","60-ppb","part_10",11,"21-30",65.1170769230769,0.332721138909792
"no2","60-ppb","part_11",12,"1-10",64.9838461538461,0.258597769825109
"no2","60-ppb","part_11",12,"11-20",64.908021978022,0.272402719683825
"no2","60-ppb","part_11",12,"21-30",64.7843186813187,0.223919447175876
"no2","60-ppb","part_12",13,"1-10",65.0358241758242,0.278882412819088
"no2","60-ppb","part_12",13,"11-20",64.9493076923077,0.260130350489777
"no2","60-ppb","part_12",13,"21-30",64.9605164835165,0.36611205434247
"no2","60-ppb","part_2",3,"1-10",64.8799230769231,0.296807800752083
"no2","60-ppb","part_2",3,"11-20",64.9248571428571,0.261752263807442
"no2","60-ppb","part_2",3,"21-30",64.9395714285714,0.232476990822598
"no2","60-ppb","part_3",4,"1-10",65.0241758241758,0.247031158336823
"no2","60-ppb","part_3",4,"11-20",65.0417802197802,0.273921773945577
"no2","60-ppb","part_3",4,"21-30",65.0438461538461,0.210144850494678
"no2","60-ppb","part_4",5,"1-10",64.9601428571429,0.105646881331163
"no2","60-ppb","part_4",5,"11-20",64.8808021978022,0.193358448400442
"no2","60-ppb","part_4",5,"21-30",65.0126813186813,0.248676639121773
"no2","60-ppb","part_5",6,"1-10",64.8018131868132,0.250004442526512
"no2","60-ppb","part_5",6,"11-20",64.9911538461538,0.227880761543915
"no2","60-ppb","part_5",6,"21-30",64.9687362637363,0.224959332809814
"no2","60-ppb","part_6",7,"1-10",64.8441428571429,0.362232945212662
"no2","60-ppb","part_6",7,"11-20",64.9807692307692,0.162450326402709
"no2","60-ppb","part_6",7,"21-30",65.0434725274725,0.317380622945091
"no2","60-ppb","part_7",8,"1-10",65.0393516483517,0.338742087753117
"no2","60-ppb","part_7",8,"11-20",65.049021978022,0.240878393680445
"no2","60-ppb","part_7",8,"21-30",64.8555164835165,0.193548418972951
"no2","60-ppb","part_8",9,"1-10",65.0242197802198,0.339464200752336
"no2","60-ppb","part_8",9,"11-20",64.9628021978022,0.279024688269912
"no2","60-ppb","part_8",9,"21-30",64.9334505494506,0.344411235505773
"no2","60-ppb","part_9",10,"1-10",65.1260879120879,0.258423785378256
"no2","60-ppb","part_9",10,"11-20",64.9861318681319,0.178768282967142
"no2","60-ppb","part_9",10,"21-30",65.0719120879121,0.154125815934974
"no2","60-ppb","ref",1,"1-10",65.0353626373626,0.17722729061502
"no2","60-ppb","ref",1,"11-20",64.9523186813187,0.269828940789856
"no2","60-ppb","ref",1,"21-30",64.9948901098901,0.233422972011456
"no2","90-ppb","part_1",2,"1-10",96.8423953488372,0.0305058803750335
"no2","90-ppb","part_1",2,"11-20",96.8347790697674,0.0368094410419877
"no2","90-ppb","part_1",2,"21-30",96.8563837209302,0.0472553412177043
"no2","90-ppb","part_10",11,"1-10",96.8517790697674,0.0435436455244671
"no2","90-ppb","part_10",11,"11-20",96.8474302325581,0.0361327404911622
"no2","90-ppb","part_10",11,"21-30",96.8658488372093,0.0461989831371351
"no2","90-ppb","part_11",12,"1-10",96.8425813953488,0.0379043926767763
"no2","90-ppb","part_11",12,"11-20",96.8405,0.0323758764198999
"no2","90-ppb","part_11",12,"21-30",96.8325348837209,0.0353187261253714
"no2","90-ppb","part_12",13,"1-10",96.8251162790698,0.0391008627948963
"no2","90-ppb","part_12",13,"11-20",96.8265697674419,0.0492672175837235
"no2","90-ppb","part_12",13,"21-30",96.8465813953488,0.0458954075937409
"no2","90-ppb","part_2",3,"1-10",96.8609651162791,0.0293015590933868
"no2","90-ppb","part_2",3,"11-20",96.8511976744186,0.0393297249416546
"no2","90-ppb","part_2",3,"21-30",96.8438720930233,0.0348260958148267
"no2","90-ppb","part_3",4,"1-10",96.8591511627907,0.0249348679837635
"no2","90-ppb","part_3",4,"11-20",96.8373720930232,0.0348291649185238
"no2","90-ppb","part_3",4,"21-30",96.8501046511628,0.0312695080627687
"no2","90-ppb","part_4",5,"1-10",96.8517441860465,0.0463490699354171
"no2","90-ppb","part_4",5,"11-20",96.8323139534884,0.040685581444388
"no2","90-ppb","part_4",5,"21-30",96.8532093023256,0.0332794859823224
"no2","90-ppb","part_5",6,"1-10",96.8278372093023,0.0229642053265107
"no2","90-ppb","part_5",6,"11-20",96.8604534883721,0.0375786117915389
"no2","90-ppb","part_5",6,"21-30",96.8332209302326,0.0442625833122301
"no2","90-ppb","part_6",7,"1-10",96.8602906976744,0.0163333581674848
"no2","90-ppb","part_6",7,"11-20",96.8250581395349,0.0439415666125626
"no2","90-ppb","part_6",7,"21-30",96.8200930232558,0.0349292467784653
"no2","90-ppb","part_7",8,"1-10",96.8426860465116,0.0440720837582421
"no2","90-ppb","part_7",8,"11-20",96.8464069767442,0.044188577718876
"no2","90-ppb","part_7",8,"21-30",96.8422441860465,0.0289970174951937
"no2","90-ppb","part_8",9,"1-10",96.8420581395349,0.0477359233313811
"no2","90-ppb","part_8",9,"11-20",96.8290348837209,0.0513615194356952
"no2","90-ppb","part_8",9,"21-30",96.8389186046512,0.0385341519503707
"no2","90-ppb","part_9",10,"1-10",96.8201395348837,0.0366077751163078
"no2","90-ppb","part_9",10,"11-20",96.8405697674418,0.0458651928864854
"no2","90-ppb","part_9",10,"21-30",96.8424534883721,0.0540886841405664
"no2","90-ppb","ref",1,"1-10",96.8249186046511,0.0420222272860863
"no2","90-ppb","ref",1,"11-20",96.849511627907,0.0275825674831934
"no2","90-ppb","ref",1,"21-30",96.8423255813954,0.0483530510621839
