"pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value"
"no","0-ppb","part_1",2,"1-10",0.581924494949495,0.135162769747516
"no","0-ppb","part_1",2,"11-20",0.566158333333333,0.163493761257554
"no","0-ppb","part_1",2,"21-30",0.562366666666667,0.156499575655079
"no","0-ppb","part_2",3,"1-10",0.558737878787879,0.123777327769294
"no","0-ppb","part_2",3,"11-20",0.570272727272727,0.152215195884234
"no","0-ppb","part_2",3,"21-30",0.609366666666667,0.135455262870004
"no","0-ppb","part_3",4,"1-10",0.618165656565656,0.123701831362104
"no","0-ppb","part_3",4,"11-20",0.519292929292929,0.110527770408844
"no","0-ppb","part_3",4,"21-30",0.537707070707071,0.126748638063981
"no","0-ppb","part_4",5,"1-10",0.516816414141414,0.122990282706577
"no","0-ppb","part_4",5,"11-20",0.535098232323232,0.122636863007911
"no","0-ppb","part_4",5,"21-30",0.536422474747475,0.0925042077167169
"no","0-ppb","part_5",6,"1-10",0.554417929292929,0.133311186274165
"no","0-ppb","part_5",6,"11-20",0.570044444444444,0.127735478570263
"no","0-ppb","part_5",6,"21-30",0.527704292929293,0.12835380317652
"no","0-ppb","part_6",7,"1-10",0.531710606060606,0.110225624633012
"no","0-ppb","part_6",7,"11-20",0.576886111111111,0.15113321251334
"no","0-ppb","part_6",7,"21-30",0.57939292929293,0.143681338095933
"no","0-ppb","ref",1,"1-10",0.676230555555556,0.139191581839855
"no","0-ppb","ref",1,"11-20",0.668903535353535,0.11707643712936
"no","0-ppb","ref",1,"21-30",0.541029545454545,0.11554288060579
"no","121-ppb","part_1",2,"1-10",120.321699604743,0.0910139453733325
"no","121-ppb","part_1",2,"11-20",120.380434782609,0.0633281268888316
"no","121-ppb","part_1",2,"21-30",120.328577075099,0.0881544132627378
"no","121-ppb","part_2",3,"1-10",120.379249011857,0.0582909038520598
"no","121-ppb","part_2",3,"11-20",120.356996047431,0.0503334504353497
"no","121-ppb","part_2",3,"21-30",120.334624505929,0.0463117132045221
"no","121-ppb","part_3",4,"1-10",120.337826086956,0.0633658875474626
"no","121-ppb","part_3",4,"11-20",120.347075098814,0.0551947662035111
"no","121-ppb","part_3",4,"21-30",120.35023715415,0.0461183697578768
"no","121-ppb","part_4",5,"1-10",120.39814229249,0.0635923082006504
"no","121-ppb","part_4",5,"11-20",120.339881422925,0.0952549033330593
"no","121-ppb","part_4",5,"21-30",120.358853754941,0.0826160394136263
"no","121-ppb","part_5",6,"1-10",120.361264822134,0.0578168989874706
"no","121-ppb","part_5",6,"11-20",120.342964426878,0.0752973475428365
"no","121-ppb","part_5",6,"21-30",120.355296442688,0.129037706395096
"no","121-ppb","part_6",7,"1-10",120.369802371541,0.0670240438044016
"no","121-ppb","part_6",7,"11-20",120.320434782609,0.0895795640257545
"no","121-ppb","part_6",7,"21-30",120.36256916996,0.0688957611796392
"no","121-ppb","ref",1,"1-10",120.279920948617,0.0886848248083017
"no","121-ppb","ref",1,"11-20",120.321976284585,0.0716044872774127
"no","121-ppb","ref",1,"21-30",120.361976284585,0.0541784961433095
"no","122-ppb","part_1",2,"1-10",40.7251511627907,0.0417471567972647
"no","122-ppb","part_1",2,"11-20",40.7219534883721,0.0357459672162428
"no","122-ppb","part_1",2,"21-30",40.7153372093023,0.0639127765648718
"no","122-ppb","part_2",3,"1-10",40.7561279069768,0.0466845960175208
"no","122-ppb","part_2",3,"11-20",40.716,0.0413195819690409
"no","122-ppb","part_2",3,"21-30",40.7329302325581,0.0601381739325845
"no","122-ppb","part_3",4,"1-10",40.7314302325581,0.0661381395292305
"no","122-ppb","part_3",4,"11-20",40.7121860465116,0.0489263920541044
"no","122-ppb","part_3",4,"21-30",40.7432906976744,0.0441196989299092
"no","122-ppb","part_4",5,"1-10",40.7277441860465,0.0424959727251242
"no","122-ppb","part_4",5,"11-20",40.7320348837209,0.0348571065570797
"no","122-ppb","part_4",5,"21-30",40.7238488372093,0.0588599411204962
"no","122-ppb","part_5",6,"1-10",40.7255465116279,0.055757563298895
"no","122-ppb","part_5",6,"11-20",40.7589186046512,0.0652110801694157
"no","122-ppb","part_5",6,"21-30",40.7474418604651,0.0712658851951181
"no","122-ppb","part_6",7,"1-10",40.7331279069767,0.0623008081140482
"no","122-ppb","part_6",7,"11-20",40.7303023255814,0.051737150757104
"no","122-ppb","part_6",7,"21-30",40.7307790697674,0.0550139984152531
"no","122-ppb","ref",1,"1-10",40.744976744186,0.0432479571092442
"no","122-ppb","ref",1,"11-20",40.7365697674419,0.0380571307590455
"no","122-ppb","ref",1,"21-30",40.7427441860465,0.0660902655595318
"no","180-ppb","part_1",2,"1-10",182.299357535754,0.246558417739858
"no","180-ppb","part_1",2,"11-20",182.07201650165,0.171136774494866
"no","180-ppb","part_1",2,"21-30",182.209155115511,0.277596860669526
"no","180-ppb","part_2",3,"1-10",182.220667766777,0.292811002980858
"no","180-ppb","part_2",3,"11-20",182.178492849285,0.248422077216387
"no","180-ppb","part_2",3,"21-30",182.154542354235,0.224731913219852
"no","180-ppb","part_3",4,"1-10",182.224165016502,0.297739086770635
"no","180-ppb","part_3",4,"11-20",182.061232123212,0.17173333593213
"no","180-ppb","part_3",4,"21-30",182.174891089109,0.261155217551136
"no","180-ppb","part_4",5,"1-10",182.197922992299,0.218960886160559
"no","180-ppb","part_4",5,"11-20",182.181745874587,0.302453074888416
"no","180-ppb","part_4",5,"21-30",182.215468646865,0.226234182683354
"no","180-ppb","part_5",6,"1-10",182.313653465347,0.237577980852099
"no","180-ppb","part_5",6,"11-20",182.297810781078,0.27642173787888
"no","180-ppb","part_5",6,"21-30",182.250554455446,0.24013718919303
"no","180-ppb","part_6",7,"1-10",182.206158415842,0.238326758027336
"no","180-ppb","part_6",7,"11-20",182.345254125413,0.212741033051754
"no","180-ppb","part_6",7,"21-30",182.236606160616,0.280639631826561
"no","180-ppb","ref",1,"1-10",182.337534653465,0.240822603798609
"no","180-ppb","ref",1,"11-20",182.278239823982,0.198551132697822
"no","180-ppb","ref",1,"21-30",182.25402860286,0.266219067850128
