"pollutant","level","replicate","participant_id","sample_id","value"
"co","0-ppm",1,"ref",1,0.0766330275229358
"co","0-ppm",1,"ref",2,-0.0520754716981132
"co","0-ppm",1,"ref",3,-0.0534339622641509
"co","0-ppm",1,"ref",4,0.0728807339449541
"co","0-ppm",1,"ref",5,0.105412844036697
"co","0-ppm",1,"ref",6,0.126761467889908
"co","0-ppm",1,"ref",7,-0.0453584905660377
"co","0-ppm",1,"ref",8,-0.0513962264150943
"co","0-ppm",1,"ref",9,-0.0473018867924528
"co","0-ppm",1,"ref",10,0.092394495412844
"co","0-ppm",1,"ref",11,0.0700550458715596
"co","0-ppm",1,"ref",12,0.109229357798165
"co","0-ppm",1,"ref",13,0.0539266055045872
"co","0-ppm",1,"ref",14,-0.0501320754716981
"co","0-ppm",1,"ref",15,-0.048
"co","0-ppm",1,"ref",16,0.101697247706422
"co","0-ppm",1,"ref",17,0.0418715596330275
"co","0-ppm",1,"ref",18,0.0760642201834862
"co","0-ppm",1,"ref",19,-0.0476415094339623
"co","0-ppm",1,"ref",20,-0.0516792452830189
"co","0-ppm",1,"ref",21,0.0764587155963303
"co","0-ppm",1,"ref",22,0.0337155963302752
"co","0-ppm",1,"ref",23,-0.0503207547169811
"co","0-ppm",1,"ref",24,-0.0529245283018868
"co","0-ppm",1,"ref",25,0.0949082568807339
"co","0-ppm",1,"ref",26,0.0764587155963303
"co","0-ppm",1,"ref",27,-0.0475471698113208
"co","0-ppm",1,"ref",28,-0.0509056603773585
"co","0-ppm",1,"ref",29,-0.0492075471698113
"co","0-ppm",1,"ref",30,0.0573577981651376
"co","0-ppm",2,"part_1",1,-0.0525471698113208
"co","0-ppm",2,"part_1",2,-0.048
"co","0-ppm",2,"part_1",3,-0.0492830188679245
"co","0-ppm",2,"part_1",4,0.0766330275229358
"co","0-ppm",2,"part_1",5,0.0693302752293578
"co","0-ppm",2,"part_1",6,0.0337155963302752
"co","0-ppm",2,"part_1",7,-0.0514905660377359
"co","0-ppm",2,"part_1",8,0.143935779816514
